,t1,t2,ct
0,1,2,405
1,1,3,7
2,1,5,16
3,1,6,37
4,1,7,14
5,1,10,161
6,1,11,78
7,1,13,8
8,1,14,15
9,1,16,13
10,1,17,49
11,1,19,1
12,1,21,7
13,1,22,18
14,1,23,5
15,1,27,23
16,1,28,26
17,1,29,5
18,1,30,111
19,1,31,18
20,1,32,4
21,1,33,179
22,1,36,6
23,1,37,15
24,1,38,2
25,1,39,1
26,1,41,151
27,1,44,5
28,1,45,10
29,1,48,2
30,1,49,3
31,1,50,374
32,1,53,4
33,1,56,1
34,1,57,1
35,1,62,138
36,1,63,5
37,1,64,891
38,1,66,59
39,1,67,2
40,1,71,166
41,1,72,39
42,1,73,2
43,1,74,2
44,1,76,3
45,1,79,16
46,1,81,3
47,1,82,35
48,1,83,53
49,1,84,17
50,1,85,13
51,1,86,7
52,1,87,10
53,1,88,4
54,1,89,3
55,1,90,2
56,1,92,13
57,1,93,7
58,1,94,1
59,1,95,4
60,1,97,1
61,1,98,7
62,1,100,2
63,1,103,4
64,1,104,2
65,1,106,8
66,1,108,1
67,1,109,4
68,1,110,15
69,1,111,1
70,1,112,1
71,1,115,3
72,1,118,3
73,1,119,1
74,1,120,3
75,1,122,4
76,1,123,59
77,1,124,2
78,1,126,145
79,1,127,22
80,1,129,5
81,1,130,2
82,1,132,9
83,1,133,1
84,1,134,1
85,1,136,14
86,1,137,122
87,1,138,10
88,1,139,1
89,1,141,31
90,1,142,8
91,1,143,51
92,1,144,44
93,1,145,6
94,1,149,4
95,1,150,35
96,1,151,23
97,1,152,3
98,1,154,5
99,1,156,33
100,1,157,1
101,1,158,3
102,1,162,8
103,1,163,10
104,1,165,43
105,1,167,1
106,1,170,3
107,1,172,2
108,1,178,6
109,1,180,6
110,1,181,1
111,1,182,6
112,1,183,1
113,1,185,1
114,1,187,4
115,1,188,4
116,1,189,3
117,1,192,5
118,1,193,15
119,1,195,54
120,1,198,415
121,1,199,15
122,1,200,1
123,1,203,1
124,1,206,1
125,1,209,1
126,1,210,4
127,1,218,8
128,1,219,11
129,1,220,10
130,1,221,44
131,1,225,169
132,1,226,1
133,1,231,5
134,1,233,8
135,1,234,4
136,1,235,57
137,1,237,2
138,1,238,2
139,1,240,94
140,1,243,5
141,1,245,16
142,1,246,32
143,1,249,2
144,1,250,35
145,1,251,20
146,1,252,38
147,1,253,28
148,1,254,43
149,1,255,38
150,1,256,11
151,1,257,7
152,1,258,7
153,1,259,1
154,1,263,1
155,1,266,20
156,1,268,3
157,1,269,50
158,1,270,1
159,1,274,8
160,1,275,16
161,1,278,55
162,1,281,30
163,1,282,6
164,1,284,34
165,1,285,13
166,1,287,337
167,1,289,2
168,1,291,18
169,1,292,40
170,1,294,62
171,1,297,7
172,1,298,22
173,1,300,8
174,1,301,4
175,1,302,1
176,1,303,2
177,1,305,25
178,1,308,1
179,1,310,1
180,1,312,62
181,1,314,4
182,1,315,53
183,1,316,33
184,1,320,7
185,1,321,12
186,1,323,1
187,1,325,28
188,1,329,1
189,1,330,50
190,1,336,1
191,1,337,1
192,1,343,50
193,1,344,5
194,1,346,22
195,1,347,2
196,1,348,1
197,1,349,5
198,1,350,1
199,1,351,8
200,1,354,8
201,1,357,64
202,1,358,4
203,1,360,9
204,1,362,2
205,1,368,1
206,1,370,4
207,1,374,9
208,1,375,36
209,1,377,1
210,1,379,1
211,1,383,19
212,1,384,1
213,1,385,81
214,1,386,1
215,1,388,10
216,1,392,2
217,1,397,55
218,1,399,89
219,1,400,55
220,1,402,3
221,1,406,17
222,1,407,46
223,1,411,3
224,1,416,26
225,1,417,77
226,1,421,5
227,1,426,6
228,1,428,44
229,1,429,2
230,1,430,11
231,1,435,21
232,1,436,7
233,1,440,2
234,1,442,49
235,1,445,4
236,1,448,101
237,1,449,14
238,1,450,43
239,1,461,1
240,1,462,16
241,1,463,56
242,1,464,7
243,1,468,1
244,1,470,65
245,1,471,87
246,1,476,10
247,1,477,2
248,1,482,15
249,1,487,24
250,1,488,23
251,1,496,1
252,1,497,5
253,1,503,17
254,1,504,7
255,1,514,12
256,1,517,2
257,1,518,26
258,1,520,2
259,1,523,9
260,1,529,1
261,1,530,40
262,1,533,65
263,1,536,18
264,1,538,1
265,1,542,50
266,1,543,1
267,1,544,2
268,1,546,15
269,1,548,10
270,1,549,2
271,1,555,1
272,1,558,18
273,1,559,3
274,1,561,2
275,1,562,1
276,1,565,24
277,1,566,3
278,1,568,15
279,1,569,25
280,1,576,2
281,1,579,9
282,1,580,15
283,1,582,24
284,1,587,57
285,1,588,4
286,1,591,4
287,1,592,51
288,1,597,16
289,1,600,12
290,1,602,18
291,1,605,9
292,1,612,17
293,1,617,34
294,1,618,27
295,1,622,52
