,t1,t2,ct
0,1,2,4
1,1,5,4
2,1,6,10
3,1,7,2
4,1,8,2
5,1,11,1
6,1,12,6
7,1,13,26
8,1,14,5
9,1,15,2
10,1,17,1
11,1,18,1
12,1,24,1
13,1,25,4
14,1,26,2
15,1,31,1
16,1,32,2
17,1,33,2
18,1,34,1
19,1,36,1
20,1,39,2
21,1,42,1
22,1,46,2
23,1,47,5
24,1,48,1
25,1,51,2
26,1,52,1
27,1,57,1
28,1,58,2
29,1,62,1
30,1,65,4
31,1,69,1
32,1,71,2
33,1,72,1
34,1,73,1
35,1,82,2
36,1,83,1
37,1,92,6
38,1,93,1
39,1,94,1
40,1,95,1
41,1,96,2
42,1,98,1
43,1,100,1
44,1,104,1
45,1,108,1
46,1,109,1
47,1,110,1
48,1,111,1
49,1,112,1
50,2,6,1
51,2,7,1
52,2,12,1
53,2,16,1
54,2,25,1
55,2,33,1
56,2,47,1
57,2,75,1
58,2,78,1
59,2,100,1
60,3,14,1
61,3,30,1
62,3,44,1
63,3,68,3
64,3,80,1
65,3,86,2
66,4,5,2
67,4,7,4
68,4,8,1
69,4,12,2
70,4,13,1
71,4,24,1
72,4,31,1
73,4,40,1
74,4,41,1
75,4,46,1
76,4,65,1
77,4,73,1
78,5,6,1
79,5,7,2
80,5,12,1
81,5,13,1
82,5,14,3
83,5,15,2
84,5,19,1
85,5,24,1
86,5,26,1
87,5,34,1
88,5,40,1
89,5,41,1
90,5,72,1
91,5,87,1
92,5,93,1
93,5,113,1
94,6,7,2
95,6,12,3
96,6,13,11
97,6,14,2
98,6,18,1
99,6,20,1
100,6,23,1
101,6,24,1
102,6,26,2
103,6,27,1
104,6,31,1
105,6,37,2
106,6,42,2
107,6,43,2
108,6,45,1
109,6,52,1
110,6,65,2
111,6,69,1
112,6,73,1
113,6,89,1
114,6,93,1
115,6,99,1
116,6,100,1
117,7,8,3
118,7,9,1
119,7,11,1
120,7,12,2
121,7,13,11
122,7,14,1
123,7,24,4
124,7,25,1
125,7,27,1
126,7,38,1
127,7,39,2
128,7,42,1
129,7,43,1
130,7,47,2
131,7,52,2
132,7,55,1
133,7,62,1
134,7,63,1
135,7,65,1
136,7,71,3
137,7,73,3
138,7,75,1
139,7,81,2
140,7,84,1
141,7,85,1
142,7,95,2
143,8,12,1
144,8,13,1
145,8,24,1
146,9,10,1
147,9,11,4
148,9,12,1
149,9,13,2
150,9,18,2
151,9,19,1
152,9,20,1
153,9,21,1
154,9,23,1
155,9,24,1
156,9,27,2
157,9,28,2
158,9,32,2
159,9,33,1
160,9,36,1
161,9,42,1
162,9,43,2
163,9,46,4
164,9,52,5
165,9,53,2
166,9,59,1
167,9,88,1
168,10,11,1
169,11,12,1
170,11,14,1
171,11,36,2
172,11,42,1
173,11,53,1
174,11,83,1
175,12,13,22
176,12,18,1
177,12,19,1
178,12,21,1
179,12,23,5
180,12,25,2
181,12,26,5
182,12,27,2
183,12,28,2
184,12,29,1
185,12,30,1
186,12,31,1
187,12,32,1
188,12,36,1
189,12,37,4
190,12,42,8
191,12,43,7
192,12,45,6
193,12,46,5
194,12,47,1
195,12,48,1
196,12,52,7
197,12,53,1
198,12,65,1
199,12,67,1
200,12,69,1
201,12,70,1
202,12,71,1
203,12,79,2
204,12,114,1
205,13,14,1
206,13,21,1
207,13,24,1
208,13,25,1
209,13,26,1
210,13,28,1
211,13,30,1
212,13,31,2
213,13,33,1
214,13,36,1
215,13,37,2
216,13,38,2
217,13,39,1
218,13,41,1
219,13,42,12
220,13,43,6
221,13,46,7
222,13,47,3
223,13,48,1
224,13,49,2
225,13,50,1
226,13,52,6
227,13,56,1
228,13,59,1
229,13,63,1
230,13,65,5
231,13,67,1
232,13,71,1
233,13,73,1
234,13,75,2
235,13,76,2
236,13,81,2
237,13,83,1
238,13,84,1
239,13,85,1
240,13,89,2
241,13,90,2
242,13,93,1
243,13,97,2
244,13,99,1
245,14,15,2
246,14,16,3
247,14,17,1
