,t1,t2,ct
0,1,2,1
1,1,3,463
2,1,4,5
3,1,5,5
4,1,6,30
5,1,7,21
6,1,8,23
7,1,9,11
8,1,10,1
9,1,12,4
10,1,14,9
11,1,15,62
12,1,16,41
13,1,17,358
14,1,18,51
15,1,19,72
16,1,20,10
17,1,21,6
18,1,22,10
19,1,23,1
20,1,25,3
21,1,26,10
22,1,27,47
23,1,28,2
24,1,29,2
25,1,30,5
26,1,32,168
27,1,33,15
28,1,34,8
29,1,35,14
30,1,36,76
31,1,37,13
32,1,38,47
33,1,39,15
34,1,40,64
35,1,41,27
36,1,42,94
37,1,43,52
38,1,44,1
39,1,45,4
40,1,46,23
41,1,47,399
42,1,48,82
43,1,49,31
44,1,50,6
45,1,51,1
46,1,52,2
47,1,53,67
48,1,55,290
49,1,56,87
50,1,57,335
51,1,58,97
52,1,59,1
53,1,60,5
54,1,61,52
55,1,62,15
56,1,63,501
57,1,64,44
58,1,65,317
59,1,66,11
60,1,67,8
61,1,68,25
62,1,69,2
63,1,71,93
64,1,72,1
65,1,74,2
66,1,75,9
67,1,76,78
68,1,77,333
69,1,78,35
70,1,79,3
71,1,80,276
72,1,81,28
73,1,82,42
74,1,83,18
75,1,84,505
76,1,86,11
77,1,87,68
78,1,88,4
79,1,89,33
80,1,90,61
81,1,91,140
82,1,92,25
83,1,93,668
84,1,94,3
85,1,95,24
86,1,96,1
87,1,97,31
88,1,98,69
89,1,99,10
90,1,100,26
91,1,101,1
92,1,102,84
93,1,103,95
94,1,104,2
95,1,106,103
96,1,107,37
97,1,108,45
98,1,110,21
99,1,111,27
100,1,112,13
101,1,113,2
102,1,114,14
103,1,115,18
104,1,116,34
105,1,117,1
106,1,118,103
107,1,119,43
108,1,120,1
109,1,121,41
110,1,122,1
111,1,123,47
112,1,124,532
113,1,125,26
114,1,126,7
115,1,127,21
116,1,128,47
117,1,129,5
118,1,131,35
119,1,132,2
120,1,133,9
121,1,135,12
122,1,136,148
123,1,137,71
124,1,138,53
125,1,139,5
126,1,140,1
127,1,141,1
128,1,142,60
129,1,143,22
130,1,144,48
131,1,145,23
132,1,146,1
133,1,147,38
134,1,148,2
135,1,149,7
136,1,150,40
137,1,151,39
138,1,152,7
139,1,153,3
140,1,154,1
141,1,155,28
142,1,156,50
143,1,157,4
144,1,158,83
145,1,160,1
146,1,161,28
147,1,162,1
148,1,164,3
149,1,165,14
150,1,166,69
151,1,167,6
152,1,168,28
153,1,169,11
154,1,170,6
155,1,171,1
156,1,172,13
157,1,173,398
158,1,174,275
159,1,175,18
160,1,178,85
161,1,179,29
162,1,180,141
163,1,181,22
164,1,182,5
165,1,183,10
166,1,184,15
167,1,185,69
168,1,186,1
169,1,187,8
170,1,188,74
171,1,189,1
172,1,190,7
173,1,191,4
174,1,192,2
175,1,193,1
176,1,195,4
177,1,196,27
178,1,197,42
179,1,198,12
180,1,199,4
181,1,200,75
182,1,203,6
183,1,205,5
184,1,206,5
185,1,207,6
186,1,208,21
187,1,209,35
188,1,210,8
189,1,211,29
190,1,212,2
191,1,213,3
192,1,214,42
193,1,215,1
194,1,216,25
195,1,217,2
196,1,218,1
197,1,220,1
198,1,221,33
199,1,222,10
200,1,223,3
201,1,224,1
202,1,226,55
203,1,227,87
204,1,228,36
205,1,229,3
206,1,230,2
207,1,231,16
208,1,232,26
209,1,233,20
210,1,234,22
211,1,235,65
212,1,236,53
213,1,238,4
214,1,239,37
215,1,241,172
216,1,242,4
217,1,243,446
218,1,244,52
219,1,245,74
220,1,246,10
221,1,247,2
222,1,248,36
223,1,249,26
224,1,250,15
225,1,251,11
226,1,252,3
227,1,254,26
228,1,255,5
229,1,256,1
230,1,257,5
231,1,258,40
232,1,260,5
233,1,261,1
234,1,262,1
235,1,263,6
236,1,264,2
237,1,265,2
238,1,266,20
239,1,267,15
240,1,268,1
241,1,269,2
242,1,270,20
243,1,271,1
244,1,272,44
245,1,273,1
246,1,274,15
247,1,275,17
248,1,276,13
249,1,277,7
250,1,278,8
251,1,279,37
252,1,280,15
253,1,281,29
254,1,282,9
255,1,283,46
256,1,284,62
257,1,285,3
258,1,286,8
259,1,288,8
260,1,289,2
261,1,290,7
262,1,291,1
263,1,292,1
264,1,293,10
265,1,294,11
266,1,296,23
267,1,297,51
268,1,298,9
269,1,299,3
270,1,300,15
271,1,301,9
272,1,302,1
273,1,303,8
274,1,304,17
275,1,305,2
276,1,306,4
277,1,307,7
278,1,308,4
279,1,309,11
280,1,310,2
281,1,311,2
282,1,312,5
283,1,313,3
284,1,314,13
285,1,315,49
286,1,316,2
287,1,317,13
288,1,318,5
289,1,319,33
290,1,320,6
291,1,321,2
292,1,322,11
293,1,323,4
294,1,324,37
295,1,325,1
296,1,326,3
297,1,327,15
298,1,328,8
299,1,329,7
300,1,330,8
301,1,331,46
302,1,332,15
303,1,333,5
304,1,334,4
305,1,335,5
306,1,336,16
307,1,338,1
308,1,339,81
309,1,340,2
310,1,341,3
311,1,342,14
312,1,343,20
313,1,344,1
314,1,345,3
315,1,346,23
316,1,348,2
317,1,350,4
318,1,351,10
319,1,352,10
320,1,353,11
321,1,354,1
322,1,356,10
323,1,357,8
324,1,358,15
325,1,360,9
326,1,361,18
327,1,362,13
328,1,364,22
329,1,366,5
330,1,367,15
331,1,368,1
332,1,369,20
333,1,370,6
334,1,371,53
335,1,372,2
336,1,373,3
337,1,374,1
338,1,375,18
339,1,376,10
340,1,378,27
341,1,379,13
342,1,380,7
343,1,381,48
344,1,382,4
345,1,383,9
346,1,384,5
347,1,385,6
348,1,386,85
349,1,387,4
350,1,389,3
351,1,390,41
352,1,391,5
353,1,393,21
354,1,394,6
355,1,395,46
356,1,396,3
357,1,397,23
358,1,398,5
359,1,399,7
360,1,401,10
361,1,402,67
362,1,403,8
363,1,404,6
364,1,405,2
365,1,406,6
366,1,407,41
