,t1,t2,ct
0,1,2,2
1,1,4,8
2,1,10,7
3,1,26,2
4,1,28,2
5,1,50,1
6,1,60,1
7,1,75,1
8,1,126,1
9,1,152,5
10,1,153,2
11,1,172,1
12,1,261,1
13,1,401,1
14,1,439,1
15,2,3,3
16,2,4,4
17,2,6,3
18,2,10,5
19,2,15,1
20,2,17,3
21,2,18,1
22,2,25,2
23,2,31,1
24,2,34,15
25,2,35,3
26,2,39,1
27,2,43,1
28,2,44,1
29,2,45,9
30,2,46,2
31,2,49,7
32,2,50,16
33,2,51,7
34,2,52,5
35,2,53,4
36,2,56,17
37,2,59,1
38,2,62,1
39,2,68,6
40,2,75,12
41,2,78,1
42,2,79,2
43,2,81,6
44,2,82,3
45,2,83,6
46,2,90,1
47,2,92,1
48,2,93,12
49,2,96,2
50,2,99,8
51,2,100,1
52,2,101,1
53,2,104,3
54,2,105,1
55,2,106,6
56,2,110,1
57,2,112,8
58,2,115,1
59,2,120,9
60,2,121,3
61,2,122,1
62,2,126,2
63,2,131,5
64,2,134,1
65,2,136,2
66,2,137,3
67,2,141,17
68,2,142,1
69,2,145,2
70,2,147,1
71,2,148,2
72,2,149,5
73,2,152,1
74,2,158,1
75,2,161,5
76,2,163,2
77,2,164,1
78,2,165,1
79,2,167,5
80,2,171,1
81,2,174,1
82,2,177,1
83,2,179,2
84,2,183,1
85,2,184,1
86,2,187,1
87,2,189,1
88,2,195,1
89,2,198,1
90,2,200,3
91,2,201,1
92,2,209,2
93,2,215,3
94,2,217,1
95,2,219,3
96,2,222,3
97,2,227,3
98,2,231,1
99,2,234,1
100,2,235,2
101,2,236,2
102,2,247,1
103,2,249,1
104,2,252,6
105,2,261,3
106,2,263,1
107,2,265,4
108,2,267,1
109,2,269,2
110,2,271,1
111,2,279,1
112,2,283,2
113,2,284,1
114,2,285,4
115,2,296,5
116,2,298,1
117,2,301,2
118,2,303,2
119,2,305,2
120,2,313,4
121,2,316,2
122,2,329,1
123,2,330,1
124,2,339,3
125,2,345,1
126,2,347,1
127,2,352,2
128,2,357,1
129,2,359,1
130,2,364,2
131,2,367,3
132,2,376,1
133,2,392,4
134,2,395,3
135,2,404,1
136,2,406,2
137,2,408,2
138,2,417,1
139,2,418,2
140,2,419,1
141,2,424,3
142,2,430,1
143,2,436,3
144,2,452,2
145,2,454,2
146,2,462,1
147,2,470,3
148,2,504,1
149,2,507,3
150,2,518,2
151,2,580,2
152,2,614,1
153,3,4,9
154,3,5,3
155,3,6,9
156,3,8,1
157,3,10,99
158,3,11,19
159,3,12,9
160,3,13,1
161,3,15,3
162,3,18,1
163,3,19,6
164,3,20,7
165,3,21,5
166,3,23,5
167,3,24,1
168,3,25,4
169,3,26,1
170,3,28,2
171,3,35,2
172,3,36,3
173,3,37,6
174,3,39,2
175,3,40,6
176,3,44,31
