,t1,t2,ct
0,1,2,3
1,1,3,1
2,1,5,1
3,1,9,2
4,1,11,2
5,1,14,1
6,1,16,1
7,1,17,19
8,1,18,1
9,1,29,5
10,1,35,15
11,1,37,2
12,1,43,1
13,1,45,1
14,1,48,2
15,1,50,12
16,1,51,2
17,1,55,2
18,1,57,5
19,1,61,13
20,1,65,1
21,1,77,1
22,1,79,1
23,1,84,8
24,1,90,1
25,1,94,2
26,1,104,1
27,1,105,3
28,1,110,12
29,1,111,3
30,1,117,1
31,1,122,1
32,1,123,12
33,1,124,1
34,1,126,3
35,1,129,2
36,1,132,1
37,1,134,3
38,1,141,2
39,1,148,1
40,1,153,1
41,1,154,1
42,1,155,3
43,1,174,1
44,1,180,2
45,1,198,1
46,1,200,4
47,1,224,1
48,1,230,31
49,1,231,10
50,1,238,4
51,1,246,1
52,1,247,3
53,1,252,1
54,1,253,1
55,1,263,1
56,1,265,4
57,1,268,1
58,1,275,1
59,1,285,1
60,1,286,2
61,1,290,1
62,1,291,1
63,1,292,1
64,1,294,2
65,1,310,1
66,1,313,1
67,1,314,1
68,1,319,1
69,1,331,1
70,1,337,1
71,1,342,1
72,1,353,1
73,1,361,1
74,1,362,1
75,1,414,1
76,1,416,1
77,1,425,1
78,1,430,1
79,1,454,1
80,1,455,1
81,1,457,1
82,1,474,1
83,1,488,1
84,1,504,5
85,1,505,1
86,1,544,1
87,1,554,1
88,1,577,1
89,1,585,1
90,1,588,2
91,1,596,1
92,1,648,1
93,1,650,2
94,1,659,1
95,1,666,1
96,1,680,2
97,1,704,1
98,1,727,1
99,1,728,2
100,1,754,2
101,1,785,1
102,1,792,1
103,1,794,1
104,1,846,1
105,1,851,1
106,1,895,1
107,1,900,1
108,1,938,1
109,1,946,1
110,1,962,1
111,1,974,1
112,1,985,1
113,1,1016,1
114,1,1051,1
115,1,1070,1
116,1,1169,3
117,1,1211,1
118,1,1312,1
119,1,1320,1
120,1,1388,1
121,1,1493,1
122,2,6,1
123,2,8,1
124,2,11,1
125,2,14,1
126,2,16,1
127,2,17,6
128,2,29,1
129,2,35,2
130,2,38,2
131,2,41,1
132,2,43,5
133,2,44,1
