,t1,t2,ct
0,1,2,162
1,1,3,154
2,1,4,24
3,1,5,545
4,1,6,18
5,1,7,42
6,1,8,30
7,1,9,5
8,1,10,74
9,1,11,7
10,1,12,28
11,1,13,18
12,1,14,28
13,1,15,17
14,1,16,186
15,1,17,1
16,1,18,3
17,1,20,8
18,1,21,28
19,1,22,20
20,1,23,2
21,1,24,54
22,1,25,57
23,1,26,2
24,1,27,9
25,1,28,2
26,1,29,6
27,1,30,50
28,1,31,18
29,1,32,11
30,1,33,1
31,1,34,3
32,1,35,25
33,1,36,26
34,1,37,2
35,1,38,23
36,1,39,2
37,1,40,21
38,1,41,21
39,1,42,5
40,1,43,69
41,1,44,40
42,1,45,16
43,1,46,8
44,1,47,10
45,1,48,11
46,1,49,11
47,1,50,45
48,1,51,20
49,1,52,15
50,1,53,1
51,1,54,6
52,1,55,12
53,1,56,3
54,1,57,3
55,1,58,7
56,1,60,10
57,1,61,7
58,1,62,2
59,1,63,2
60,1,65,4
61,1,66,5
62,1,67,22
63,1,69,3
64,1,70,14
65,1,71,13
66,1,72,2
67,1,74,8
68,1,75,2
69,1,76,6
70,1,77,2
71,1,78,115
72,1,79,8
73,1,80,1
74,1,81,7
75,1,82,13
76,1,83,10
77,1,84,3
78,1,85,7
79,1,86,8
80,1,87,7
81,1,88,10
82,1,89,4
83,1,90,14
84,1,91,24
85,1,92,40
86,1,93,6
87,1,94,31
88,1,95,3
89,1,97,18
90,1,98,13
91,1,99,5
92,1,100,17
93,1,101,15
94,1,102,6
95,1,103,18
96,1,104,3
97,1,105,15
98,1,107,4
99,1,108,3
100,1,109,6
101,1,111,16
102,1,112,8
103,1,113,3
104,1,114,7
105,1,115,6
106,1,116,1
107,1,117,4
108,1,118,9
109,1,120,8
110,1,121,6
111,1,122,3
112,1,124,5
113,1,125,1
114,1,126,9
115,1,127,5
116,1,129,4
117,1,130,2
118,1,131,8
119,1,132,9
120,1,133,1
121,1,134,9
122,1,135,19
123,1,136,3
124,1,137,6
125,1,138,4
126,1,139,8
127,1,140,8
128,1,141,8
129,1,143,1
130,1,144,1
131,1,147,25
132,1,148,18
133,1,149,8
134,1,150,4
135,1,151,4
136,1,152,7
137,1,153,18
138,1,154,7
139,1,155,8
140,1,156,2
141,1,157,2
142,1,158,8
143,1,159,1
144,1,161,12
145,1,162,7
146,1,163,6
147,1,164,6
148,1,165,10
149,1,167,2
150,1,168,2
151,1,169,5
152,1,171,1
153,1,173,7
154,1,174,11
155,1,175,4
156,1,176,11
157,1,177,11
158,1,179,1
159,1,180,6
160,1,181,2
161,1,182,22
162,1,183,4
163,1,184,2
164,1,185,1
165,1,186,2
166,1,187,10
167,1,188,2
168,1,189,27
169,1,190,6
170,1,191,3
171,1,193,13
172,1,194,8
173,1,196,3
174,1,197,9
175,1,198,7
176,1,199,12
177,1,201,6
178,1,202,6
179,1,203,2
180,1,204,7
181,1,205,2
182,1,207,4
183,1,208,6
184,1,209,11
185,1,210,4
186,1,211,3
187,1,212,14
188,1,213,1
189,1,215,4
190,1,216,3
191,1,217,2
192,1,218,5
193,1,219,3
194,1,220,2
195,1,221,21
196,1,222,8
197,1,223,4
198,1,224,4
199,1,225,6
200,1,226,2
201,1,227,3
202,1,228,5
203,1,229,7
204,1,230,1
205,1,231,4
206,1,232,2
207,1,234,106
208,1,235,1
209,1,236,4
210,1,237,7
211,1,238,1
212,1,239,10
213,1,240,1
214,1,241,4
215,1,242,9
216,1,243,1
217,1,244,2
218,1,246,5
219,1,248,2
220,1,249,4
221,1,250,1
222,1,251,4
223,1,252,3
224,1,253,3
225,1,254,2
226,1,255,2
227,1,256,5
228,1,257,3
229,1,259,4
230,1,260,6
231,1,261,1
232,1,262,8
233,1,263,2
234,1,264,2
235,1,265,2
236,1,266,4
237,1,267,10
238,1,268,2
239,1,269,4
240,1,271,1
241,1,272,1
242,1,273,8
243,1,274,2
244,1,275,11
245,1,276,7
246,1,277,1
247,1,279,5
248,1,280,9
249,1,281,2
250,1,282,8
251,1,283,1
252,1,284,12
253,1,285,9
254,1,286,1
255,1,287,6
256,1,288,3
257,1,289,1
258,1,290,3
259,1,292,6
260,1,293,2
261,1,294,5
262,1,295,3
263,1,296,1
264,1,297,1
265,1,298,6
266,1,299,3
267,1,300,2
268,1,301,4
269,1,302,6
270,1,304,10
271,1,305,6
272,1,306,3
273,1,307,6
274,1,308,5
275,1,309,1
276,1,310,2
277,1,311,2
278,1,312,5
279,1,314,9
280,1,316,1
281,1,317,15
282,1,318,4
283,1,321,5
284,1,322,15
285,1,323,1
286,1,324,4
287,1,325,2
288,1,326,5
289,1,327,2
290,1,328,1
291,1,329,2
292,1,330,1
293,1,331,3
294,1,332,5
295,1,334,3
296,1,335,4
297,1,337,5
298,1,338,10
299,1,339,9
300,1,340,1
301,1,341,1
302,1,342,11
303,1,343,1
304,1,344,2
305,1,345,5
306,1,346,1
307,1,348,9
308,1,349,5
309,1,350,2
310,1,351,6
311,1,352,3
312,1,353,6
313,1,356,5
314,1,358,7
315,1,360,9
316,1,362,1
317,1,364,13
318,1,365,1
319,1,366,6
320,1,367,4
321,1,368,1
322,1,371,12
323,1,372,2
324,1,373,2
325,1,374,28
326,1,375,1
327,1,376,1
328,1,377,4
329,1,378,3
330,1,379,4
331,1,380,5
332,1,381,5
333,1,382,10
334,1,384,1
335,1,386,3
336,1,388,12
337,1,389,1
338,1,390,4
339,1,392,5
340,1,393,4
341,1,395,3
342,1,396,3
343,1,398,2
344,1,399,6
345,1,400,5
346,1,401,1
347,1,402,5
348,1,403,4
349,1,406,3
350,1,409,1
351,1,412,7
352,1,413,12
353,1,414,6
354,1,415,7
355,1,416,1
356,1,417,2
357,1,421,3
358,1,422,3
359,1,424,3
360,1,425,1
361,1,426,2
362,1,428,4
363,1,429,3
364,1,430,1
365,1,431,4
366,1,433,1
367,1,435,1
368,1,438,3
369,1,439,2
370,1,440,2
371,1,441,1
372,1,442,1
373,1,444,1
374,1,445,4
375,1,446,2
376,1,447,3
377,1,448,1
378,1,450,3
379,1,453,2
380,1,455,4
381,1,458,1
382,1,459,1
383,1,460,1
384,1,461,2
385,1,463,1
386,1,464,1
387,1,465,5
388,1,466,5
389,1,467,2
390,1,468,1
391,1,470,2
392,1,472,3
393,1,473,1
394,1,476,1
395,1,477,1
396,1,480,1
397,1,481,1
398,1,482,2
399,1,484,2
400,1,486,2
401,1,487,2
402,1,488,2
403,1,489,1
404,1,490,3
405,1,491,1
406,1,492,1
407,1,494,1
408,1,495,1
409,1,496,1
410,1,497,10
411,1,498,2
412,1,499,1
413,1,502,1
414,1,504,1
415,1,505,3
416,1,506,2
417,1,509,1
418,1,510,3
419,1,511,1
420,1,512,1
421,1,514,10
422,1,515,7
423,1,516,2
424,1,517,1
425,1,519,1
426,1,520,5
427,1,521,3
428,1,524,1
429,1,528,1
430,1,530,1
431,1,531,1
432,1,532,2
433,1,533,1
434,1,534,1
435,1,535,2
436,1,536,1
437,1,538,1
438,1,539,8
439,1,540,3
440,1,542,1
441,1,543,1
442,1,545,1
443,1,548,1
444,1,549,1
445,1,550,1
446,1,551,2
447,1,552,3
448,1,553,4
449,1,555,2
450,1,557,1
451,1,559,1
452,1,560,1
453,1,561,2
454,1,563,3
455,1,565,1
456,1,566,1
457,1,568,5
458,1,569,1
459,1,571,8
460,1,572,1
461,1,574,1
462,1,575,1
463,1,576,1
464,1,577,1
465,1,580,2
466,1,581,1
467,1,582,2
468,1,583,3
469,1,584,3
470,1,586,1
471,1,588,1
472,1,592,2
473,1,593,1
474,1,594,1
475,1,595,4
476,1,596,3
477,1,597,1
478,1,598,3
479,1,600,6
480,1,602,3
481,1,606,4
482,1,608,2
483,1,609,3
484,1,610,2
485,1,611,1
486,1,612,3
487,1,615,1
488,1,616,3
489,1,617,1
490,1,618,4
491,1,619,12
492,1,620,2
493,1,621,2
494,1,622,1
495,1,624,1
496,1,628,8
497,1,630,2
498,1,631,1
499,1,634,8
500,1,636,1
501,1,638,1
502,1,639,3
503,1,640,1
504,1,641,1
505,1,642,3
506,1,649,1
507,1,651,4
508,1,652,1
509,1,653,2
510,1,654,4
511,1,658,1
512,1,659,3
513,1,660,1
514,1,661,1
515,1,666,2
516,1,669,1
517,1,670,1
518,1,673,2
519,1,674,2
520,1,676,6
521,1,677,1
522,1,678,34
523,1,680,1
524,1,684,1
525,1,685,1
526,1,686,3
527,1,689,2
528,1,695,1
529,1,700,1
530,1,701,5
531,1,702,1
532,1,703,1
533,1,704,2
534,1,705,2
535,1,707,1
536,1,709,1
537,1,710,1
538,1,711,1
539,1,712,1
540,1,715,1
541,1,721,2
542,1,723,1
543,1,728,1
544,1,731,1
545,1,732,2
546,1,733,1
547,1,734,1
548,1,735,6
549,1,736,2
550,1,737,2
551,1,738,1
552,1,739,1
553,1,741,5
554,1,744,1
555,1,745,3
556,1,746,1
557,1,749,1
558,1,750,1
559,1,751,1
560,1,752,1
561,1,755,2
562,1,758,1
563,1,759,1
564,1,761,1
565,1,764,1
566,1,768,1
567,1,771,1
568,1,772,1
569,1,775,1
570,1,785,1
571,1,789,1
572,1,790,1
573,1,796,1
574,1,800,1
575,1,801,1
576,1,802,1
577,1,811,2
578,1,822,1
579,1,824,1
580,1,825,1
581,1,827,1
582,1,829,2
583,1,833,2
584,1,835,1
585,1,837,1
586,1,840,1
587,1,841,1
588,1,842,1
589,1,848,1
590,1,851,1
591,1,855,1
592,1,859,1
593,1,870,1
594,2,3,69
595,2,4,18
596,2,5,105
597,2,6,9
598,2,7,22
599,2,8,2
600,2,9,2
601,2,10,18
602,2,11,1
603,2,12,9
604,2,14,9
605,2,15,7
606,2,16,43
607,2,17,1
608,2,18,1
609,2,20,10
610,2,21,6
611,2,22,3
612,2,24,15
613,2,25,44
614,2,26,1
615,2,27,12
616,2,28,2
617,2,30,21
618,2,32,2
619,2,33,3
620,2,34,11
621,2,35,10
622,2,36,31
623,2,38,7
624,2,40,4
625,2,41,96
626,2,42,5
627,2,43,26
628,2,44,48
629,2,45,1
630,2,46,4
631,2,47,9
632,2,48,1
633,2,49,2
634,2,50,27
635,2,51,31
636,2,52,5
637,2,54,44
638,2,55,29
639,2,56,5
640,2,57,2
641,2,58,1
642,2,60,21
643,2,61,28
644,2,63,10
645,2,65,6
646,2,66,7
647,2,67,16
648,2,69,14
649,2,70,10
650,2,71,12
651,2,72,1
652,2,74,20
653,2,75,4
654,2,76,7
655,2,77,8
656,2,78,51
657,2,79,6
658,2,80,2
659,2,81,3
660,2,82,6
661,2,83,2
662,2,85,4
663,2,86,4
664,2,87,2
665,2,88,3
666,2,90,5
667,2,91,35
668,2,92,27
669,2,93,1
670,2,94,5
671,2,95,2
672,2,96,1
673,2,97,17
674,2,98,4
675,2,100,21
676,2,101,30
677,2,102,12
678,2,103,19
679,2,105,4
680,2,106,1
681,2,107,6
682,2,109,1
683,2,111,5
684,2,112,6
685,2,113,4
686,2,114,2
687,2,115,2
688,2,116,1
689,2,117,3
690,2,118,14
691,2,120,21
692,2,122,4
693,2,124,4
694,2,126,5
695,2,127,2
696,2,129,1
697,2,130,1
698,2,131,11
699,2,132,2
700,2,133,2
701,2,134,1
702,2,135,5
703,2,136,1
704,2,137,18
705,2,138,1
706,2,140,1
707,2,144,1
708,2,146,1
709,2,148,5
710,2,149,8
711,2,150,11
712,2,151,4
713,2,152,3
714,2,153,14
715,2,158,7
716,2,161,13
717,2,163,1
718,2,164,7
719,2,165,17
720,2,167,4
721,2,168,4
722,2,169,15
723,2,170,2
724,2,174,2
725,2,175,10
726,2,176,11
727,2,177,22
728,2,182,2
729,2,184,3
730,2,187,7
731,2,188,3
732,2,189,6
733,2,190,5
734,2,191,1
735,2,194,2
736,2,195,1
737,2,196,3
738,2,198,4
739,2,199,13
740,2,201,3
741,2,204,1
742,2,207,3
743,2,209,11
744,2,210,7
745,2,211,1
746,2,212,30
747,2,215,5
748,2,216,1
749,2,217,12
750,2,218,1
751,2,221,3
752,2,222,1
753,2,223,1
754,2,228,7
755,2,229,2
756,2,231,2
757,2,234,6
758,2,235,4
759,2,237,1
760,2,238,3
761,2,239,1
762,2,241,2
763,2,242,3
764,2,243,5
765,2,244,2
766,2,246,6
767,2,249,3
768,2,251,2
769,2,253,3
770,2,254,1
771,2,255,1
772,2,257,1
773,2,258,6
774,2,259,9
775,2,260,3
776,2,261,1
777,2,262,1
778,2,263,3
779,2,266,1
780,2,267,8
781,2,268,1
782,2,269,2
783,2,271,1
784,2,273,4
785,2,275,6
786,2,276,2
787,2,279,1
788,2,280,6
789,2,281,4
790,2,282,2
791,2,283,6
792,2,284,2
793,2,285,5
794,2,286,1
795,2,287,3
796,2,289,2
797,2,291,1
798,2,292,14
799,2,293,7
800,2,294,23
801,2,295,2
802,2,296,1
803,2,297,1
804,2,301,2
805,2,302,4
806,2,304,4
807,2,305,5
808,2,306,3
809,2,310,10
810,2,311,9
811,2,314,3
812,2,316,1
813,2,317,1
814,2,318,1
815,2,321,10
816,2,322,2
817,2,324,8
818,2,325,1
819,2,326,26
820,2,328,3
821,2,330,2
822,2,331,2
823,2,332,2
824,2,334,5
825,2,335,6
826,2,336,8
827,2,337,2
828,2,340,1
829,2,342,4
830,2,344,4
831,2,345,1
832,2,346,1
833,2,347,1
834,2,348,1
835,2,351,5
836,2,353,13
837,2,358,1
838,2,359,1
839,2,363,3
840,2,364,3
841,2,366,1
842,2,367,2
843,2,371,10
844,2,373,1
845,2,374,5
846,2,375,1
847,2,381,2
848,2,382,2
849,2,383,1
850,2,384,2
851,2,385,3
852,2,386,15
853,2,387,1
854,2,388,3
855,2,389,2
856,2,390,1
857,2,392,2
858,2,393,1
859,2,396,2
860,2,399,1
861,2,400,31
862,2,401,8
863,2,402,4
864,2,403,2
865,2,406,1
866,2,407,2
867,2,408,1
868,2,412,1
869,2,413,21
870,2,414,15
871,2,415,22
872,2,419,1
873,2,420,1
874,2,421,22
875,2,422,1
876,2,423,1
877,2,424,1
878,2,425,1
879,2,426,10
880,2,428,2
881,2,429,2
882,2,430,1
883,2,431,3
884,2,432,2
885,2,433,2
