,t1,t2,ct
0,1,2,23
1,1,3,17
2,1,4,3
3,1,5,1
4,1,6,3
5,1,7,26
6,1,8,29
7,1,9,4
8,1,10,3
9,1,11,3
10,1,12,4
11,1,14,24
12,1,15,5
13,1,16,66
14,1,17,10
15,1,18,16
16,1,19,2
17,1,20,3
18,1,21,3
19,1,22,1
20,1,23,15
21,1,24,1
22,1,27,3
23,1,29,30
24,1,30,25
25,1,31,8
26,1,32,20
27,1,33,6
28,1,34,1
29,1,35,2
30,1,36,21
31,1,39,8
32,1,40,3
33,1,42,1
34,1,43,4
35,1,44,8
36,1,45,3
37,1,48,6
38,1,49,3
39,1,50,1
40,1,51,1
41,1,52,2
42,1,54,15
43,1,55,3
44,1,56,9
45,1,58,13
46,1,60,1
47,1,61,2
48,1,63,1
49,1,65,1
50,1,66,1
51,1,67,2
52,1,69,1
53,1,70,1
54,1,71,2
55,1,73,2
56,1,77,1
57,1,78,3
58,1,79,2
59,1,82,2
60,1,83,1
61,1,84,1
62,1,85,1
63,1,87,1
64,1,88,5
65,1,89,1
66,1,90,1
67,1,91,1
68,1,93,1
69,1,94,2
70,1,99,1
71,1,102,1
72,1,105,2
73,1,107,1
74,1,108,1
75,1,110,1
76,1,112,1
77,1,113,1
78,1,115,15
79,1,118,17
80,1,119,7
81,1,121,2
82,1,122,1
83,1,124,4
84,1,128,3
85,1,130,1
86,1,131,1
87,1,135,2
88,1,139,2
89,1,143,4
90,1,146,1
91,1,149,1
92,1,151,18
93,1,153,1
94,1,157,1
95,1,158,1
96,1,159,1
97,1,160,2
98,1,162,1
99,1,166,3
100,1,172,1
101,1,173,2
102,1,174,2
103,1,177,1
104,1,179,1
105,1,183,1
106,1,195,1
107,1,196,1
108,1,201,1
109,1,205,1
110,1,217,2
111,1,218,1
112,1,220,1
113,1,229,1
114,1,235,1
115,1,248,1
116,2,3,9
117,2,4,5
118,2,5,2
119,2,7,20
120,2,8,1
121,2,9,6
122,2,10,1
123,2,12,2
124,2,14,4
125,2,15,1
126,2,16,27
127,2,17,19
128,2,18,57
129,2,20,1
130,2,22,2
131,2,23,4
132,2,29,5
133,2,30,37
134,2,31,1
135,2,32,8
136,2,33,1
137,2,36,8
138,2,39,5
139,2,41,1
140,2,44,5
141,2,45,2
142,2,46,1
143,2,48,14
144,2,49,2
145,2,54,3
146,2,55,1
147,2,56,2
148,2,58,43
149,2,61,3
150,2,63,1
151,2,65,1
152,2,67,1
153,2,68,1
154,2,69,2
155,2,73,1
156,2,84,2
157,2,85,2
158,2,88,10
159,2,92,1
160,2,93,1
161,2,94,1
162,2,99,1
163,2,102,1
164,2,105,10
165,2,113,1
166,2,115,5
167,2,118,8
168,2,119,1
169,2,121,1
170,2,124,5
171,2,127,1
172,2,128,1
173,2,130,1
174,2,131,1
175,2,135,4
176,2,139,1
177,2,143,1
178,2,145,1
179,2,146,1
180,2,149,1
181,2,151,21
182,2,157,1
183,2,158,1
184,2,160,2
185,2,166,1
186,2,174,2
187,2,177,1
188,2,178,2
189,2,179,1
190,2,184,2
191,2,201,3
192,2,202,1
193,2,205,1
194,2,213,1
195,3,4,6
196,3,5,13
197,3,6,4
198,3,7,5
199,3,8,1
200,3,10,20
201,3,11,6
202,3,12,1
203,3,14,4
204,3,16,3
205,3,18,8
206,3,23,1
207,3,29,4
208,3,32,2
209,3,33,3
210,3,34,1
211,3,36,1
212,3,40,2
213,3,41,12
214,3,42,1
215,3,46,4
216,3,48,16
217,3,50,5
218,3,54,1
219,3,55,1
220,3,56,1
221,3,57,1
222,3,65,4
223,3,67,2
224,3,71,2
225,3,72,4
226,3,77,1
227,3,88,1
228,3,94,5
229,3,97,1
230,3,100,1
231,3,102,2
232,3,103,5
233,3,106,3
234,3,109,1
235,3,115,11
236,3,118,1
237,3,119,1
238,3,126,3
239,3,127,8
240,3,129,1
241,3,135,2
242,3,143,1
243,3,146,1
244,3,148,1
245,3,151,1
246,3,153,3
247,3,157,1
248,3,158,1
249,3,164,2
250,3,165,3
251,3,174,3
252,3,177,1
253,3,181,1
254,3,191,1
255,3,193,1
256,3,201,1
257,3,203,1
258,3,220,1
259,3,228,1
260,3,235,1
261,4,118,1
262,4,174,2
263,5,6,1
264,5,7,4
265,5,10,23
266,5,11,1
267,5,18,4
268,5,22,1
269,5,29,1
270,5,30,1
271,5,41,3
272,5,46,3
273,5,48,13
274,5,55,1
275,5,65,1
276,5,71,1
277,5,72,5
278,5,103,2
279,5,105,1
280,5,115,1
281,5,121,1
282,5,124,1
283,5,127,1
284,5,148,1
285,5,150,1
286,5,151,1
287,5,193,2
288,5,199,1
289,6,29,1
290,6,115,1
291,7,8,237
292,7,9,11
293,7,10,2
294,7,11,1
295,7,12,117
296,7,13,2
297,7,14,120
298,7,16,129
299,7,17,89
300,7,18,10
301,7,19,9
302,7,20,13
303,7,21,6
304,7,22,6
305,7,23,76
306,7,24,2
307,7,25,5
308,7,27,6
309,7,29,25
310,7,30,41
311,7,31,5
312,7,32,38
313,7,33,16
314,7,35,2
315,7,36,46
316,7,37,3
317,7,39,26
318,7,40,1
319,7,42,5
320,7,43,10
321,7,44,5
322,7,45,8
323,7,46,1
324,7,48,3
325,7,49,10
326,7,50,3
327,7,51,1
328,7,52,1
329,7,53,1
330,7,54,26
331,7,55,6
332,7,56,3
333,7,58,54
334,7,60,3
335,7,61,26
336,7,67,2
337,7,70,1
338,7,71,2
339,7,73,10
340,7,74,6
341,7,75,1
342,7,76,1
343,7,77,6
344,7,78,4
345,7,81,3
346,7,82,12
347,7,83,5
348,7,86,5
349,7,88,12
350,7,90,1
351,7,91,7
352,7,92,1
353,7,93,9
354,7,94,8
355,7,95,12
356,7,96,3
357,7,98,1
358,7,102,1
359,7,104,4
360,7,105,136
361,7,108,2
362,7,109,1
363,7,110,3
364,7,111,7
365,7,112,2
366,7,113,2
367,7,115,3
368,7,116,1
369,7,117,1
370,7,118,12
371,7,119,5
372,7,120,1
373,7,121,10
374,7,122,1
375,7,123,2
376,7,124,6
377,7,125,2
378,7,128,2
379,7,130,4
380,7,131,4
381,7,134,1
382,7,135,30
383,7,137,3
384,7,139,46
385,7,141,4
386,7,142,2
387,7,143,2
388,7,144,1
389,7,145,1
390,7,146,11
391,7,147,4
392,7,148,1
393,7,151,24
394,7,153,2
395,7,154,4
396,7,158,1
397,7,159,2
398,7,160,2
399,7,162,2
400,7,164,1
401,7,165,1
402,7,166,1
403,7,167,1
404,7,170,1
405,7,177,1
406,7,178,1
407,7,181,1
408,7,183,1
409,7,187,1
410,7,189,1
411,7,190,2
412,7,191,40
413,7,192,1
414,7,194,3
415,7,199,4
416,7,201,1
417,7,202,1
418,7,204,1
419,7,205,25
420,7,208,2
421,7,214,1
422,7,215,1
423,7,216,4
424,7,217,2
425,7,219,40
426,7,220,16
427,7,224,3
428,7,225,1
429,7,227,1
430,7,228,1
431,7,230,1
432,7,232,1
433,7,234,2
434,7,247,1
435,7,248,1
436,8,9,11
437,8,10,6
438,8,11,2
439,8,12,19
440,8,13,4
441,8,14,97
442,8,16,130
443,8,17,29
444,8,18,5
445,8,19,4
446,8,20,13
447,8,21,11
448,8,22,2
449,8,23,35
450,8,25,2
451,8,26,3
452,8,27,4
453,8,28,1
454,8,29,6
455,8,30,4
456,8,31,4
457,8,32,43
458,8,33,3
459,8,34,2
460,8,35,2
461,8,36,35
462,8,37,1
463,8,39,12
464,8,42,14
465,8,43,9
466,8,44,2
467,8,45,2
468,8,49,7
469,8,50,2
470,8,54,55
471,8,56,1
472,8,58,8
473,8,60,1
474,8,61,13
475,8,63,1
476,8,64,1
477,8,65,5
478,8,66,2
479,8,71,3
480,8,73,3
481,8,74,4
482,8,77,1
483,8,78,1
484,8,79,1
485,8,82,4
486,8,83,1
487,8,85,1
488,8,86,1
489,8,88,5
490,8,91,4
491,8,92,1
492,8,93,11
493,8,94,3
494,8,95,1
495,8,96,1
496,8,98,1
497,8,99,2
498,8,104,2
499,8,105,17
500,8,109,1
501,8,110,1
502,8,111,1
503,8,112,3
504,8,113,3
505,8,114,1
506,8,117,1
507,8,118,1
508,8,119,1
509,8,121,4
510,8,122,2
511,8,123,4
512,8,124,3
513,8,125,1
514,8,128,3
515,8,130,1
516,8,131,3
517,8,132,1
518,8,133,1
519,8,134,2
520,8,135,5
521,8,137,1
522,8,139,4
523,8,141,3
524,8,142,3
525,8,143,1
526,8,151,7
527,8,155,1
528,8,157,1
529,8,159,1
530,8,163,2
531,8,171,1
532,8,182,1
533,8,189,2
534,8,191,1
535,8,198,1
536,8,199,2
537,8,201,1
538,8,203,1
539,8,205,3
540,8,217,2
541,8,220,1
542,9,10,3
543,9,11,2
544,9,13,2
545,9,14,1
546,9,15,3
547,9,16,14
548,9,17,3
549,9,18,7
550,9,19,7
551,9,20,4
552,9,21,1
553,9,22,2
554,9,23,84
555,9,24,3
556,9,27,12
557,9,32,19
558,9,33,6
559,9,36,1
560,9,42,1
561,9,43,2
562,9,47,3
563,9,48,5
564,9,49,8
565,9,51,3
566,9,56,1
567,9,57,1
568,9,61,4
569,9,65,1
570,9,67,2
571,9,71,1
572,9,77,2
573,9,81,1
574,9,86,1
575,9,88,1
576,9,90,1
577,9,91,1
578,9,92,15
579,9,93,4
580,9,96,23
581,9,99,6
582,9,105,1
583,9,109,5
584,9,110,2
585,9,111,3
586,9,112,2
587,9,113,10
588,9,114,4
589,9,116,5
590,9,118,2
591,9,122,4
592,9,125,22
593,9,129,3
594,9,135,2
595,9,145,1
596,9,151,2
597,9,152,1
598,9,154,1
599,9,156,2
600,9,176,1
601,9,179,1
602,9,180,1
603,9,183,1
604,9,186,2
605,9,195,1
606,9,200,2
607,9,207,2
608,9,208,1
609,9,221,1
610,9,246,1
611,9,249,1
612,9,250,1
613,10,11,26
614,10,12,3
615,10,13,1
616,10,14,6
617,10,16,7
618,10,17,1
619,10,18,17
620,10,19,1
621,10,20,2
622,10,21,2
623,10,23,15
624,10,28,9
625,10,29,3
626,10,30,5
627,10,31,1
628,10,32,3
629,10,33,3
630,10,36,1
631,10,38,32
632,10,41,1
633,10,45,1
634,10,46,2
635,10,48,29
636,10,50,5
637,10,51,1
638,10,55,1
639,10,57,1
640,10,61,1
641,10,63,1
642,10,64,1
643,10,65,6
644,10,68,1
645,10,71,9
646,10,72,6
647,10,74,2
648,10,76,1
649,10,77,1
650,10,81,1
651,10,85,4
652,10,86,6
653,10,88,5
654,10,91,9
655,10,94,5
656,10,95,1
657,10,97,7
658,10,100,1
659,10,101,1
660,10,103,5
661,10,106,1
662,10,112,6
663,10,115,1
664,10,120,1
665,10,124,1
666,10,126,2
667,10,127,1
668,10,135,1
669,10,139,1
670,10,141,1
671,10,146,1
672,10,148,5
673,10,150,12
674,10,151,2
675,10,153,4
676,10,155,2
677,10,163,1
678,10,164,1
679,10,165,1
680,10,169,1
681,10,175,2
682,10,184,2
683,10,188,2
684,10,191,1
685,10,198,1
686,10,207,1
687,10,210,1
688,10,216,1
689,11,12,1
690,11,14,1
691,11,16,3
692,11,18,3
693,11,20,1
694,11,21,7
695,11,23,2
696,11,28,4
697,11,32,3
698,11,33,3
699,11,37,1
700,11,38,3
701,11,41,1
702,11,48,4
703,11,65,1
704,11,66,1
705,11,71,2
706,11,74,2
707,11,76,1
708,11,77,1
709,11,86,3
710,11,88,1
711,11,93,1
712,11,97,4
713,11,106,1
714,11,115,1
715,11,120,1
716,11,126,3
717,11,127,1
718,11,129,1
719,11,135,1
720,11,147,1
721,11,148,4
722,11,150,1
723,11,151,1
724,11,155,1
725,11,199,1
726,11,200,1
727,11,201,1
728,11,204,1
729,11,207,2
730,12,14,11
731,12,16,15
732,12,18,11
733,12,19,1
734,12,20,1
735,12,23,5
736,12,29,2
737,12,30,1
738,12,31,1
739,12,32,6
740,12,33,2
741,12,36,2
742,12,39,4
743,12,40,1
744,12,43,1
745,12,45,5
746,12,49,1
747,12,53,1
748,12,55,3
749,12,58,2
750,12,59,1
751,12,61,1
752,12,63,1
753,12,77,3
754,12,86,2
755,12,88,3
756,12,91,1
757,12,94,1
758,12,95,2
759,12,105,47
760,12,117,1
761,12,118,2
762,12,119,1
763,12,126,1
764,12,130,1
765,12,131,2
766,12,134,2
767,12,135,3
768,12,139,34
769,12,141,1
770,12,146,12
771,12,147,7
772,12,148,1
773,12,150,1
774,12,151,6
775,12,153,1
776,12,184,1
777,12,189,1
778,12,199,3
779,12,216,5
780,12,226,1
781,12,234,2
782,13,14,1
783,13,16,1
784,13,48,1
785,13,74,4
786,14,16,74
787,14,17,4
788,14,18,18
789,14,19,6
790,14,20,1
791,14,21,1
792,14,22,2
793,14,23,38
794,14,25,2
795,14,27,2
796,14,29,12
797,14,30,9
798,14,32,14
799,14,33,5
800,14,34,1
801,14,36,28
802,14,39,12
803,14,40,2
804,14,41,1
805,14,42,4
806,14,43,2
807,14,48,6
808,14,49,2
809,14,52,1
810,14,53,4
811,14,54,39
812,14,55,7
813,14,56,5
814,14,57,1
815,14,58,7
816,14,59,1
817,14,61,18
818,14,62,3
819,14,63,2
820,14,65,1
821,14,66,1
822,14,70,1
823,14,71,3
824,14,73,2
825,14,75,1
826,14,81,1
827,14,82,1
828,14,83,1
829,14,85,2
830,14,86,3
831,14,88,11
832,14,89,1
833,14,90,1
834,14,93,5
835,14,95,2
836,14,97,1
837,14,98,1
838,14,103,1
839,14,105,13
840,14,108,3
841,14,112,1
842,14,113,1
843,14,115,10
844,14,116,2
845,14,118,6
846,14,119,3
847,14,120,2
848,14,121,6
849,14,122,1
850,14,124,1
851,14,128,2
852,14,130,4
853,14,131,1
854,14,134,2
855,14,135,1
856,14,137,2
857,14,143,2
858,14,147,1
859,14,148,1
860,14,150,1
861,14,151,13
862,14,155,2
863,14,158,3
864,14,160,1
865,14,166,1
866,14,182,1
867,14,185,1
868,14,187,1
869,14,188,1
870,14,189,2
871,14,192,1
872,14,194,3
873,14,199,1
874,14,208,1
875,14,209,1
876,14,210,1
877,14,218,1
878,14,220,1
879,15,16,2
880,15,18,1
881,15,23,3
882,15,31,3
883,15,32,6
884,15,33,7
885,15,48,1
886,15,49,1
887,15,57,1
888,15,67,1
889,15,69,1
890,15,70,1
891,15,87,1
892,15,93,1
893,15,118,1
894,15,119,2
895,15,211,1
896,15,217,1
897,16,17,26
898,16,18,62
899,16,19,14
900,16,20,21
901,16,21,14
902,16,22,4
903,16,23,67
904,16,24,7
905,16,26,3
906,16,27,8
907,16,28,1
908,16,29,25
909,16,30,31
910,16,31,2
911,16,32,87
912,16,33,7
913,16,34,2
914,16,35,3
915,16,36,78
916,16,37,4
917,16,38,1
918,16,39,10
919,16,41,1
920,16,42,13
921,16,43,9
922,16,44,6
923,16,45,5
924,16,48,24
925,16,49,8
926,16,50,6
927,16,51,2
928,16,52,2
929,16,54,40
930,16,55,3
931,16,56,14
932,16,57,1
