,t1,t2,ct
0,1,2,1
1,1,3,31
2,1,4,2
3,1,5,1
4,1,6,4
5,1,7,1
6,1,8,2
7,1,10,1
8,1,11,1
9,1,14,1
10,1,17,21
11,1,19,2
12,1,22,2
13,1,26,1
14,1,29,2
15,1,32,2
16,1,34,11
17,1,35,1
18,1,45,13
19,1,48,1
20,1,49,6
21,1,54,1
22,1,56,1
23,1,57,3
24,1,58,1
25,1,61,1
26,1,62,3
27,1,70,2
28,1,71,1
29,1,73,1
30,1,81,2
31,1,89,1
32,1,95,1
33,1,97,8
34,1,98,4
35,1,100,1
36,1,106,2
37,1,110,1
38,1,111,1
39,1,112,1
40,1,120,2
41,1,125,3
42,1,126,3
43,1,131,1
44,1,139,1
45,1,140,2
46,1,147,4
47,1,156,1
48,1,157,3
49,1,160,1
50,1,162,1
51,1,172,1
52,1,175,3
53,1,180,1
54,1,185,1
55,1,187,1
56,1,195,1
57,1,198,2
58,1,208,2
59,1,211,1
60,1,213,2
61,1,221,1
62,1,238,2
63,1,266,1
64,1,268,1
65,2,3,2
66,2,5,1
67,2,17,1
68,2,110,1
69,3,4,15
70,3,5,2
71,3,6,9
72,3,7,3
73,3,8,11
74,3,9,4
75,3,10,3
76,3,11,4
77,3,12,1
78,3,13,8
79,3,14,1
80,3,17,40
81,3,18,1
82,3,19,3
83,3,20,3
84,3,21,1
85,3,22,3
86,3,24,3
87,3,25,1
88,3,26,2
89,3,27,1
90,3,28,5
91,3,29,9
92,3,30,5
93,3,31,2
94,3,33,1
95,3,34,13
96,3,35,6
97,3,36,1
98,3,37,5
99,3,38,2
100,3,39,6
101,3,40,2
102,3,41,1
103,3,42,3
104,3,45,40
105,3,46,1
106,3,49,3
107,3,54,2
108,3,56,1
109,3,57,3
110,3,58,6
111,3,59,1
112,3,61,2
113,3,62,2
114,3,67,1
115,3,68,2
116,3,69,5
117,3,70,4
118,3,71,3
119,3,72,1
120,3,73,5
121,3,78,1
122,3,80,1
123,3,81,6
124,3,84,1
125,3,85,4
126,3,86,1
127,3,90,2
128,3,92,1
129,3,93,1
130,3,94,1
131,3,95,4
132,3,96,1
133,3,97,11
134,3,98,2
135,3,99,1
136,3,101,7
137,3,102,1
138,3,103,1
139,3,104,1
140,3,105,2
141,3,106,2
142,3,108,1
143,3,109,1
144,3,110,1
145,3,111,1
146,3,113,3
147,3,114,2
148,3,115,1
149,3,116,1
150,3,120,2
151,3,126,3
152,3,127,1
153,3,128,1
154,3,130,2
155,3,132,1
156,3,133,1
157,3,135,1
158,3,136,1
159,3,140,3
160,3,145,1
161,3,147,2
162,3,148,1
163,3,151,1
164,3,154,1
165,3,156,2
166,3,157,6
167,3,158,1
168,3,159,2
169,3,160,3
170,3,161,1
171,3,162,1
172,3,166,1
173,3,174,1
174,3,175,2
175,3,177,2
176,3,178,1
177,3,180,1
178,3,185,2
179,3,187,1
180,3,191,1
181,3,195,1
182,3,197,3
183,3,198,4
184,3,205,1
185,3,207,1
186,3,208,2
187,3,213,5
188,3,214,1
189,3,216,1
190,3,221,2
191,3,222,1
192,3,224,1
193,3,227,1
194,3,234,1
195,3,241,1
196,3,248,1
197,3,250,1
198,3,254,2
199,3,258,1
200,3,268,2
201,3,275,1
202,4,5,27
203,4,6,18
204,4,7,23
205,4,8,14
206,4,9,14
207,4,10,3
208,4,11,4
209,4,12,1
210,4,13,26
211,4,14,1
212,4,16,1
213,4,17,4
214,4,20,9
215,4,21,2
216,4,22,1
217,4,24,11
218,4,25,3
219,4,26,6
220,4,27,1
221,4,28,5
222,4,29,5
223,4,30,1
224,4,31,1
225,4,32,3
226,4,33,4
227,4,34,9
228,4,37,2
229,4,38,3
230,4,39,5
231,4,40,8
232,4,41,4
233,4,42,3
234,4,44,2
235,4,45,31
236,4,46,1
237,4,47,3
238,4,48,3
239,4,49,5
240,4,51,1
241,4,52,3
242,4,55,2
243,4,58,11
244,4,59,4
245,4,60,3
246,4,63,2
247,4,65,1
248,4,66,1
249,4,67,2
250,4,69,2
251,4,70,1
252,4,71,4
253,4,72,3
254,4,74,1
255,4,76,3
256,4,77,4
257,4,78,13
258,4,79,2
259,4,81,25
260,4,83,1
261,4,85,5
262,4,88,2
263,4,89,3
264,4,90,11
265,4,92,7
266,4,93,1
267,4,94,1
268,4,95,11
269,4,97,26
270,4,99,2
271,4,100,1
272,4,101,3
273,4,103,2
274,4,104,12
275,4,105,5
276,4,106,20
277,4,107,3
278,4,108,6
279,4,111,1
280,4,113,2
281,4,114,3
282,4,118,1
283,4,119,2
284,4,124,1
285,4,125,3
286,4,126,1
287,4,127,1
288,4,128,3
289,4,130,5
290,4,134,1
291,4,135,4
292,4,136,1
293,4,138,1
294,4,139,1
295,4,140,13
296,4,142,4
297,4,145,6
298,4,147,2
299,4,148,1
300,4,150,1
301,4,151,8
302,4,152,6
303,4,153,1
304,4,156,1
305,4,157,2
306,4,158,13
307,4,160,2
308,4,161,1
309,4,162,3
310,4,164,1
311,4,165,6
312,4,166,5
313,4,171,1
314,4,173,6
315,4,176,1
316,4,177,1
317,4,178,16
318,4,179,2
319,4,181,1
320,4,182,1
321,4,183,3
322,4,185,1
323,4,187,5
324,4,188,1
325,4,190,1
326,4,193,2
327,4,195,5
328,4,197,4
