,t1,t2,ct
0,1,2,8
1,1,4,1
2,1,5,2
3,1,6,4
4,1,7,1
5,1,8,2
6,1,9,1
7,1,12,2
8,1,15,1
9,1,16,2
10,1,17,2
11,1,18,2
12,1,19,2
13,1,20,1
14,1,27,2
15,1,28,1
16,1,33,1
17,1,34,2
18,1,41,2
19,1,42,1
20,1,50,1
21,1,62,1
22,1,65,1
23,1,66,3
24,1,67,2
25,1,68,2
26,1,74,1
27,1,83,1
28,1,106,1
29,2,4,1
30,2,5,2
31,2,6,2
32,2,8,2
33,2,9,11
34,2,12,2
35,2,13,12
36,2,14,2
37,2,15,3
38,2,16,4
39,2,19,2
40,2,20,1
41,2,21,1
42,2,22,10
43,2,24,2
44,2,25,1
45,2,26,3
46,2,28,9
47,2,30,2
48,2,31,1
49,2,33,4
50,2,34,2
51,2,35,6
52,2,36,1
53,2,37,1
54,2,38,2
55,2,39,1
56,2,40,1
57,2,41,8
58,2,42,3
59,2,43,1
60,2,45,1
61,2,46,6
62,2,47,8
63,2,48,4
64,2,51,2
65,2,52,1
66,2,55,2
67,2,57,1
68,2,59,5
69,2,65,1
70,2,66,2
71,2,68,5
72,2,70,4
73,2,71,1
74,2,78,7
75,2,79,3
76,2,80,3
77,2,81,1
78,2,84,1
79,2,87,1
80,2,90,1
81,2,91,3
82,2,92,1
83,2,95,1
84,2,96,1
85,2,97,1
86,2,98,1
87,2,99,1
88,2,114,1
89,3,4,2
90,3,15,1
91,3,24,3
92,3,28,5
93,3,30,1
94,3,47,1
95,3,59,3
96,3,76,1
97,4,5,2
98,4,6,1
99,4,7,1
100,4,9,1
101,4,10,1
102,4,12,1
103,4,14,1
104,4,22,1
105,4,24,2
106,4,28,2
107,4,30,1
108,4,34,2
109,5,6,1
110,5,7,1
111,5,10,1
112,5,11,1
113,5,12,1
114,5,14,1
115,5,22,1
116,5,26,1
117,5,34,1
118,5,42,1
119,6,7,5
120,6,12,3
121,6,13,1
122,6,22,1
123,6,28,1
124,6,34,12
125,6,37,4
126,6,41,1
127,6,42,1
128,6,46,1
129,6,48,1
130,6,52,1
131,6,55,1
132,6,66,1
133,6,67,2
134,6,68,1
135,6,87,2
136,6,93,1
137,7,12,1
138,7,22,3
139,7,34,1
140,7,41,1
141,7,65,2
142,7,79,1
143,7,84,1
144,7,87,1
145,8,19,1
146,8,41,1
147,8,42,1
148,9,13,6
149,9,14,1
150,9,28,2
151,9,34,2
152,9,36,1
153,9,41,4
154,9,46,2
155,9,47,5
156,9,48,3
157,9,51,1
158,9,52,2
159,9,55,1
160,9,68,1
161,9,78,1
162,9,80,1
163,9,84,2
164,9,85,1
165,9,89,1
166,9,90,1
167,9,91,1
168,9,92,1
169,9,94,1
170,9,97,2
171,9,100,1
172,9,106,1
173,10,11,1
174,10,12,1
175,11,12,2
176,11,37,1
177,12,13,2
178,12,14,1
179,12,24,1
180,12,25,1
181,12,27,1
182,12,33,5
183,12,34,3
184,12,37,3
185,12,41,1
186,12,46,1
187,12,48,1
188,12,50,1
189,12,52,1
190,12,64,1
191,12,65,1
192,12,93,1
193,13,21,1
194,13,22,2
195,13,26,1
196,13,27,1
197,13,28,2
198,13,34,2
199,13,35,2
200,13,36,1
201,13,41,1
202,13,45,1
203,13,46,6
204,13,47,6
205,13,48,2
206,13,51,2
207,13,52,1
208,13,55,2
209,13,57,1
210,13,59,5
211,13,68,2
212,13,70,1
213,13,78,3
214,13,81,1
215,13,85,1
216,13,86,1
217,13,88,1
218,13,91,1
219,13,98,1
220,13,99,1
221,14,22,1
222,14,24,1
223,14,25,1
224,14,28,1
225,15,16,1
226,15,20,1
227,15,22,1
228,15,28,5
229,15,29,5
230,15,30,1
231,15,33,1
232,15,38,1
233,15,47,4
234,15,53,1
235,15,72,1
236,15,76,2
237,16,28,1
238,16,33,1
239,16,46,1
240,16,47,2
241,16,48,1
242,16,92,1
243,16,98,1
244,17,18,2
245,17,19,1
246,17,20,1
247,17,28,2
248,18,19,1
249,18,20,1
250,18,28,1
251,19,20,5
252,19,24,2
253,19,25,1
254,19,28,3
255,19,30,1
256,19,33,2
257,19,38,2
258,19,42,1
259,20,24,1
260,20,28,5
261,20,30,2
262,20,33,3
263,20,38,8
264,20,42,1
265,20,54,1
266,20,72,1
267,20,92,1
268,20,94,1
269,21,41,1
270,21,48,1
271,21,78,1
272,22,23,2
273,22,26,1
274,22,31,2
275,22,33,3
276,22,34,2
277,22,35,3
278,22,41,2
279,22,42,1
280,22,43,2
281,22,46,1
282,22,47,3
283,22,48,1
284,22,51,2
285,22,52,5
286,22,57,2
287,22,64,4
288,22,65,1
289,22,68,4
290,22,69,1
291,22,70,2
292,22,71,1
293,22,73,1
294,22,80,1
295,22,87,1
296,22,90,1
297,23,34,1
298,23,46,1
299,23,52,1
300,23,73,2
301,24,27,1
302,24,28,5
303,24,29,3
304,24,30,2
305,24,35,1
306,24,38,1
307,24,41,1
308,24,47,2
309,24,49,1
310,24,59,1
311,24,60,1
312,24,74,1
313,24,80,1
314,24,85,1
315,26,41,2
316,26,47,1
317,26,64,1
318,26,94,1
319,27,33,1
320,27,55,1
321,27,74,1
322,28,29,8
323,28,30,9
324,28,33,6
325,28,34,1
326,28,35,4
327,28,38,7
328,28,41,2
329,28,46,2
330,28,47,22
331,28,48,3
332,28,49,6
333,28,52,1
334,28,53,1
335,28,55,4
336,28,59,4
337,28,65,1
338,28,66,1
339,28,69,1
340,28,70,1
341,28,72,1
342,28,73,1
343,28,75,1
344,28,76,5
345,28,77,3
346,28,78,1
347,28,80,1
348,28,91,1
349,28,92,6
350,28,94,1
351,28,95,1
352,28,97,1
353,28,98,3
354,28,99,1
355,28,100,1
356,28,105,1
357,28,107,1
358,28,109,1
359,28,111,1
360,29,30,6
361,29,38,1
362,29,44,1
363,29,45,1
364,29,47,2
365,29,48,1
366,29,49,1
367,29,53,1
368,29,60,1
369,29,76,2
370,29,85,1
371,30,38,1
372,30,42,1
373,30,44,1
374,30,45,1
375,30,47,3
376,30,53,1
377,31,52,1
378,32,42,1
379,33,34,1
380,33,38,3
381,33,41,1
382,33,47,3
383,33,55,1
384,33,68,1
385,33,72,1
386,33,76,1
387,33,94,1
388,33,111,1
389,34,37,2
390,34,42,1
391,34,43,1
392,34,45,5
393,34,46,1
394,34,47,2
395,34,48,2
396,34,51,1
397,34,52,5
398,34,55,1
399,34,64,1
400,34,65,1
401,34,66,2
402,34,67,5
403,34,68,1
404,34,73,2
405,34,78,1
406,34,87,1
407,34,93,1
408,34,112,2
409,35,39,1
410,35,40,1
411,35,46,2
412,35,47,2
413,35,49,1
414,35,51,1
415,35,52,1
416,35,64,1
417,35,65,1
418,35,68,1
419,35,76,1
420,35,77,1
421,35,78,1
422,35,91,2
423,36,59,1
424,36,81,1
425,37,48,1
426,38,54,1
427,38,97,1
428,39,40,1
429,39,51,1
430,40,47,1
431,40,49,1
432,40,51,2
433,41,42,1
434,41,47,4
435,41,50,2
436,41,84,1
437,41,87,1
438,41,94,2
439,42,62,1
440,42,70,1
441,42,71,1
442,43,47,1
443,43,52,1
444,43,64,2
445,43,93,1
446,43,94,1
447,44,45,1
448,45,51,1
449,45,55,2
450,45,57,1
451,45,66,2
452,45,67,1
453,45,112,3
454,46,47,2
455,46,48,5
456,46,51,1
457,46,52,4
458,46,68,1
459,46,70,1
460,46,78,1
461,46,80,1
462,46,81,1
463,46,90,1
464,46,107,1
465,47,48,7
466,47,49,7
467,47,51,1
468,47,55,3
469,47,60,3
470,47,66,2
471,47,72,1
472,47,76,2
473,47,77,3
474,47,78,1
475,47,80,2
476,47,81,1
477,47,84,1
478,47,87,1
479,47,89,1
480,47,90,1
481,47,92,3
482,47,93,1
483,47,94,2
484,47,95,1
485,47,97,1
486,47,98,2
487,47,104,1
488,47,114,1
489,48,49,2
490,48,51,1
491,48,52,2
492,48,78,1
493,48,82,1
494,48,85,1
495,49,51,1
496,49,64,1
497,49,72,1
498,49,94,1
499,51,58,1
500,51,78,1
501,51,91,2
502,51,112,1
503,52,67,1
504,52,73,1
505,52,91,1
506,55,66,1
507,55,70,1
508,55,91,2
509,55,112,1
510,56,57,1
511,56,58,1
512,56,64,1
513,57,58,1
514,57,63,1
515,57,78,1
516,58,91,1
517,59,69,1
518,59,78,2
519,59,81,1
520,60,65,1
521,60,66,2
522,60,84,1
523,60,85,2
524,60,87,1
525,60,93,1
526,62,78,1
527,62,79,1
528,63,68,1
529,64,72,1
530,64,94,1
531,65,85,1
532,65,93,1
533,66,67,1
534,66,87,1
535,67,68,1
536,68,80,1
537,68,86,1
538,68,92,1
539,68,106,1
540,70,71,1
541,70,87,1
542,70,99,1
543,70,110,1
544,72,94,2
545,75,76,1
546,75,77,1
547,76,77,1
548,78,79,3
549,78,91,1
550,79,82,1
551,79,84,2
552,80,86,1
553,83,94,1
554,84,85,2
555,84,88,1
556,85,88,1
557,85,93,1
558,89,90,1
559,92,98,1
560,92,100,1
561,95,96,1
562,95,98,1
563,98,99,1
564,99,110,1
