,t1,t2,ct
0,1,2,3
1,1,3,1
2,1,4,3
3,1,5,3
4,1,6,1
5,1,7,1
6,1,10,2
7,1,22,1
8,1,33,1
9,1,66,1
10,1,79,3
11,1,107,1
12,1,108,1
13,1,171,1
14,1,193,1
15,2,3,1
16,2,4,1
17,2,5,5
18,2,6,1
19,2,7,1
20,2,9,1
21,2,10,11
22,2,11,3
23,2,15,1
24,2,16,3
25,2,20,1
26,2,21,1
27,2,23,1
28,2,24,2
29,2,27,5
30,2,28,2
31,2,30,2
32,2,32,2
33,2,33,7
34,2,35,2
35,2,36,1
36,2,37,2
37,2,39,2
38,2,44,2
39,2,49,1
40,2,50,1
41,2,51,1
42,2,52,3
43,2,53,2
44,2,54,3
45,2,58,1
46,2,59,1
47,2,61,1
48,2,63,1
49,2,64,3
50,2,65,2
51,2,66,6
52,2,67,1
53,2,68,1
54,2,69,3
55,2,76,1
56,2,78,1
57,2,79,1
58,2,84,1
59,2,92,3
60,2,94,3
61,2,96,2
62,2,97,1
63,2,100,1
64,2,101,2
65,2,106,1
66,2,110,1
67,2,113,2
68,2,114,1
69,2,115,4
70,2,117,1
71,2,125,4
72,2,129,1
73,2,130,1
74,2,137,1
75,2,147,1
76,2,149,1
77,2,150,1
78,2,151,1
79,2,160,3
80,2,172,3
81,2,176,1
82,2,177,1
83,2,178,1
84,2,179,1
85,2,180,6
86,2,184,2
87,2,185,4
88,2,187,1
89,2,206,1
90,3,33,1
91,3,34,4
92,3,54,1
93,3,64,1
94,3,78,4
95,3,98,1
96,3,188,1
97,4,5,4
98,4,6,1
99,4,8,1
100,4,11,1
101,4,12,1
102,4,15,1
103,4,16,1
104,4,30,1
105,4,32,2
106,4,33,3
107,4,52,1
108,4,69,2
109,4,78,4
110,4,80,2
111,4,81,1
112,4,85,1
113,4,88,1
114,4,97,1
115,4,110,2
116,4,112,1
117,4,115,2
118,4,116,1
119,4,117,1
120,4,142,1
121,4,154,1
122,4,156,2
123,4,165,1
124,4,171,2
125,4,180,2
126,4,193,1
127,5,6,1
128,5,11,1
129,5,15,1
130,5,33,2
131,5,44,1
132,5,54,1
133,5,64,1
134,5,66,1
