,t1,t2,ct
0,1,5,2
1,1,7,1
2,1,12,1
3,1,17,1
4,1,29,1
5,1,38,1
6,1,40,2
7,1,48,1
8,1,53,3
9,1,73,1
10,1,80,1
11,1,121,1
12,1,194,1
13,2,3,21
14,2,4,1
15,2,5,36
16,2,6,96
17,2,7,45
18,2,8,3
19,2,9,4
20,2,11,6
21,2,12,3
22,2,13,2
23,2,16,14
24,2,17,20
25,2,19,1
26,2,20,5
27,2,21,1
28,2,22,2
29,2,23,24
30,2,26,12
31,2,27,4
32,2,28,17
33,2,29,84
34,2,31,29
35,2,32,56
36,2,33,5
37,2,34,32
38,2,35,18
39,2,37,1
40,2,38,8
41,2,39,4
42,2,40,21
43,2,41,14
44,2,42,6
45,2,43,8
46,2,45,14
47,2,46,46
48,2,47,1
49,2,48,16
50,2,49,10
51,2,50,4
52,2,51,4
53,2,53,202
54,2,55,10
55,2,56,9
56,2,58,6
57,2,59,5
58,2,60,6
59,2,62,1
60,2,65,4
61,2,66,6
62,2,67,26
63,2,68,6
64,2,69,6
65,2,70,1
66,2,71,4
67,2,72,16
68,2,73,14
69,2,75,1
70,2,76,3
71,2,78,6
72,2,79,61
73,2,80,42
74,2,82,8
75,2,83,1
76,2,84,3
77,2,85,30
78,2,86,2
79,2,87,2
80,2,88,28
81,2,89,2
82,2,90,1
83,2,91,19
84,2,92,2
85,2,96,1
86,2,99,1
87,2,101,11
88,2,102,11
89,2,103,1
90,2,104,1
91,2,105,12
92,2,106,1
93,2,107,1
94,2,108,9
95,2,109,1
96,2,110,104
97,2,111,3
98,2,112,4
99,2,113,39
100,2,114,9
101,2,115,1
102,2,116,5
103,2,117,14
104,2,118,20
105,2,119,5
106,2,120,5
107,2,121,1
108,2,122,1
109,2,123,4
110,2,124,16
111,2,125,14
112,2,126,3
113,2,127,2
114,2,128,2
115,2,129,1
116,2,131,2
117,2,132,3
118,2,133,8
119,2,138,1
120,2,140,1
121,2,141,2
122,2,142,8
123,2,143,1
124,2,144,19
125,2,146,1
126,2,147,2
127,2,149,1
128,2,152,2
129,2,154,2
130,2,155,1
131,2,157,3
132,2,159,4
133,2,160,14
134,2,161,34
135,2,162,4
136,2,163,1
137,2,165,7
138,2,166,2
139,2,168,2
140,2,170,11
141,2,171,2
142,2,173,8
143,2,174,1
144,2,175,5
145,2,176,2
146,2,177,1
147,2,178,27
148,2,179,2
149,2,180,1
150,2,181,5
151,2,182,5
152,2,183,3
153,2,185,5
154,2,186,20
155,2,187,4
156,2,188,2
157,2,190,6
158,2,191,4
159,2,192,2
160,2,193,2
161,2,194,15
162,2,195,3
163,2,196,2
164,2,201,2
165,2,202,2
166,2,203,1
167,2,204,3
168,2,205,9
169,2,207,2
