,t1,t2,ct
0,1,2,5
1,1,3,1
2,1,9,1
3,1,16,1
4,1,22,1
5,1,24,1
6,1,25,1
7,1,27,3
8,1,33,3
9,1,37,3
10,1,40,1
11,1,41,1
12,1,43,3
13,1,44,1
14,1,46,1
15,1,48,4
16,1,50,1
17,1,51,4
18,1,52,1
19,1,54,4
20,1,56,1
21,1,60,1
22,1,68,3
23,1,77,1
24,1,88,1
25,1,89,1
26,1,90,1
27,1,104,5
28,1,105,2
29,1,127,1
30,1,133,2
31,1,143,1
32,1,147,1
33,1,154,1
34,1,155,1
35,1,157,2
36,1,194,1
37,1,203,1
38,1,208,7
39,1,211,1
40,1,212,1
41,1,221,3
42,1,244,1
43,1,256,1
44,1,257,1
45,1,283,1
46,1,291,2
47,1,304,2
48,1,316,1
49,1,322,1
50,1,332,1
51,1,335,1
52,1,431,1
53,1,501,1
54,1,518,2
55,1,533,1
56,1,570,1
57,1,607,1
58,1,621,2
59,1,658,1
60,1,665,2
61,1,677,1
62,1,714,1
63,1,726,1
64,1,730,2
65,1,829,1
66,1,929,1
67,1,1023,1
68,1,1062,1
69,1,1106,1
70,1,1107,2
71,1,1130,1
72,1,1253,1
73,1,1523,1
74,1,1623,1
75,1,1697,1
76,1,1746,1
77,2,3,2
78,2,4,1
79,2,16,1
80,2,19,1
81,2,22,2
82,2,23,2
83,2,24,1
84,2,26,3
85,2,27,25
86,2,28,1
87,2,31,4
88,2,35,2
89,2,40,4
90,2,41,5
91,2,43,4
92,2,48,1
93,2,51,9
94,2,52,4
95,2,53,2
96,2,56,1
97,2,68,1
98,2,69,2
99,2,72,3
100,2,73,2
101,2,75,2
102,2,82,2
103,2,84,2
104,2,85,1
105,2,86,4
106,2,94,2
107,2,104,7
108,2,110,1
109,2,114,1
110,2,133,1
111,2,140,1
112,2,143,1
113,2,146,1
114,2,147,1
115,2,154,4
116,2,156,4
117,2,159,4
118,2,171,2
119,2,176,1
120,2,178,1
121,2,182,3
122,2,183,3
123,2,188,1
124,2,189,1
125,2,197,1
126,2,199,2
127,2,203,2
128,2,208,6
129,2,209,9
130,2,211,5
131,2,212,1
132,2,218,1
133,2,223,1
134,2,233,1
135,2,237,3
136,2,243,5
137,2,247,1
138,2,253,1
139,2,257,1
140,2,269,6
141,2,270,1
142,2,272,2
143,2,278,1
144,2,279,1
145,2,288,1
146,2,291,1
147,2,292,2
148,2,316,2
149,2,318,1
150,2,323,1
151,2,327,1
152,2,332,1
153,2,340,3
154,2,353,1
155,2,374,1
156,2,401,1
157,2,422,1
158,2,436,1
159,2,438,1
160,2,458,1
161,2,474,1
162,2,482,1
163,2,495,1
164,2,508,1
165,2,522,1
166,2,529,1
167,2,560,1
168,2,592,1
169,2,600,1
170,2,604,1
171,2,607,1
172,2,613,1
173,2,633,1
174,2,639,1
175,2,640,1
176,2,645,1
177,2,665,3
178,2,669,1
179,2,692,1
180,2,703,4
181,2,726,3
182,2,730,3
183,2,733,1
184,2,750,1
185,2,781,1
186,2,797,2
187,2,840,1
188,2,944,1
189,2,959,1
190,2,1066,1
191,2,1194,1
192,2,1247,1
193,2,1253,1
194,2,1274,1
195,2,1305,1
196,2,1310,1
197,2,1325,1
198,2,1378,1
199,2,1380,1
200,2,1510,1
201,2,1550,1
202,3,13,1
203,3,20,1
204,3,22,1
205,3,23,1
206,3,24,1
207,3,27,6
208,3,31,6
209,3,41,6
210,3,43,1
211,3,44,1
212,3,45,2
213,3,47,1
214,3,48,4
215,3,51,8
216,3,54,1
217,3,55,1
218,3,56,1
219,3,57,1
220,3,60,1
221,3,72,1
222,3,73,2
223,3,75,1
224,3,77,3
225,3,81,1
226,3,82,1
227,3,84,1
228,3,85,1
229,3,88,1
230,3,97,2
231,3,102,1
232,3,110,2
233,3,120,1
234,3,127,1
235,3,146,1
236,3,147,1
237,3,164,1
238,3,166,1
239,3,173,1
240,3,179,1
241,3,191,1
242,3,198,1
243,3,202,1
244,3,208,3
245,3,221,1
246,3,243,2
247,3,250,1
248,3,253,1
249,3,256,1
250,3,269,1
251,3,272,1
252,3,278,1
253,3,291,1
254,3,323,1
255,3,334,1
256,3,338,1
257,3,366,2
258,3,367,1
259,3,403,1
260,3,405,4
261,3,415,1
262,3,435,1
263,3,439,1
264,3,488,1
265,3,508,1
266,3,535,1
267,3,665,3
268,3,706,1
269,3,710,1
270,3,797,1
271,3,798,1
272,3,806,1
273,3,837,1
274,3,969,1
275,3,989,1
276,3,1010,1
277,3,1037,2
278,3,1169,1
279,3,1253,1
280,3,1298,1
281,3,1433,1
282,3,1481,1
283,3,1775,1
284,4,5,3
285,4,6,1
286,4,7,1
287,4,9,1
288,4,18,2
289,4,20,1
290,4,22,3
291,4,23,2
292,4,27,1
293,4,28,3
294,4,29,1
295,4,31,2
296,4,32,3
297,4,40,4
298,4,41,2
