,t1,t2,ct
0,1,2,14
1,1,3,21
2,1,4,1
3,1,5,2
4,1,13,2
5,1,14,4
6,1,16,3
7,1,17,2
8,1,18,2
9,1,20,19
10,1,23,3
11,1,24,1
12,1,25,16
13,1,29,1
14,1,30,1
15,1,37,3
16,1,42,3
17,1,50,1
18,1,51,1
19,1,56,9
20,1,62,4
21,1,63,1
22,1,65,1
23,1,69,2
24,1,73,1
25,1,74,3
26,1,75,2
27,1,76,3
28,1,80,11
29,1,81,1
30,1,83,1
31,1,89,1
32,1,90,1
33,1,93,2
34,1,97,4
35,1,98,4
36,1,107,1
37,1,118,1
38,1,130,5
39,1,137,2
40,1,149,5
41,1,150,8
42,1,152,4
43,1,157,1
44,1,160,1
45,1,163,1
46,1,174,2
47,1,178,2
48,1,201,1
49,1,208,1
50,1,209,5
51,1,213,1
52,1,241,1
53,2,3,81
54,2,4,30
55,2,5,82
56,2,6,13
57,2,7,10
58,2,9,2
59,2,13,2
60,2,14,7
61,2,15,4
62,2,16,6
63,2,17,4
64,2,18,3
65,2,20,31
66,2,21,20
67,2,22,1
68,2,24,9
69,2,25,69
70,2,26,2
71,2,31,1
72,2,33,5
73,2,37,2
74,2,40,2
75,2,42,8
76,2,43,3
77,2,44,3
78,2,46,4
79,2,47,1
80,2,48,7
81,2,49,1
82,2,50,1
83,2,51,1
84,2,53,1
85,2,55,1
86,2,57,1
87,2,58,1
88,2,60,1
89,2,63,4
90,2,65,3
91,2,66,2
92,2,70,3
93,2,72,2
94,2,73,3
95,2,74,22
96,2,75,3
97,2,76,30
98,2,78,1
99,2,79,3
100,2,80,65
101,2,81,6
102,2,82,3
103,2,83,1
104,2,85,2
105,2,87,1
106,2,89,2
107,2,90,1
108,2,91,3
109,2,93,5
110,2,96,1
111,2,97,3
112,2,99,1
113,2,103,1
114,2,104,1
115,2,107,10
116,2,111,1
117,2,114,3
118,2,115,4
119,2,116,1
120,2,118,1
121,2,119,2
122,2,123,1
123,2,127,1
124,2,130,8
125,2,132,3
126,2,136,1
127,2,144,3
128,2,149,1
129,2,150,4
130,2,152,1
131,2,153,1
132,2,154,1
133,2,163,1
134,2,166,1
135,2,173,2
136,2,181,4
137,2,190,1
138,2,200,1
139,2,207,1
140,2,209,16
141,2,215,1
142,2,218,1
143,2,219,1
144,3,4,113
145,3,5,35
146,3,6,28
147,3,7,95
148,3,8,17
149,3,9,9
150,3,10,2
151,3,11,2
152,3,12,2
153,3,13,23
154,3,14,47
155,3,15,17
156,3,16,22
157,3,17,11
158,3,18,5
159,3,19,2
160,3,20,106
161,3,21,51
162,3,22,2
163,3,23,8
164,3,24,56
165,3,25,48
166,3,26,5
167,3,27,13
168,3,28,5
169,3,29,15
170,3,30,11
171,3,31,15
172,3,32,1
173,3,33,7
174,3,34,2
175,3,35,6
176,3,36,7
177,3,37,33
178,3,38,12
179,3,39,1
180,3,40,2
181,3,41,5
182,3,42,11
183,3,43,4
184,3,44,2
185,3,45,4
186,3,46,4
187,3,47,15
188,3,48,13
189,3,49,19
190,3,50,1
191,3,51,35
192,3,52,2
193,3,53,23
194,3,54,2
195,3,55,13
196,3,56,11
197,3,58,5
198,3,59,1
199,3,60,1
200,3,61,2
201,3,62,2
202,3,63,1
203,3,64,1
204,3,65,13
205,3,66,9
206,3,67,3
207,3,69,19
208,3,71,2
209,3,73,7
210,3,74,2
211,3,75,8
212,3,76,28
213,3,77,2
214,3,78,2
215,3,79,4
216,3,80,8
217,3,81,8
218,3,82,2
219,3,83,2
220,3,84,7
221,3,85,3
222,3,86,4
223,3,87,3
224,3,88,2
225,3,89,8
226,3,90,4
227,3,91,15
228,3,93,8
229,3,94,1
230,3,97,6
231,3,98,5
232,3,99,1
233,3,100,4
234,3,101,3
235,3,102,3
236,3,103,2
237,3,104,2
238,3,105,2
239,3,106,2
240,3,107,32
241,3,109,3
242,3,110,1
243,3,112,1
244,3,113,4
245,3,114,2
246,3,115,2
247,3,116,4
248,3,118,2
249,3,119,2
250,3,120,8
251,3,121,2
252,3,122,1
253,3,123,2
254,3,124,1
255,3,126,2
256,3,129,1
257,3,130,3
258,3,131,1
259,3,132,4
260,3,133,1
261,3,135,5
262,3,137,1
263,3,141,1
264,3,142,3
265,3,143,4
266,3,144,3
267,3,147,1
268,3,150,3
269,3,154,2
270,3,164,1
271,3,166,1
272,3,178,1
273,3,179,1
274,3,209,2
275,4,5,4
276,4,6,6
277,4,7,45
278,4,9,1
279,4,13,14
280,4,14,22
281,4,15,9
282,4,16,10
283,4,17,18
284,4,19,1
285,4,20,24
286,4,21,5
287,4,22,1
288,4,24,25
289,4,25,55
290,4,26,4
291,4,27,1
292,4,28,3
293,4,29,1
294,4,30,2
295,4,31,6
296,4,33,1
297,4,34,1
298,4,35,2
299,4,36,1
300,4,37,16
301,4,38,3
302,4,42,1
303,4,43,5
304,4,44,8
305,4,47,1
306,4,49,7
307,4,51,1
308,4,52,1
309,4,53,11
310,4,56,1
311,4,58,3
312,4,61,1
313,4,63,3
314,4,65,2
315,4,69,1
316,4,72,7
317,4,73,1
318,4,74,31
319,4,75,5
320,4,76,13
321,4,77,2
322,4,78,3
323,4,79,1
324,4,80,63
325,4,84,14
326,4,89,7
327,4,90,1
328,4,93,1
329,4,94,1
330,4,96,1
331,4,97,4
332,4,98,2
333,4,99,1
334,4,100,4
335,4,103,1
336,4,104,1
337,4,107,14
338,4,109,1
339,4,111,1
340,4,112,3
341,4,116,1
342,4,118,1
343,4,120,29
344,4,123,1
345,4,126,11
346,4,128,2
347,4,130,1
348,4,132,1
349,4,134,1
350,4,135,4
351,4,138,1
352,4,143,6
353,4,144,29
354,4,145,1
355,4,149,14
356,4,150,1
357,4,152,1
358,4,154,10
359,4,155,1
360,4,163,1
361,4,164,1
362,4,172,1
363,4,176,1
364,4,180,1
365,4,181,7
366,4,183,10
367,4,185,3
368,4,187,1
369,4,200,2
370,4,201,1
371,4,204,1
372,4,209,15
373,4,215,1
374,4,219,1
375,4,220,2
376,4,225,2
377,4,226,1
378,4,230,2
379,4,231,1
380,5,6,7
381,5,11,1
382,5,12,2
383,5,14,1
384,5,16,3
385,5,17,1
386,5,18,2
387,5,20,6
388,5,21,18
389,5,23,1
390,5,24,4
391,5,25,21
392,5,32,1
393,5,33,5
394,5,38,2
395,5,42,5
396,5,47,3
397,5,49,1
398,5,55,3
399,5,63,2
400,5,66,2
401,5,70,1
402,5,74,17
403,5,75,1
404,5,76,5
405,5,79,1
406,5,80,30
407,5,81,5
408,5,84,1
409,5,90,1
