,t1,t2,ct
0,1,2,12
1,1,3,4
2,1,4,4
3,1,5,7
4,1,6,33
5,1,7,4
6,1,8,3
7,1,11,4
8,1,12,2
9,1,13,22
10,1,14,6
11,1,15,1
12,1,16,5
13,1,17,1
14,1,18,1
15,1,19,2
16,1,20,1
17,1,21,14
18,1,22,17
19,1,23,4
20,1,24,3
21,1,25,1
22,1,26,4
23,1,27,1
24,1,28,13
25,1,29,2
26,1,30,5
27,1,31,2
28,1,32,37
29,1,33,8
30,1,34,19
31,1,35,17
32,1,37,4
33,1,38,4
34,1,39,1
35,1,40,7
36,1,41,7
37,1,42,4
38,1,43,7
39,1,44,6
40,1,45,14
41,1,46,1
42,1,48,6
43,1,49,1
44,1,50,7
45,1,51,2
46,1,52,3
47,1,53,2
48,1,54,1
49,1,56,3
50,1,58,5
51,1,59,4
52,1,61,1
53,1,62,4
54,1,63,1
55,1,65,3
56,1,66,5
57,1,68,2
58,1,70,1
59,1,71,2
60,1,72,1
61,1,73,1
62,1,74,3
63,1,76,3
64,1,77,6
65,1,78,1
66,1,79,4
67,1,80,3
68,1,81,2
69,1,82,1
70,1,84,7
71,1,86,1
72,1,87,3
73,1,88,1
74,1,89,1
75,1,90,3
76,1,91,3
77,1,95,2
78,1,96,1
79,1,97,2
80,1,98,2
81,1,99,5
82,1,100,2
83,1,101,6
84,1,103,2
85,1,104,2
86,1,105,3
87,1,106,1
88,1,108,2
89,1,109,1
90,1,111,2
91,1,113,2
92,1,114,2
93,1,115,1
94,1,116,1
95,1,117,1
96,1,118,1
97,2,3,1
98,2,4,2
99,2,6,7
100,2,10,1
101,2,12,1
102,2,13,15
103,2,14,1
104,2,15,1
105,2,24,12
106,2,26,1
107,2,36,1
108,2,41,1
109,2,42,1
110,2,44,9
111,2,47,1
112,2,49,1
113,2,53,1
114,2,65,1
115,2,75,1
116,2,81,2
117,2,82,4
118,2,83,2
119,2,96,3
120,2,106,1
121,2,110,1
122,2,111,3
123,2,112,1
124,3,4,1
125,3,6,1
126,3,10,1
127,3,15,1
128,3,17,4
129,3,22,3
130,3,25,1
131,3,28,1
132,3,29,1
133,3,33,1
134,3,35,3
135,3,36,4
136,3,37,1
137,3,41,2
138,3,42,1
139,3,51,1
140,3,61,1
141,3,103,2
142,3,108,1
143,4,6,1
144,4,44,1
145,4,56,2
146,4,96,1
147,5,6,3
148,5,15,2
149,5,16,1
150,5,23,1
151,5,26,1
152,5,27,1
153,5,32,1
154,5,34,3
155,5,86,1
156,5,90,1
157,6,7,6
158,6,8,3
159,6,10,4
160,6,12,1
161,6,13,18
162,6,14,4
163,6,15,4
164,6,16,2
165,6,21,2
166,6,22,3
167,6,23,2
168,6,24,4
169,6,25,3
170,6,32,3
171,6,33,1
172,6,34,6
173,6,35,1
174,6,36,1
175,6,44,1
176,6,45,1
177,6,47,2
178,6,50,1
179,6,52,1
180,6,53,4
181,6,54,2
182,6,55,3
183,6,56,1
184,6,57,1
185,6,62,1
186,6,63,1
187,6,65,1
188,6,68,2
189,6,70,1
190,6,71,3
191,6,74,1
192,6,76,1
193,6,82,1
194,6,84,1
195,6,86,1
196,6,90,4
197,6,93,1
198,6,95,1
199,6,97,1
200,6,104,1
201,6,106,1
202,6,110,1
203,7,8,1
204,7,13,2
205,7,16,1
206,7,24,1
207,7,25,2
208,7,45,2
209,7,64,1
210,7,66,1
211,7,68,1
212,7,70,1
213,7,71,1
214,7,85,2
215,7,91,1
216,8,13,1
217,8,55,1
218,9,10,1
219,9,19,2
220,9,67,1
221,10,12,1
222,10,13,2
223,10,14,1
224,10,17,2
225,10,18,1
226,10,21,1
227,10,22,1
228,10,23,1
229,10,28,3
230,10,29,1
231,10,41,3
232,10,42,3
233,10,49,3
234,10,51,1
235,10,70,1
236,10,88,2
237,10,89,1
238,10,101,1
239,10,110,1
240,11,19,2
241,11,28,1
242,11,31,1
243,11,32,1
244,11,41,5
245,11,42,4
246,11,51,1
247,11,73,2
248,11,92,1
249,11,98,2
250,12,13,1
251,12,50,1
252,12,110,1
253,13,14,6
254,13,15,1
255,13,16,1
256,13,18,1
257,13,21,3
258,13,22,2
259,13,23,2
260,13,24,5
261,13,25,2
262,13,26,1
263,13,34,5
264,13,36,1
265,13,44,6
266,13,47,1
267,13,48,1
268,13,50,3
269,13,53,1
270,13,54,1
271,13,55,1
272,13,57,1
273,13,62,3
274,13,65,1
275,13,68,1
276,13,69,1
277,13,70,1
278,13,71,1
279,13,72,1
280,13,75,1
281,13,81,2
282,13,82,3
283,13,83,1
284,13,84,1
285,13,90,2
286,13,91,1
287,13,93,1
288,13,106,1
289,13,110,1
290,13,111,2
291,14,15,2
292,14,18,1
293,14,21,1
294,14,22,1
295,14,23,1
296,14,34,7
297,14,35,1
298,14,64,1
299,14,65,1
300,14,72,2
301,14,93,2
302,14,101,1
303,15,16,1
304,15,17,2
305,15,18,1
306,15,19,2
307,15,20,2
308,15,23,2
309,15,26,2
310,15,28,1
311,15,36,1
312,15,37,1
313,15,43,1
314,15,45,1
315,15,46,1
316,15,60,1
317,15,71,1
318,15,85,1
319,15,86,1
320,15,90,1
321,15,99,1
322,16,35,1
323,16,91,1
324,17,18,1
325,17,32,1
326,17,36,3
327,17,37,1
328,17,97,1
329,17,103,1
330,18,34,1
331,18,43,1
332,18,64,1
333,19,20,5
334,19,26,1
335,19,27,1
336,19,28,1
337,19,41,1
338,19,42,7
339,19,45,2
340,19,66,1
341,19,67,3
342,19,69,1
343,19,92,1
344,19,94,3
345,20,42,1
346,20,94,1
347,21,22,7
348,21,23,3
349,21,25,1
