,t1,t2,ct
0,1,6,1
1,1,9,1
2,1,12,6
3,1,15,1
4,1,17,2
5,1,22,1
6,1,26,1
7,1,27,1
8,1,30,1
9,1,34,1
10,1,43,1
11,1,49,1
12,1,51,1
13,1,58,1
14,1,59,1
15,1,69,1
16,1,73,2
17,1,85,2
18,1,86,1
19,1,93,2
20,1,96,3
21,1,117,1
22,1,127,1
23,1,154,1
24,1,173,2
25,1,198,1
26,1,216,1
27,1,289,1
28,2,9,2
29,2,10,5
30,2,11,5
31,2,12,25
32,2,13,2
33,2,14,6
34,2,15,3
35,2,16,7
36,2,17,4
37,2,18,1
38,2,19,3
39,2,22,8
40,2,27,2
41,2,28,2
42,2,29,1
43,2,30,9
44,2,32,1
45,2,34,4
46,2,35,1
47,2,41,4
48,2,45,2
49,2,46,1
50,2,48,3
51,2,49,1
52,2,50,1
53,2,51,3
54,2,57,8
55,2,59,2
56,2,60,2
57,2,61,1
58,2,65,1
59,2,69,2
60,2,73,4
61,2,79,3
62,2,85,1
63,2,86,3
64,2,87,1
65,2,88,1
66,2,91,10
67,2,92,11
68,2,94,1
69,2,97,1
70,2,98,3
71,2,103,1
72,2,105,1
73,2,107,3
74,2,108,8
75,2,112,1
76,2,115,4
77,2,118,1
78,2,119,1
79,2,122,2
80,2,123,9
81,2,128,1
82,2,133,18
83,2,152,1
84,2,154,1
85,2,157,1
86,2,165,1
87,2,166,1
88,2,169,1
89,2,171,2
90,2,190,1
91,2,192,3
92,2,193,1
93,2,198,1
94,2,207,1
95,2,208,2
96,2,213,1
97,2,216,1
98,2,226,1
99,2,243,1
100,2,247,1
101,2,254,1
102,2,262,1
103,2,269,1
104,2,271,1
105,2,293,1
106,2,294,1
107,2,296,1
108,2,312,1
109,3,4,4
110,3,11,1
111,3,12,2
112,3,26,1
113,3,27,3
114,3,36,3
115,3,39,2
116,3,43,1
117,3,51,1
118,3,55,1
119,3,66,4
120,3,67,1
121,3,72,1
122,3,83,1
123,3,95,1
124,3,97,3
125,3,109,1
126,3,157,1
127,3,234,1
128,4,8,1
129,4,10,1
130,4,11,2
131,4,14,1
132,4,20,1
133,4,26,1
134,4,27,1
135,4,30,1
136,4,49,1
137,4,50,1
138,4,51,3
139,4,52,1
140,4,53,1
141,4,57,3
142,4,66,2
143,4,67,1
144,4,68,1
145,4,69,1
146,4,73,1
147,4,76,1
148,4,77,1
149,4,86,2
150,4,90,1
151,4,120,1
152,4,128,1
153,4,139,3
154,4,157,1
155,4,171,1
156,5,6,1
157,5,12,2
158,5,16,4
159,5,18,1
160,5,27,1
161,5,29,1
162,5,30,10
163,5,37,1
164,5,39,1
165,5,48,1
166,5,51,1
167,5,55,1
168,5,63,5
169,5,82,1
170,5,93,6
171,5,97,4
172,5,109,8
173,5,127,1
174,5,134,1
175,5,138,5
176,5,143,2
177,5,152,1
178,5,154,4
179,5,177,1
180,5,187,1
181,5,196,1
182,5,199,1
183,5,211,2
184,5,216,1
185,5,246,2
186,5,248,1
187,5,273,1
188,5,311,1
189,6,10,1
190,6,14,2
191,6,15,1
192,6,18,1
193,6,30,4
194,6,37,5
195,6,41,1
196,6,56,1
197,6,60,1
198,6,80,1
199,6,97,1
200,6,102,1
201,6,105,1
202,6,123,1
203,6,124,4
204,6,128,1
205,6,208,1
206,6,243,1
207,7,73,1
208,8,11,1
209,8,12,2
210,8,14,2
211,8,16,1
212,8,18,4
213,8,24,1
214,8,26,4
215,8,27,2
216,8,30,4
217,8,35,1
218,8,38,4
219,8,43,1
220,8,50,4
221,8,51,4
222,8,52,1
223,8,57,1
224,8,59,2
225,8,62,1
226,8,69,1
227,8,70,1
228,8,71,2
229,8,73,1
230,8,76,1
231,8,83,1
232,8,86,2
233,8,90,1
234,8,93,2
235,8,95,1
236,8,97,2
237,8,109,3
238,8,116,2
239,8,117,9
240,8,123,1
241,8,125,1
242,8,126,2
243,8,131,1
244,8,139,1
245,8,148,2
246,8,168,1
247,8,261,1
248,8,280,1
249,9,10,5
250,9,11,7
251,9,12,10
252,9,13,4
253,9,14,7
254,9,15,3
255,9,16,2
256,9,17,1
257,9,18,3
258,9,19,2
259,9,23,1
260,9,25,1
261,9,27,4
262,9,28,1
263,9,30,14
264,9,32,2
265,9,35,1
266,9,37,1
267,9,38,5
268,9,39,8
269,9,41,1
270,9,43,14
271,9,45,2
272,9,47,1
273,9,48,51
274,9,49,21
275,9,50,3
276,9,51,12
277,9,57,17
278,9,59,3
279,9,61,1
280,9,62,4
281,9,66,2
282,9,67,1
283,9,70,1
284,9,73,1
285,9,85,1
286,9,86,1
287,9,91,2
288,9,92,2
289,9,93,1
290,9,94,2
291,9,96,4
292,9,97,3
293,9,100,1
294,9,101,3
295,9,103,1
296,9,105,1
297,9,112,1
298,9,121,1
299,9,123,2
300,9,125,2
301,9,127,38
302,9,128,3
303,9,129,3
304,9,131,2
305,9,133,3
306,9,148,1
307,9,149,1
308,9,156,1
309,9,164,1
310,9,166,1
311,9,167,1
312,9,168,1
313,9,175,1
314,9,180,1
315,9,181,7
316,9,184,1
317,9,185,1
318,9,198,2
319,9,201,5
320,9,202,1
321,9,207,1
322,9,208,2
323,9,209,1
324,9,213,1
325,9,216,5
326,9,240,1
327,9,261,1
328,9,262,3
329,9,264,1
330,9,266,4
331,9,279,1
332,9,280,2
333,9,317,1
334,10,11,29
335,10,12,6
336,10,14,12
337,10,15,14
338,10,16,3
339,10,17,3
340,10,19,1
341,10,23,1
342,10,25,2
343,10,27,1
344,10,28,1
345,10,30,7
346,10,32,1
347,10,34,3
348,10,37,3
349,10,39,1
350,10,41,1
351,10,43,3
352,10,45,2
353,10,49,2
354,10,55,1
355,10,56,1
356,10,57,18
357,10,60,4
358,10,67,1
359,10,69,2
360,10,73,1
361,10,75,1
362,10,76,1
363,10,77,1
364,10,86,16
365,10,91,3
366,10,92,2
367,10,93,1
368,10,94,1
369,10,96,4
370,10,97,1
371,10,100,1
372,10,101,2
373,10,108,1
374,10,112,1
375,10,115,1
376,10,121,1
377,10,122,1
378,10,123,1
379,10,126,1
380,10,127,5
381,10,129,3
382,10,133,3
383,10,140,1
384,10,161,2
385,10,163,1
386,10,174,1
387,10,190,5
388,10,198,1
389,10,201,1
390,10,206,2
391,10,208,1
392,10,220,1
393,10,227,3
394,10,231,1
395,10,238,1
396,10,242,1
397,10,247,6
398,10,252,1
399,10,262,1
400,10,263,2
401,10,280,2
402,10,302,1
403,11,12,6
404,11,13,1
405,11,14,6
406,11,15,4
407,11,16,1
408,11,17,1
409,11,20,7
410,11,23,3
411,11,26,1
412,11,28,1
413,11,30,12
414,11,31,1
415,11,34,2
416,11,35,1
417,11,36,1
418,11,37,2
419,11,39,1
420,11,43,3
421,11,45,3
422,11,49,2
423,11,51,1
424,11,52,2
425,11,55,2
426,11,56,1
427,11,57,32
428,11,58,1
429,11,59,3
430,11,60,1
431,11,62,3
432,11,66,1
