,t1,t2,ct
0,1,2,38
1,1,3,10
2,1,4,19
3,1,5,1
4,1,6,9
5,1,7,3
6,1,8,1
7,1,9,6
8,1,10,15
9,1,12,2
10,1,13,55
11,1,14,25
12,1,15,10
13,1,16,5
14,1,17,2
15,1,18,9
16,1,19,18
17,1,22,24
18,1,25,12
19,1,26,8
20,1,29,5
21,1,30,1
22,1,32,117
23,1,33,6
24,1,35,6
25,1,36,8
26,1,37,16
27,1,38,11
28,1,40,6
29,1,42,5
30,1,43,5
31,1,44,1
32,1,45,26
33,1,47,17
34,1,48,6
35,1,50,55
36,1,51,20
37,1,52,2
38,1,53,45
39,1,56,3
40,1,57,2
41,1,58,57
42,1,62,48
43,1,65,1
44,1,67,1
45,1,68,6
46,1,69,6
47,1,70,2
48,1,72,1
49,1,74,156
50,1,76,4
51,1,77,14
52,1,80,1
53,1,81,15
54,1,82,3
55,1,84,1
56,1,85,3
57,1,87,1
58,1,90,2
59,1,91,1
60,1,93,1
61,1,94,1
62,1,95,2
63,1,96,1
64,1,97,17
65,1,99,3
66,1,100,1
67,1,102,342
68,1,104,4
69,1,105,1
70,1,106,1
71,1,107,2
72,1,108,17
73,1,109,1
74,1,110,2
75,1,111,1
76,1,112,1
77,1,113,7
78,1,114,2
79,1,117,1
80,1,118,10
81,1,119,40
82,1,120,2
83,1,124,10
84,1,125,17
85,1,129,7
86,1,130,2
87,1,136,39
88,1,137,3
89,1,139,9
90,1,140,7
91,1,141,2
92,1,143,2
93,1,144,105
94,1,145,65
95,1,150,3
96,1,152,2
97,1,154,125
98,1,157,2
99,1,159,1
100,1,161,1
101,1,162,3
102,1,164,1
103,1,165,10
104,1,166,46
105,1,167,1
106,1,170,1
107,1,174,7
108,1,175,2
109,1,177,9
110,1,179,3
111,1,180,3
112,1,185,4
113,1,190,31
114,1,192,1
115,1,194,4
116,1,197,3
117,1,198,1
118,1,199,1
119,1,206,4
120,1,208,9
121,1,209,1
122,1,210,62
123,1,211,4
124,1,214,1
125,1,216,19
126,1,217,2
127,1,220,2
128,1,224,3
129,1,225,4
130,1,231,1
131,1,235,1
132,1,237,1
133,1,239,9
134,1,240,8
135,1,243,1
136,1,249,9
137,1,250,1
138,1,252,1
139,1,254,4
140,1,258,3
141,1,261,1
142,1,264,1
143,1,272,2
144,1,273,27
145,1,275,4
146,1,277,5
147,1,278,2
148,1,279,5
149,1,281,1
150,1,284,2
151,1,286,8
152,1,290,29
153,1,293,1
154,1,296,1
155,1,297,1
156,1,302,4
157,1,314,1
158,1,319,1
159,1,320,6
160,1,321,65
161,1,323,3
162,1,325,1
163,1,326,3
164,1,327,1
165,1,329,5
166,1,334,1
167,1,338,1
168,1,342,13
169,1,343,1
170,1,344,3
171,1,349,1
172,1,350,1
173,1,356,2
174,1,360,6
175,1,363,4
176,1,368,16
177,1,369,143
178,1,376,3
179,1,382,1
180,1,394,1
181,1,407,2
182,1,410,1
183,1,415,1
184,1,438,10
185,1,439,3
186,1,442,2
187,1,443,1
188,1,447,1
189,1,448,1
190,1,451,2
191,1,453,9
192,1,455,15
193,1,459,2
194,1,465,4
195,1,468,12
196,1,481,3
197,1,482,1
198,1,485,1
199,1,487,6
200,1,491,1
201,1,499,1
202,1,503,1
203,1,505,8
204,1,506,1
205,1,507,17
206,1,510,1
207,1,516,3
208,1,519,1
209,1,534,1
210,1,541,1
211,1,546,1
212,1,547,2
213,1,563,18
214,1,571,3
215,1,579,4
216,1,583,1
217,1,594,26
218,1,600,2
219,1,603,1
220,1,608,1
221,1,609,1
222,1,612,2
223,1,614,1
224,1,625,11
225,1,639,2
226,1,656,18
227,1,661,2
228,1,670,14
229,1,696,11
230,1,713,1
231,1,718,1
232,1,734,17
233,1,742,3
234,1,750,2
235,1,751,1
236,1,823,1
237,1,827,2
238,1,858,1
239,2,3,1
240,2,4,41
241,2,8,1
242,2,9,2
243,2,13,11
244,2,15,1
245,2,17,48
246,2,18,3
247,2,19,22
248,2,22,2
249,2,25,1
250,2,26,1
251,2,28,4
252,2,32,7
253,2,38,6
254,2,39,3
255,2,40,1
256,2,42,1
257,2,45,3
258,2,47,1
259,2,50,7
260,2,51,1
261,2,52,3
262,2,62,13
263,2,63,1
264,2,65,1
265,2,67,1
266,2,68,1
267,2,69,5
268,2,70,7
269,2,76,1
270,2,94,7
271,2,96,1
272,2,102,2
273,2,104,3
274,2,105,2
275,2,110,6
276,2,113,8
277,2,114,3
278,2,124,4
279,2,128,1
280,2,140,1
281,2,143,1
282,2,151,1
283,2,165,1
284,2,170,1
285,2,187,1
286,2,190,1
287,2,196,1
288,2,200,1
289,2,202,1
290,2,204,1
291,2,208,2
292,2,224,1
293,2,225,2
294,2,234,2
295,2,239,6
296,2,240,1
297,2,251,1
298,2,254,1
299,2,255,4
300,2,256,1
301,2,262,1
302,2,266,3
303,2,272,1
304,2,275,1
305,2,277,6
306,2,278,1
307,2,286,1
308,2,290,7
309,2,293,1
310,2,296,4
311,2,308,1
312,2,314,1
313,2,318,3
314,2,331,1
315,2,344,2
316,2,363,2
317,2,364,1
318,2,368,4
319,2,376,1
320,2,383,1
321,2,397,1
322,2,405,2
323,2,409,1
324,2,438,1
325,2,455,6
326,2,459,1
327,2,468,3
328,2,484,1
329,2,493,1
330,2,495,1
331,2,506,13
332,2,510,1
333,2,540,1
334,2,590,1
335,2,612,1
336,2,623,1
337,2,640,1
338,2,681,1
339,2,689,1
340,2,703,1
341,2,806,1
342,3,17,1
343,3,18,1
344,3,26,1
345,3,38,5
346,3,74,1
347,3,136,1
348,3,166,1
349,3,290,1
350,3,368,1
351,3,369,1
352,4,5,27
353,4,6,50
354,4,7,5
355,4,8,73
356,4,9,1
357,4,10,2
358,4,11,8
359,4,12,4
360,4,13,4
361,4,14,36
362,4,15,4
363,4,17,145
364,4,18,3
365,4,19,18
366,4,20,6
367,4,21,3
368,4,22,3
369,4,23,2
370,4,25,31
371,4,26,2
372,4,28,47
373,4,30,17
374,4,31,31
375,4,32,37
376,4,33,41
377,4,34,3
378,4,35,4
379,4,36,9
380,4,37,2
381,4,38,28
382,4,40,1
383,4,43,3
384,4,44,4
385,4,45,21
386,4,47,22
387,4,48,2
388,4,50,20
389,4,51,77
390,4,52,4
391,4,55,1
