,t1,t2,ct
0,1,2,6
1,1,3,5
2,1,4,5
3,1,5,3
4,1,6,2
5,1,7,9
6,1,8,6
7,1,9,24
8,1,11,4
9,1,13,27
10,1,14,2
11,1,15,4
12,1,16,3
13,1,17,5
14,1,19,10
15,1,20,1
16,1,21,8
17,1,23,6
18,1,24,15
19,1,25,1
20,1,26,3
21,1,27,1
22,1,28,1
23,1,29,1
24,1,30,2
25,1,32,6
26,1,33,3
27,1,34,1
28,1,35,1
29,1,36,2
30,1,37,1
31,1,38,7
32,1,42,2
33,1,43,2
34,1,44,2
35,1,46,1
36,1,47,1
37,1,48,11
38,1,49,7
39,1,51,13
40,1,53,2
41,1,54,3
42,1,55,2
43,1,56,2
44,1,57,10
45,1,61,1
46,1,62,3
47,1,63,9
48,1,64,6
49,1,67,2
50,1,72,1
51,1,73,1
52,1,75,1
53,1,78,1
54,1,79,1
55,1,80,2
56,1,83,1
57,1,85,4
58,1,87,15
59,1,88,3
60,1,93,2
61,1,94,6
62,1,95,1
63,1,96,1
64,1,98,1
65,1,101,4
66,1,103,1
67,1,106,1
68,1,108,2
69,1,109,3
70,1,111,1
71,1,112,1
72,1,113,2
73,1,115,2
74,1,117,1
75,1,119,1
76,1,120,3
77,1,122,1
78,1,127,1
79,1,129,2
80,1,130,3
81,1,131,3
82,1,132,1
83,1,135,14
84,1,137,1
85,1,142,3
86,1,143,1
87,1,149,1
88,1,150,1
89,1,152,2
90,1,154,6
91,1,157,4
92,1,158,2
93,1,160,2
94,1,161,13
95,1,162,3
96,1,163,3
97,1,164,2
98,1,170,1
99,1,173,2
100,1,175,1
101,1,192,1
102,1,194,1
103,1,199,1
104,2,3,7
105,2,4,11
106,2,5,1
107,2,7,3
108,2,8,1
109,2,9,1
110,2,13,1
111,2,19,1
112,2,20,3
113,2,21,1
114,2,23,1
115,2,29,6
116,2,31,1
117,2,32,2
118,2,33,1
119,2,40,3
120,2,42,1
121,2,48,2
122,2,57,2
123,2,63,4
124,2,87,1
125,2,101,1
126,2,112,2
127,2,115,2
128,2,121,1
129,2,134,1
130,2,136,2
131,2,144,1
132,2,146,1
133,2,149,1
134,2,161,4
135,3,4,5
136,3,7,2
137,3,16,1
138,3,21,4
139,3,23,1
140,3,25,2
141,3,27,1
142,3,29,5
143,3,31,3
144,3,33,2
145,3,42,1
146,3,48,2
147,3,56,8
148,3,57,1
149,3,63,14
150,3,64,1
151,3,72,1
152,3,87,1
153,3,93,1
154,3,94,1
155,3,111,1
156,3,122,1
157,3,144,1
158,3,149,3
159,3,151,1
160,3,154,1
161,3,157,1
162,3,161,1
163,3,164,1
164,3,172,1
165,3,173,1
166,3,185,1
167,4,7,1
168,4,8,3
169,4,20,2
170,4,29,2
171,4,31,1
172,4,38,1
173,4,40,2
174,4,57,1
175,4,63,3
176,4,88,1
177,4,111,2
178,4,112,1
179,4,121,1
180,4,129,1
181,4,138,1
182,4,149,1
183,4,161,2
184,5,6,1
185,5,11,2
186,5,13,2
187,5,19,1
188,5,20,2
189,5,23,1
190,5,24,6
191,5,48,2
192,5,65,1
193,5,87,2
194,5,98,2
195,5,99,1
196,5,101,2
197,5,158,1
198,5,161,1
199,5,165,1
200,5,168,1
201,5,183,1
202,6,9,1
203,6,11,4
204,6,21,1
205,6,30,1
206,6,32,1
207,6,44,1
208,6,51,2
209,6,57,1
210,6,87,1
211,6,88,3
212,6,148,1
213,6,162,1
214,6,183,1
215,7,8,4
216,7,13,3
217,7,15,1
218,7,17,1
219,7,19,2
220,7,21,2
221,7,23,3
222,7,24,1
223,7,29,2
224,7,30,1
225,7,32,2
226,7,33,3
227,7,35,2
228,7,40,1
229,7,41,1
230,7,42,1
231,7,43,1
232,7,48,12
233,7,49,6
234,7,50,1
235,7,51,1
236,7,56,1
237,7,57,2
238,7,61,1
239,7,63,16
240,7,64,2
241,7,68,1
242,7,73,1
243,7,80,1
244,7,83,1
245,7,85,1
246,7,87,4
247,7,89,1
248,7,95,1
