,tag,ct,cotag,cotag_u
0,1,797,1828,203
1,2,75,162,58
2,3,23,55,34
3,4,3613,7945,329
4,5,134,315,121
5,6,40,104,52
6,7,1282,2924,204
7,8,125,227,63
8,9,74,173,47
9,10,884,2289,236
10,11,218,614,133
11,12,355,769,121
12,13,288,570,89
13,14,4151,8276,295
14,15,170,406,87
15,16,122,273,99
16,17,946,1953,216
17,18,818,1731,182
18,19,15,47,29
19,20,1464,3326,245
20,21,244,464,118
21,22,201,545,146
22,23,880,2074,221
23,24,71,179,91
24,25,573,1233,211
25,26,429,1044,150
26,27,169,372,93
27,28,173,467,112
28,29,221,432,84
29,30,29,56,37
30,31,41,108,22
31,32,66,136,57
32,33,31,65,43
33,34,111,280,110
34,35,84,222,93
35,36,78,152,61
36,37,66,139,51
37,38,1039,2080,200
38,39,207,503,92
39,40,214,416,118
40,41,906,1749,217
41,42,178,335,93
42,43,17,29,24
43,44,27,53,32
44,45,44,76,44
45,46,117,264,68
46,47,270,673,131
47,48,98,211,75
48,49,89,195,53
49,50,69,182,74
50,51,326,741,148
51,52,2823,5778,246
52,53,984,2196,182
53,54,155,369,90
54,55,95,196,78
55,56,1326,2764,231
56,57,182,291,100
57,58,1117,2559,188
58,59,650,1256,141
59,60,43,99,40
60,61,50,109,55
61,62,1656,3589,258
62,63,27,52,33
63,64,1214,2896,226
64,65,210,439,110
65,66,80,167,69
66,67,543,1252,188
67,68,773,1875,223
68,69,18,41,28
69,70,1477,2303,187
70,71,201,439,121
71,72,804,1556,180
72,73,422,941,130
73,74,1005,2195,225
74,75,83,186,78
75,76,75,125,38
76,77,687,1261,190
77,78,744,1655,144
78,79,73,186,83
79,80,268,529,98
80,81,70,166,61
81,82,199,515,124
82,83,248,564,164
83,84,189,400,124
84,85,10,19,17
85,86,95,227,83
86,87,80,151,65
87,88,1239,2275,165
88,89,129,274,85
89,90,120,224,59
90,91,152,355,93
91,92,146,321,77
92,93,88,199,58
93,94,310,734,129
94,95,223,571,127
95,96,90,193,63
96,97,499,1122,144
97,98,331,663,133
98,99,20,45,17
99,100,779,1255,121
100,101,268,622,152
101,102,91,215,71
102,103,347,783,136
103,104,37,91,48
104,105,41,87,41
105,106,123,274,88
106,107,169,419,69
107,108,21,54,22
108,109,1117,2499,249
109,110,17,38,24
110,111,104,219,88
111,112,47,105,55
112,113,41,80,34
113,114,37,86,48
114,115,143,330,82
115,116,358,669,107
116,117,75,186,84
117,118,111,189,63
118,119,303,759,81
119,120,49,109,44
120,121,30,71,45
121,122,1218,2915,242
122,123,55,140,43
123,124,487,921,149
124,125,66,134,55
125,126,208,429,117
126,127,43,96,42
127,128,35,78,42
128,129,14,31,22
