,tag,ct,cotag,cotag_u
0,1,555,1099,139
1,2,33,57,38
2,3,42,76,43
3,4,2,1,1
4,5,66,165,62
5,6,12,30,18
6,7,1,0,0
7,8,72,121,66
8,9,31,74,48
9,10,10,14,12
10,11,112,226,53
11,12,18,36,23
12,13,45,97,51
13,14,4,10,7
14,15,68,178,65
15,16,6,14,12
16,17,1,4,4
17,18,1,4,4
18,19,25,56,32
19,20,15,32,24
20,21,31,59,31
21,22,20,37,25
22,23,62,120,38
23,24,477,980,154
24,25,4,7,7
25,26,10,16,10
26,27,14,32,25
27,28,8,25,20
28,29,19,29,23
29,30,14,28,14
30,31,26,42,27
31,32,180,316,89
32,33,23,63,35
33,34,31,57,36
34,35,181,371,61
35,36,11,19,13
36,37,20,50,32
37,38,4,12,10
38,39,14,30,20
39,40,30,53,30
40,41,26,34,23
41,42,13,32,23
42,43,19,39,26
43,44,16,34,26
44,45,308,701,115
45,46,34,81,46
46,47,66,135,38
47,48,4,9,7
48,49,2,3,3
49,50,33,67,38
50,51,3,6,6
51,52,7,12,9
52,53,5,9,7
53,54,110,224,85
54,55,27,52,26
55,56,17,28,21
56,57,27,63,40
57,58,2,4,4
58,59,1,1,1
59,60,7,12,10
60,61,34,78,35
61,62,17,48,37
62,63,5,12,11
63,64,12,25,16
64,65,2,2,2
65,66,54,111,38
66,67,2,2,2
67,68,2,4,3
68,69,2,5,5
69,70,3,6,5
70,71,25,62,34
71,72,50,97,46
72,73,20,46,21
73,74,2,3,3
74,75,5,6,6
75,76,4,7,7
76,77,80,160,53
77,78,10,18,10
78,79,19,34,20
79,80,3,7,6
80,81,3,6,6
81,82,71,145,75
82,83,28,51,31
83,84,3,5,5
84,85,9,12,11
85,86,4,11,9
86,87,23,37,21
87,88,2,2,2
88,89,82,204,57
89,90,10,16,9
90,91,12,21,11
91,92,14,20,17
92,93,7,14,10
93,94,51,114,33
94,95,4,12,9
95,96,28,64,31
96,97,5,14,11
97,98,4,0,0
98,99,13,30,22
99,100,15,27,20
100,101,8,15,8
101,102,144,323,113
102,103,2,1,1
103,104,16,27,18
104,105,28,57,22
105,106,13,21,21
106,107,11,32,23
107,108,32,73,39
108,109,44,98,37
109,110,96,199,62
110,111,11,20,10
111,112,3,4,4
112,113,4,4,4
113,114,8,16,13
114,115,19,35,23
115,116,4,7,6
116,117,10,21,17
117,118,2,4,4
118,119,11,17,13
119,120,12,23,21
120,121,13,28,18
121,122,9,21,17
122,123,22,43,20
123,124,6,17,12
124,125,34,84,29
125,126,4,9,8
126,127,8,19,12
127,128,10,22,17
128,129,24,62,29
129,130,8,13,10
130,131,2,5,5
131,132,8,20,19
132,133,5,15,13
133,134,17,38,29
134,135,4,7,7
135,136,6,11,7
136,137,6,12,10
137,138,31,73,23
138,139,35,83,26
