,tag,ct,cotag,cotag_u
0,1,1506,2832,470
1,2,1311,2816,494
2,3,481,1048,306
3,4,903,1427,342
4,5,973,1769,335
5,6,19,33,19
6,7,1026,1723,289
7,8,88,160,79
8,9,112,198,77
9,10,1652,2919,461
10,11,93,185,97
11,12,119,239,128
12,13,143,253,108
13,14,17,37,29
14,15,331,645,219
15,16,167,363,153
16,17,13,22,20
17,18,50,127,81
18,19,474,875,256
19,20,467,813,206
20,21,585,993,247
21,22,174,334,147
22,23,931,2200,318
23,24,234,479,167
24,25,101,205,115
25,26,64,113,58
26,27,901,1789,462
27,28,147,253,107
28,29,58,95,61
29,30,31,64,39
30,31,2711,4620,666
31,32,223,401,156
32,33,707,1601,341
33,34,1824,4092,609
34,35,1108,2243,404
35,36,29,47,30
36,37,213,451,127
37,38,28,47,33
38,39,891,1775,348
39,40,170,254,97
40,41,73,145,83
41,42,599,1012,262
42,43,39,64,35
43,44,5,5,5
44,45,458,770,253
45,46,40,93,55
46,47,220,421,146
47,48,149,321,150
48,49,1942,2841,462
49,50,64,98,35
50,51,588,1121,291
51,52,198,384,146
52,53,357,610,204
53,54,4,10,9
54,55,12,29,25
55,56,17,29,20
56,57,29,46,27
57,58,476,881,287
58,59,243,493,164
59,60,19,39,31
60,61,20,47,35
61,62,9,16,13
62,63,213,402,158
63,64,698,1443,278
64,65,198,421,112
65,66,22,33,27
66,67,162,287,128
67,68,65,122,68
68,69,719,1348,276
69,70,34,71,48
70,71,64,135,66
71,72,1,2,2
72,73,432,801,304
73,74,187,338,145
74,75,202,374,144
75,76,53,93,53
76,77,300,593,206
77,78,43,85,43
78,79,199,348,175
79,80,515,1015,288
80,81,132,290,93
81,82,619,1210,296
82,83,650,1166,242
83,84,55,108,55
84,85,800,1671,313
85,86,738,1536,311
86,87,10,19,13
87,88,115,162,106
88,89,12,20,18
89,90,273,596,221
90,91,64,123,66
91,92,16,26,15
92,93,287,596,164
93,94,73,136,84
94,95,156,275,121
95,96,197,412,110
96,97,70,141,90
97,98,69,114,63
98,99,521,943,295
99,100,806,1479,329
100,101,129,287,149
101,102,144,329,105
102,103,22,38,28
103,104,423,942,252
104,105,289,651,177
105,106,899,1874,338
106,107,333,789,197
107,108,322,578,158
108,109,23,36,16
109,110,91,165,79
110,111,32,61,38
111,112,36,52,36
112,113,189,326,156
113,114,139,261,134
114,115,139,235,81
115,116,573,1147,290
116,117,94,192,77
117,118,171,289,141
118,119,23,45,32
119,120,10,26,20
120,121,17,32,29
121,122,675,1201,283
122,123,277,614,193
123,124,423,827,214
124,125,59,79,60
125,126,254,366,143
126,127,188,363,126
127,128,15,20,9
128,129,98,186,88
129,130,17,37,29
