,tag,ct,cotag,cotag_u
0,1,10,9,6
1,2,4,5,4
2,3,2,3,2
3,4,3,5,5
4,5,29,40,25
5,6,7,9,6
6,7,1,3,3
7,8,15,20,10
8,9,5,3,3
9,10,5,8,7
10,11,1,3,3
11,12,7,11,11
12,13,1,1,1
13,14,1,1,1
14,15,7,9,7
15,16,3,6,5
16,17,2,3,3
17,18,1,2,2
18,19,2,3,3
19,20,3,1,1
20,21,4,2,2
21,22,12,8,8
22,23,3,5,5
23,24,1,2,2
24,25,1,2,2
25,26,1,2,2
26,27,1,2,2
27,28,2,3,3
28,29,4,4,3
29,30,15,17,11
30,31,1,0,0
31,32,2,1,1
32,33,1,1,1
33,34,1,0,0
34,35,2,2,1
35,36,1,1,1
36,37,6,4,4
37,38,1,1,1
38,39,6,5,4
39,40,1,3,3
40,41,1,3,3
41,42,1,3,3
42,43,5,4,4
43,44,2,6,5
44,45,1,4,4
45,46,1,4,4
46,47,1,4,4
47,48,6,7,6
48,49,1,3,3
49,50,1,3,3
50,51,1,3,3
51,52,3,2,2
52,53,1,1,1
53,54,1,2,2
54,55,1,1,1
55,56,1,1,1
56,57,2,0,0
57,58,1,1,1
58,59,1,2,2
59,60,1,2,2
60,61,1,1,1
61,62,1,2,2
62,63,1,2,2
63,64,1,2,2
64,65,1,2,2
65,66,1,2,2
66,67,1,1,1
67,68,1,1,1
68,69,2,2,2
69,70,3,1,1
