,tag,ct,cotag,cotag_u
0,1,5510,9228,307
1,2,133,313,72
2,3,261,454,94
3,4,189,281,91
4,5,21,43,22
5,6,604,1146,147
6,7,156,329,79
7,8,46,98,49
8,9,79,160,64
9,10,205,369,77
10,11,202,401,97
11,12,132,274,63
12,13,4,12,12
13,14,2,2,2
14,15,71,135,60
15,16,1446,2821,231
16,17,132,248,77
17,18,92,166,52
18,19,41,70,31
19,20,24,53,24
20,21,118,231,76
21,22,16,34,25
22,23,306,688,107
23,24,1089,2206,218
24,25,840,1691,220
25,26,669,1398,180
26,27,90,153,62
27,28,45,89,44
28,29,20,41,28
29,30,36,72,43
30,31,3,6,6
31,32,11,22,17
32,33,13,25,21
33,34,36,62,31
34,35,6,4,3
35,36,324,678,132
36,37,52,110,38
37,38,19,30,26
38,39,131,262,65
39,40,364,661,115
40,41,8,20,16
41,42,80,171,59
42,43,118,254,63
43,44,324,617,149
44,45,322,525,147
45,46,44,94,40
46,47,430,870,124
47,48,46,106,34
48,49,308,615,135
49,50,3,5,5
50,51,416,811,134
51,52,615,1138,195
52,53,24,50,38
53,54,100,196,75
54,55,186,339,78
55,56,16,30,19
56,57,204,491,121
57,58,72,168,53
58,59,52,112,53
59,60,202,391,95
60,61,236,437,118
61,62,98,195,63
62,63,569,1080,159
63,64,67,140,49
64,65,323,641,114
65,66,61,129,45
66,67,66,139,60
67,68,109,182,63
68,69,24,41,19
69,70,183,302,84
70,71,57,120,57
71,72,93,203,70
72,73,144,260,82
73,74,826,1464,178
74,75,1223,2221,230
75,76,42,76,34
76,77,67,135,41
77,78,16,35,22
78,79,4,3,2
79,80,15,27,23
80,81,357,738,127
81,82,53,124,45
82,83,22,48,22
83,84,38,78,48
84,85,69,126,52
85,86,18,38,25
86,87,29,49,27
87,88,50,101,45
88,89,447,897,117
89,90,30,66,25
90,91,4,7,5
91,92,249,485,118
92,93,31,65,38
93,94,3,4,3
94,95,52,121,43
95,96,226,502,108
96,97,273,570,107
97,98,21,50,28
98,99,135,242,58
99,100,61,133,68
100,101,14,32,18
101,102,7,11,8
102,103,137,259,70
103,104,300,665,133
104,105,105,216,65
105,106,49,96,46
106,107,150,287,79
107,108,42,76,39
108,109,44,107,39
