,tag,ct,cotag,cotag_u
0,1,1862,4605,412
1,2,660,1518,329
2,3,2396,4222,534
3,4,6720,12059,1201
4,5,97,234,101
5,6,6668,14548,977
6,7,671,1525,322
7,8,7078,13449,695
8,9,11249,28498,1299
9,10,4206,9424,783
10,11,1830,3874,646
11,12,757,1752,271
12,13,702,1679,281
13,14,158,179,95
14,15,15,17,7
15,16,1953,4833,653
16,17,972,2250,338
17,18,409,899,196
18,19,4834,10585,801
19,20,109,230,77
20,21,1276,2645,374
21,22,1848,4022,787
22,23,2600,5991,510
23,24,569,1581,218
24,25,89,221,75
25,26,1232,2786,423
26,27,651,1568,273
27,28,181,429,154
28,29,624,1565,362
29,30,700,1762,244
30,31,1120,2397,473
31,32,1872,4473,483
32,33,391,823,147
33,34,970,2330,345
34,35,21,48,25
35,36,378,731,175
36,37,95,207,128
37,38,79,147,70
38,39,213,451,136
39,40,37,81,39
40,41,7302,16489,1126
41,42,298,698,228
42,43,595,1194,251
43,44,7,13,13
44,45,25,50,34
45,46,209,445,134
46,47,459,1078,225
47,48,1294,3010,658
48,49,180,384,129
49,50,347,595,165
50,51,1339,2908,542
51,52,60,141,74
52,53,15808,31392,1654
53,54,631,1068,275
54,55,443,1112,279
55,56,754,1636,355
56,57,1192,2878,740
57,58,32,79,56
58,59,18,46,37
59,60,186,427,190
60,61,6981,16526,997
61,62,216,536,143
62,63,2019,4606,424
63,64,366,763,258
64,65,5184,11777,909
65,66,436,997,192
66,67,2108,4947,453
67,68,1029,2578,384
68,69,2253,5582,614
69,70,223,528,207
70,71,204,560,179
71,72,5916,13806,746
72,73,674,1367,406
73,74,34,81,23
74,75,414,861,205
75,76,235,458,171
76,77,80,191,63
77,78,1856,3633,586
78,79,1654,3665,698
79,80,45,72,39
80,81,660,1825,149
81,82,251,674,106
82,83,428,871,194
83,84,465,932,320
84,85,883,2103,261
85,86,247,559,144
86,87,1831,4121,450
87,88,1908,4447,541
88,89,19,43,34
89,90,189,434,149
90,91,16391,40115,962
91,92,2039,4438,575
92,93,941,2489,276
93,94,308,776,313
94,95,82,195,120
95,96,20,44,34
96,97,433,1028,235
97,98,335,706,228
98,99,424,1158,150
99,100,1255,2849,497
100,101,29,61,34
101,102,2654,4401,917
102,103,33,61,30
103,104,120,261,129
104,105,738,1339,357
105,106,253,564,224
106,107,320,779,146
107,108,80,191,65
108,109,516,1274,247
109,110,13,29,19
110,111,60,128,63
111,112,369,807,281
112,113,1831,4031,481
113,114,597,1241,257
114,115,453,1048,373
115,116,285,520,172
116,117,732,1420,263
117,118,183,355,108
118,119,271,571,170
119,120,86,170,72
120,121,218,558,156
121,122,496,1244,217
122,123,209,482,149
123,124,724,1489,296
124,125,186,424,131
125,126,12269,34232,930
126,127,2520,4486,390
127,128,835,1861,405
128,129,769,1550,332
129,130,868,1984,382
130,131,228,534,135
131,132,101,176,90
132,133,7,13,8
133,134,11412,25375,1168
134,135,5375,12003,874
135,136,2117,4278,419
136,137,3156,6376,788
137,138,4,10,7
138,139,157,244,69
139,140,413,882,236
140,141,13,32,23
141,142,510,1189,342
142,143,9344,23275,582
143,144,9500,24443,617
144,145,636,1460,314
145,146,116,213,82
146,147,47,134,57
147,148,1505,3861,356
148,149,93,203,62
149,150,319,728,283
150,151,402,813,278
151,152,148,326,145
152,153,20,46,29
153,154,3541,8694,998
154,155,2494,6218,524
155,156,2,2,2
156,157,12924,32892,733
157,158,3958,9280,745
158,159,574,1318,332
159,160,3323,9045,659
160,161,8117,22056,695
161,162,1089,2590,291
162,163,16,29,23
163,164,15738,38218,1145
164,165,7167,15393,1045
165,166,23,46,24
166,167,34,62,31
167,168,94,189,79
168,169,117,281,181
169,170,19,45,35
170,171,8,15,13
171,172,195,263,124
