,tag,ct,cotag,cotag_u
0,1,719,1370,230
1,2,256,476,135
2,3,93,172,49
3,4,207,366,109
4,5,165,349,95
5,6,211,385,142
6,7,25,64,28
7,8,90,182,88
8,9,15,23,15
9,10,31,74,49
10,11,1168,2227,313
11,12,734,1524,289
12,13,76,138,45
13,14,37,57,42
14,15,6,13,9
15,16,17,43,33
16,17,143,240,73
17,18,300,578,149
18,19,98,184,62
19,20,94,189,96
20,21,11,26,19
21,22,20,37,30
22,23,137,288,135
23,24,16,41,32
24,25,147,324,123
25,26,963,1711,262
26,27,98,231,109
27,28,27,51,34
28,29,6,9,8
29,30,47,90,51
30,31,134,239,108
31,32,8,17,12
32,33,236,390,128
33,34,2,3,2
34,35,4,3,3
35,36,332,557,191
36,37,106,208,80
37,38,11,30,19
38,39,34,74,44
39,40,2,2,2
40,41,1,1,1
41,42,50,107,37
42,43,138,326,112
43,44,273,594,145
44,45,87,167,76
45,46,13,31,17
46,47,36,56,18
47,48,10,17,12
48,49,191,386,118
49,50,22,28,20
50,51,321,551,147
51,52,41,95,50
52,53,70,155,59
53,54,278,431,145
54,55,89,178,80
55,56,55,88,53
56,57,73,148,76
57,58,17,31,22
58,59,22,44,31
59,60,162,309,120
60,61,262,499,127
61,62,24,47,22
62,63,21,53,27
63,64,27,56,22
64,65,13,27,20
65,66,40,89,54
66,67,124,222,94
67,68,156,285,120
68,69,261,589,170
69,70,98,184,76
70,71,157,299,123
71,72,277,601,181
72,73,121,217,73
73,74,7,12,8
74,75,41,84,50
75,76,62,140,73
76,77,60,118,71
77,78,118,245,98
78,79,136,293,104
79,80,43,103,38
80,81,20,43,27
81,82,8,19,15
82,83,26,60,24
83,84,33,80,40
84,85,34,72,30
85,86,18,35,24
86,87,11,22,12
87,88,30,56,44
88,89,72,149,58
89,90,286,602,177
90,91,151,313,118
91,92,282,539,152
92,93,206,320,144
93,94,451,938,220
94,95,37,57,32
95,96,23,56,33
96,97,164,364,145
97,98,65,135,79
98,99,122,277,82
99,100,19,46,27
100,101,46,101,51
101,102,36,75,44
102,103,47,93,54
103,104,92,144,73
104,105,208,434,162
105,106,78,110,46
106,107,7,8,7
107,108,200,394,145
108,109,19,39,26
109,110,158,260,91
110,111,6,8,4
111,112,30,64,39
112,113,4,11,11
113,114,16,31,17
114,115,91,177,68
115,116,239,439,112
116,117,72,126,52
117,118,412,823,201
118,119,26,46,21
119,120,16,28,23
120,121,26,65,35
121,122,8,15,13
122,123,160,327,128
123,124,10,23,15
124,125,1452,2790,383
125,126,50,88,55
126,127,11,28,13
127,128,10,21,12
128,129,61,138,69
129,130,49,85,44
130,131,34,70,54
131,132,34,64,32
132,133,58,98,37
133,134,27,57,26
134,135,81,136,73
135,136,20,46,29
136,137,28,63,37
137,138,18,28,18
138,139,105,225,81
139,140,25,50,32
140,141,15,45,19
141,142,12,22,15
142,143,6,16,12
143,144,9,22,12
144,145,20,48,33
145,146,337,706,151
146,147,115,253,111
147,148,41,82,39
148,149,34,81,58
149,150,24,47,24
150,151,440,917,236
151,152,16,33,21
152,153,73,157,80
153,154,1,4,4
154,155,12,30,16
155,156,98,174,68
156,157,50,103,61
157,158,62,131,50
158,159,58,104,41
159,160,5,16,14
160,161,4,9,6
161,162,3,4,3
162,163,20,44,27
163,164,10,18,18
164,165,33,62,36
165,166,125,251,60
