,tag,ct,cotag,cotag_u
0,1,37,92,37
1,2,14,44,28
2,3,83,196,58
3,4,83,173,79
4,5,260,591,109
5,6,1520,3243,351
6,7,150,288,109
7,8,25,64,26
8,9,68,175,56
9,10,4,8,7
10,11,19,48,21
11,12,18,52,30
12,13,954,2075,272
13,14,1289,2911,320
14,15,1022,2125,223
15,16,50,114,31
16,17,3,10,7
17,18,86,180,59
18,19,466,1167,175
19,20,286,688,154
20,21,110,261,119
21,22,1697,3326,341
22,23,106,197,76
23,24,33,74,25
24,25,7,16,16
25,26,2,2,2
26,27,827,1670,210
27,28,474,963,216
28,29,483,903,147
29,30,25,70,35
30,31,207,484,116
31,32,24,49,24
32,33,663,1296,254
33,34,210,395,119
34,35,13,28,10
35,36,74,180,77
36,37,53,96,30
37,38,165,360,85
38,39,68,162,75
39,40,1198,2514,311
40,41,144,346,80
41,42,23,52,30
42,43,18,49,28
43,44,208,418,113
44,45,1983,3975,392
45,46,164,328,93
46,47,1798,3597,327
47,48,25,35,18
48,49,44,98,32
49,50,415,843,158
50,51,67,123,60
51,52,32,69,37
52,53,275,576,147
53,54,227,406,102
54,55,952,1788,269
55,56,44,86,37
56,57,8,19,15
57,58,92,199,74
58,59,188,378,105
59,60,79,178,49
60,61,48,88,46
61,62,10,28,16
62,63,31,75,41
63,64,189,407,107
64,65,405,890,173
65,66,18,33,25
66,67,289,623,124
67,68,51,95,30
68,69,10,18,11
69,70,63,133,75
70,71,731,1608,254
71,72,399,891,173
72,73,70,150,58
73,74,470,956,224
74,75,92,198,66
75,76,44,102,37
76,77,173,416,80
77,78,312,606,157
78,79,19,28,20
79,80,26,59,36
80,81,63,147,76
81,82,309,694,178
82,83,15,23,15
83,84,392,774,142
84,85,1018,1730,215
85,86,64,127,38
86,87,212,566,131
87,88,49,127,49
88,89,76,111,45
89,90,47,98,50
90,91,69,172,55
91,92,34,75,43
92,93,20,45,24
93,94,49,111,57
94,95,226,454,108
95,96,37,87,26
96,97,100,251,67
97,98,130,383,68
98,99,30,71,30
99,100,654,1495,237
100,101,31,88,35
101,102,123,243,69
102,103,206,538,102
103,104,328,587,153
104,105,138,333,113
105,106,97,191,78
106,107,3,6,4
107,108,42,89,45
108,109,72,145,81
109,110,26,54,34
110,111,50,123,57
111,112,112,174,72
112,113,196,353,88
113,114,54,93,47
114,115,59,128,55
115,116,90,176,46
116,117,49,119,54
117,118,227,411,81
118,119,22,53,37
119,120,115,233,61
120,121,3,6,4
121,122,48,117,54
122,123,27,61,30
123,124,36,89,34
124,125,136,291,80
125,126,51,79,49
126,127,207,480,120
127,128,238,525,90
128,129,227,452,89
129,130,113,210,83
130,131,126,246,80
131,132,79,172,86
132,133,23,65,25
133,134,28,79,40
134,135,140,288,105
135,136,124,244,99
136,137,16,28,22
137,138,331,646,158
138,139,98,274,80
139,140,83,203,64
140,141,221,518,148
141,142,114,262,74
142,143,10,29,16
143,144,8,14,8
144,145,192,343,83
145,146,162,324,70
146,147,17,37,18
147,148,94,210,72
148,149,318,745,156
149,150,8,17,9
150,151,71,161,49
151,152,94,265,76
152,153,15,48,23
153,154,844,1222,173
154,155,25,51,25
155,156,16,46,22
156,157,5,9,6
157,158,56,111,44
158,159,5,11,9
159,160,2,3,2
160,161,69,112,48
161,162,6,15,9
162,163,207,383,122
163,164,8,20,12
164,165,9,21,17
165,166,78,167,62
166,167,173,391,109
167,168,81,190,78
168,169,63,147,72
169,170,91,194,45
170,171,8,13,11
171,172,14,26,22
172,173,12,31,19
173,174,4,9,5
174,175,80,180,80
175,176,38,72,32
176,177,286,612,144
177,178,112,210,64
178,179,196,433,97
179,180,24,57,27
180,181,3,7,7
181,182,183,395,123
182,183,20,43,21
183,184,16,39,28
184,185,237,381,107
185,186,86,202,78
186,187,58,104,36
187,188,15,32,16
188,189,14,38,28
189,190,19,47,19
190,191,73,165,79
191,192,13,31,19
192,193,6,18,14
193,194,52,94,37
194,195,7,13,8
195,196,115,194,84
196,197,263,589,151
197,198,75,132,55
198,199,52,118,38
199,200,77,204,53
200,201,63,138,55
201,202,3,6,6
202,203,83,238,83
203,204,30,77,35
204,205,24,58,32
205,206,18,46,31
206,207,230,552,142
207,208,61,149,56
208,209,119,251,80
209,210,31,44,27
210,211,133,326,108
211,212,56,164,84
212,213,38,101,39
213,214,9,24,17
214,215,10,25,22
215,216,1360,1722,123
216,217,6,11,6
217,218,28,67,38
218,219,2,4,3
219,220,45,124,45
220,221,20,54,27
221,222,118,238,100
222,223,5,15,12
223,224,20,40,21
224,225,140,224,77
225,226,6,10,7
