,tag,ct,cotag,cotag_u
0,1,39,42,22
1,2,33,49,30
2,3,203,174,49
3,4,81,96,32
4,5,133,156,55
5,6,20,20,17
6,7,20,25,7
7,8,29,40,18
8,9,98,177,46
9,10,75,93,44
10,11,63,117,38
11,12,43,60,29
12,13,201,270,84
13,14,11,15,8
14,15,223,344,74
15,16,38,70,26
16,17,95,161,41
17,18,245,477,57
18,19,31,46,25
19,20,27,33,25
20,21,11,13,10
21,22,127,145,46
22,23,35,21,16
23,24,216,251,74
24,25,8,9,4
25,26,26,47,22
26,27,3,3,3
27,28,9,12,10
28,29,25,46,23
29,30,47,62,31
30,31,63,74,31
31,32,27,23,17
32,33,16,22,15
33,34,137,179,64
34,35,49,78,34
35,36,29,25,18
36,37,7,7,5
37,38,33,50,28
38,39,26,38,19
39,40,26,47,24
40,41,12,13,11
41,42,206,379,46
42,43,5,11,6
43,44,37,54,20
44,45,18,33,20
45,46,130,276,32
46,47,50,58,33
47,48,21,35,22
48,49,2,3,3
49,50,24,40,19
50,51,39,57,30
51,52,17,14,8
52,53,5,3,3
53,54,11,14,8
54,55,101,153,41
55,56,13,25,13
56,57,12,14,10
57,58,15,28,16
58,59,2,3,3
59,60,6,10,7
60,61,17,7,7
61,62,194,138,34
62,63,24,25,16
63,64,6,8,4
64,65,45,60,19
65,66,14,11,9
66,67,1,0,0
67,68,16,27,12
68,69,6,7,5
69,70,18,24,13
70,71,2,2,2
71,72,26,22,11
72,73,11,26,18
73,74,4,8,7
74,75,5,8,6
75,76,7,10,9
76,77,26,33,13
77,78,15,19,9
78,79,9,9,3
79,80,3,3,2
80,81,2,3,2
81,82,7,12,9
82,83,3,7,3
83,84,6,14,10
84,85,9,13,13
85,86,84,159,42
86,87,4,8,5
87,88,13,17,10
88,89,7,11,8
89,90,37,68,26
90,91,4,9,8
91,92,14,14,9
92,93,14,34,8
93,94,14,27,15
94,95,19,34,8
95,96,1,2,2
96,97,11,21,8
97,98,11,26,19
98,99,6,3,3
99,100,2,4,3
100,101,11,18,14
101,102,6,8,7
102,103,15,17,10
103,104,13,16,10
104,105,9,14,12
105,106,7,10,9
106,107,37,78,22
107,108,13,12,6
108,109,8,16,8
109,110,5,11,8
110,111,3,5,5
111,112,6,4,4
112,113,25,48,12
113,114,39,48,23
114,115,46,78,25
115,116,19,44,10
116,117,15,32,21
117,118,23,50,22
118,119,9,17,10
119,120,11,19,9
120,121,9,17,8
121,122,3,7,6
122,123,1,2,2
123,124,4,2,2
124,125,4,5,3
125,126,2,4,3
126,127,293,420,57
127,128,5,7,5
128,129,2,4,3
129,130,42,92,19
130,131,9,7,5
131,132,8,11,6
132,133,3,4,3
133,134,4,8,3
134,135,5,3,3
135,136,9,17,9
136,137,3,9,7
137,138,7,7,5
138,139,2,2,2
139,140,14,26,10
140,141,8,18,9
141,142,9,10,9
142,143,9,16,9
143,144,4,10,8
144,145,6,6,5
145,146,4,5,5
146,147,12,26,13
147,148,2,3,2
148,149,2,2,2
149,150,3,3,3
150,151,11,27,11
151,152,14,30,14
152,153,29,60,27
153,154,5,3,2
154,155,1,1,1
155,156,1,0,0
156,157,4,6,5
157,158,2,7,6
158,159,2,1,1
159,160,5,10,7
160,161,4,6,5
161,162,3,3,2
162,163,8,16,10
163,164,5,3,3
164,165,2,3,3
165,166,2,3,3
166,167,5,3,2
167,168,2,2,2
168,169,2,3,2
169,170,9,6,5
170,171,3,3,3
171,172,4,7,7
172,173,1,0,0
173,174,3,5,4
174,175,2,5,5
175,176,1,1,1
176,177,12,12,9
177,178,1,1,1
