,tag,ct,cotag,cotag_u
0,1,107,188,48
1,2,885,1495,189
2,3,7,5,5
3,4,36,82,44
4,5,33,67,34
5,6,8,20,14
6,7,17,48,22
7,8,29,50,28
8,9,256,362,71
9,10,32,74,28
10,11,90,184,60
11,12,54,121,44
12,13,36,76,37
13,14,292,592,115
14,15,24,65,25
15,16,28,49,32
16,17,4,13,12
17,18,281,430,78
18,19,394,699,155
19,20,102,216,48
20,21,7,20,12
21,22,76,98,37
22,23,28,40,24
23,24,101,137,58
24,25,295,561,108
25,26,142,248,73
26,27,38,102,41
27,28,7,27,13
28,29,54,92,50
29,30,229,555,116
30,31,46,85,32
31,32,59,147,51
32,33,15,34,19
33,34,18,22,14
34,35,88,172,48
35,36,139,170,58
36,37,299,491,99
37,38,53,89,41
38,39,38,91,37
39,40,38,72,26
40,41,40,75,20
41,42,72,148,51
42,43,35,84,26
43,44,37,74,43
44,45,15,28,9
45,46,128,203,86
46,47,51,59,27
47,48,18,32,14
48,49,162,298,69
49,50,15,27,19
50,51,66,156,46
51,52,13,27,12
52,53,44,64,27
53,54,471,780,112
54,55,76,147,58
55,56,6,8,6
56,57,23,39,17
57,58,6,14,10
58,59,21,38,22
59,60,27,63,30
60,61,148,220,50
61,62,94,154,48
62,63,55,122,46
63,64,46,67,37
64,65,22,39,17
65,66,21,42,18
66,67,24,36,21
67,68,7,11,5
68,69,14,28,11
69,70,8,14,6
70,71,14,29,18
71,72,101,226,61
72,73,12,26,17
73,74,9,23,15
74,75,20,49,15
75,76,2,4,4
76,77,3,5,3
77,78,9,18,11
78,79,76,99,46
79,80,13,29,12
80,81,10,27,13
81,82,9,11,11
82,83,6,10,5
83,84,4,8,6
84,85,51,85,23
85,86,6,14,10
86,87,24,56,30
87,88,8,16,11
88,89,12,28,17
89,90,6,20,11
90,91,19,57,26
91,92,5,15,13
92,93,6,11,4
93,94,23,44,27
94,95,17,24,17
95,96,11,27,16
96,97,29,46,35
97,98,2,3,2
98,99,138,177,66
99,100,3,5,3
100,101,6,13,9
101,102,10,25,14
102,103,13,14,11
103,104,48,112,35
104,105,12,18,14
105,106,95,157,56
106,107,42,69,35
107,108,19,28,22
108,109,14,28,16
109,110,19,46,28
110,111,15,33,21
111,112,7,10,8
112,113,6,19,12
113,114,21,28,18
114,115,13,20,16
115,116,42,52,35
116,117,5,6,5
117,118,4,7,4
118,119,39,62,23
119,120,12,16,14
120,121,2,5,5
121,122,37,87,29
122,123,15,34,17
123,124,4,10,9
124,125,108,205,42
125,126,45,102,19
126,127,24,43,24
127,128,33,67,27
128,129,29,63,29
129,130,21,32,15
130,131,18,17,12
131,132,45,76,20
132,133,39,98,30
133,134,8,14,13
134,135,29,78,36
135,136,12,30,22
136,137,4,12,10
137,138,5,10,7
138,139,33,75,22
139,140,6,13,7
140,141,7,9,5
141,142,2,4,3
142,143,8,20,9
143,144,7,12,9
144,145,5,11,8
145,146,39,78,35
146,147,100,131,50
147,148,19,35,24
148,149,24,45,13
149,150,13,28,10
150,151,30,67,33
151,152,11,18,9
152,153,6,11,5
153,154,92,162,44
154,155,5,8,5
155,156,5,6,4
156,157,30,32,21
157,158,3,9,8
158,159,13,35,24
159,160,26,42,25
160,161,10,17,11
161,162,35,57,25
162,163,16,31,10
163,164,24,47,17
164,165,6,12,12
165,166,8,23,17
166,167,19,28,13
167,168,4,9,5
168,169,3,8,8
169,170,33,65,28
170,171,31,50,19
171,172,12,26,14
172,173,3,3,2
173,174,86,157,50
174,175,32,45,13
175,176,3,6,4
176,177,9,22,11
177,178,5,12,7
178,179,7,17,7
179,180,94,167,56
180,181,21,29,17
181,182,9,18,14
182,183,2,6,6
183,184,1,3,3
184,185,7,19,14
185,186,1,1,1
186,187,5,10,7
187,188,2,7,5
188,189,8,15,10
189,190,9,19,12
190,191,13,20,11
191,192,6,19,9
192,193,3,8,4
193,194,9,17,9
194,195,12,36,19
195,196,4,8,6
196,197,8,13,9
197,198,17,23,10
198,199,60,94,36
199,200,6,12,8
200,201,5,7,5
201,202,2,4,4
202,203,2,5,4
203,204,14,27,13
204,205,15,36,14
205,206,7,18,12
206,207,4,4,4
207,208,3,8,6
208,209,1,2,2
209,210,11,18,14
210,211,9,10,9
211,212,2,5,3
212,213,13,24,17
213,214,5,10,9
214,215,39,57,28
215,216,3,5,4
216,217,4,4,3
217,218,10,19,11
218,219,19,24,19
219,220,12,19,11
220,221,8,17,12
221,222,16,36,16
222,223,10,22,18
223,224,12,19,14
224,225,3,3,2
225,226,3,7,5
226,227,6,16,12
227,228,4,11,8
228,229,2,6,4
229,230,4,11,8
230,231,5,12,8
231,232,7,20,12
232,233,16,23,18
233,234,3,2,2
234,235,5,6,5
235,236,4,6,6
236,237,13,7,5
237,238,10,27,15
238,239,7,10,8
239,240,4,6,5
240,241,5,15,6
241,242,16,20,12
242,243,7,12,7
243,244,6,12,7
244,245,64,110,47
245,246,13,18,15
246,247,5,7,5
247,248,6,13,9
248,249,5,8,6
249,250,21,47,25
250,251,10,17,11
251,252,3,4,4
252,253,5,11,8
253,254,10,20,14
254,255,4,4,3
255,256,5,7,4
256,257,2,3,3
257,258,4,6,6
258,259,5,6,5
259,260,3,7,6
260,261,9,17,14
261,262,2,0,0
262,263,9,14,11
263,264,1,1,1
264,265,3,6,4
265,266,4,6,4
266,267,6,8,6
267,268,1,3,3
268,269,2,4,4
269,270,3,7,5
270,271,2,0,0
271,272,1,1,1
272,273,2,3,3
273,274,4,7,3
274,275,11,16,9
275,276,1,3,3
276,277,8,9,6
277,278,3,4,3
278,279,1,2,2
279,280,1,1,1
280,281,4,3,3
281,282,1,2,2
282,283,2,5,5
283,284,2,5,3
284,285,1,2,2
285,286,3,6,4
286,287,15,30,11
287,288,2,4,3
288,289,2,2,2
289,290,2,5,4
290,291,2,6,5
291,292,2,1,1
292,293,4,3,3
293,294,1,2,2
294,295,1,2,2
295,296,2,3,3
296,297,2,3,2
297,298,8,11,8
298,299,1,3,3
299,300,1,3,3
300,301,1,2,2
301,302,1,3,3
302,303,1,4,4
303,304,1,4,4
304,305,1,4,4
305,306,1,1,1
306,307,1,1,1
307,308,1,2,2
308,309,1,3,3
309,310,1,3,3
310,311,1,1,1
311,312,1,3,3
312,313,1,3,3
313,314,1,1,1
