,tag,ct,cotag,cotag_u
0,1,406,652,96
1,2,92,141,62
2,3,28,55,30
3,4,29,36,17
4,5,366,466,67
5,6,92,157,38
6,7,394,477,72
7,8,234,303,67
8,9,22,40,23
9,10,18,35,23
10,11,61,89,41
11,12,74,131,52
12,13,903,972,89
13,14,589,819,86
14,15,24,37,17
15,16,17,25,19
16,17,150,234,48
17,18,501,868,119
18,19,116,168,45
19,20,22,22,14
20,21,97,177,58
21,22,10,18,14
22,23,32,56,27
23,24,119,174,53
24,25,29,39,22
25,26,168,260,64
26,27,106,166,50
27,28,110,192,54
28,29,29,54,19
29,30,803,891,85
30,31,107,165,45
31,32,69,120,50
32,33,159,280,67
33,34,125,281,63
34,35,238,396,66
35,36,420,668,87
36,37,14,19,13
37,38,17,29,15
38,39,80,123,52
39,40,15,26,13
40,41,3,4,4
41,42,20,18,12
42,43,23,27,17
43,44,10,16,13
44,45,149,241,62
45,46,9,25,17
46,47,22,18,15
47,48,31,38,20
48,49,8,20,15
49,50,3,7,5
50,51,11,15,12
51,52,9,25,15
52,53,87,187,34
53,54,7,10,8
54,55,1271,1114,108
55,56,5,9,9
56,57,16,38,25
57,58,38,68,25
58,59,61,99,30
59,60,21,36,24
60,61,6,16,10
61,62,69,83,39
62,63,59,85,31
63,64,12,20,15
64,65,18,36,9
65,66,219,302,61
66,67,56,95,29
67,68,15,22,15
68,69,4,9,5
69,70,12,26,18
70,71,6,9,7
71,72,13,19,14
72,73,91,133,34
73,74,24,56,30
74,75,14,21,14
75,76,4,12,11
76,77,7,15,11
77,78,8,18,10
78,79,12,26,19
79,80,13,34,24
80,81,36,72,36
81,82,5,12,11
82,83,14,38,24
83,84,22,47,27
84,85,2,4,4
85,86,19,50,27
86,87,2,6,4
87,88,18,26,19
88,89,19,25,14
89,90,45,76,24
90,91,37,48,28
91,92,10,20,12
92,93,12,26,16
93,94,11,22,13
94,95,8,20,14
95,96,47,95,35
96,97,25,43,23
97,98,48,70,36
98,99,33,55,29
99,100,4,4,4
100,101,374,473,70
101,102,4,4,4
102,103,125,215,49
103,104,6,9,7
104,105,11,14,11
105,106,21,22,13
106,107,57,75,28
107,108,7,7,7
108,109,8,17,12
109,110,2,3,3
110,111,15,19,13
111,112,37,48,19
112,113,37,70,37
113,114,141,186,55
114,115,3,3,3
115,116,46,76,25
116,117,30,53,24
117,118,12,24,13
118,119,2,4,3
119,120,8,11,7
120,121,16,22,14
121,122,55,87,27
122,123,45,70,26
123,124,17,37,12
124,125,4,8,6
125,126,12,20,18
126,127,12,18,12
127,128,15,31,15
128,129,6,11,9
129,130,7,12,8
130,131,20,19,14
131,132,33,57,27
132,133,2,5,5
133,134,20,46,26
134,135,8,14,11
135,136,4,0,0
136,137,3,6,5
137,138,14,21,15
138,139,15,31,20
139,140,25,56,25
140,141,32,28,17
141,142,28,31,15
142,143,5,4,4
143,144,4,7,7
144,145,7,24,7
145,146,18,23,16
146,147,8,13,4
147,148,14,17,12
148,149,8,12,11
149,150,18,27,18
150,151,12,21,15
151,152,4,9,6
152,153,4,1,1
153,154,22,22,12
154,155,24,36,11
155,156,16,22,10
156,157,2,1,1
157,158,3,3,3
158,159,7,7,4
159,160,7,10,7
160,161,2,4,4
161,162,2,2,2
162,163,10,17,11
163,164,6,7,5
164,165,4,5,5
165,166,3,5,5
166,167,2,2,2
167,168,5,9,7
168,169,8,11,8
169,170,7,11,10
170,171,8,12,6
171,172,1,3,3
172,173,1,3,3
173,174,3,7,5
174,175,6,10,7
175,176,2,5,5
176,177,2,6,6
177,178,3,6,4
178,179,1,3,3
179,180,1,2,2
180,181,2,2,2
181,182,1,1,1
182,183,1,2,2
183,184,1,0,0
184,185,1,0,0
185,186,1,1,1
186,187,1,0,0
