,tag,ct,cotag,cotag_u
0,1,65,163,95
1,2,7,15,14
2,3,2,4,4
3,4,29,61,33
4,5,357,926,317
5,6,223,472,217
6,7,4,5,4
7,8,477,1328,377
8,9,89,244,107
9,10,95,234,122
10,11,41,84,48
11,12,393,888,292
12,13,153,371,141
13,14,98,228,80
14,15,2023,4570,605
15,16,214,419,150
16,17,271,651,149
17,18,200,546,148
18,19,23,59,27
19,20,731,1661,438
20,21,121,309,128
21,22,32,96,54
22,23,428,778,231
23,24,31,61,37
24,25,118,254,113
25,26,30,85,35
26,27,47,125,69
27,28,30,83,38
28,29,113,291,107
29,30,7,18,13
30,31,7,16,13
31,32,10,20,16
32,33,7,23,19
33,34,269,707,217
34,35,15,41,24
35,36,246,578,203
36,37,5,14,14
37,38,156,372,159
38,39,36,87,52
39,40,95,197,88
40,41,67,173,95
41,42,22,62,34
42,43,110,336,147
43,44,1015,2726,449
44,45,342,804,224
45,46,108,252,85
46,47,46,105,57
47,48,25,64,46
48,49,15,40,27
49,50,25,61,31
50,51,2,4,4
51,52,46,83,46
52,53,125,326,133
53,54,60,137,71
54,55,12,34,15
55,56,423,949,213
56,57,55,155,53
57,58,13,41,17
58,59,135,315,115
59,60,15,41,26
60,61,10,29,26
61,62,44,111,52
62,63,299,728,172
63,64,187,403,116
64,65,659,1535,325
65,66,225,615,184
66,67,42,129,57
67,68,13,29,19
68,69,157,302,132
69,70,185,405,116
70,71,6,16,14
71,72,82,198,95
72,73,49,103,53
73,74,26,53,36
74,75,374,929,239
75,76,122,280,108
76,77,4,10,7
77,78,46,120,68
78,79,16,40,28
79,80,21,70,48
80,81,9,22,19
81,82,70,173,76
82,83,30,81,48
83,84,7,18,13
84,85,50,96,55
85,86,23,63,43
86,87,215,483,132
87,88,16,34,21
88,89,30,60,27
89,90,20,55,29
90,91,138,316,106
91,92,201,455,152
92,93,69,171,74
93,94,242,685,216
94,95,81,182,86
95,96,64,163,77
96,97,212,464,181
97,98,109,326,168
98,99,4,13,9
99,100,149,360,115
100,101,81,165,70
101,102,24,59,19
102,103,12,40,28
103,104,53,137,60
104,105,169,386,129
105,106,215,529,140
106,107,3,6,4
107,108,75,182,84
108,109,44,123,72
109,110,47,104,45
110,111,53,148,71
111,112,9,25,19
