,tag,ct,cotag,cotag_u
0,1,385,470,112
1,2,32,69,23
2,3,5,10,5
3,4,496,1104,108
4,5,8155,13884,262
5,6,57,100,26
6,7,318,896,74
7,8,675,1091,167
8,9,202,516,69
9,10,76,137,37
10,11,1159,2834,143
11,12,229,514,85
12,13,439,1161,87
13,14,6,15,7
14,15,246,579,68
15,16,11,22,13
16,17,99,180,64
17,18,84,162,43
18,19,237,423,78
19,20,206,384,66
20,21,88,160,40
21,22,59,120,37
22,23,922,2379,125
23,24,564,1519,99
24,25,84,223,40
25,26,250,577,87
26,27,241,657,65
27,28,13,28,14
28,29,47,104,34
29,30,10,21,12
30,31,30,76,29
31,32,65,142,44
32,33,129,277,53
33,34,94,225,44
34,35,72,187,38
35,36,24,40,14
36,37,1450,2883,167
37,38,69,184,34
38,39,945,1833,113
39,40,3,6,2
40,41,38,89,21
41,42,138,352,65
42,43,73,146,40
43,44,60,99,22
44,45,23,49,16
45,46,7,17,10
46,47,84,187,64
47,48,60,127,31
48,49,16,33,16
49,50,225,490,69
50,51,16,40,16
51,52,4,7,2
52,53,59,138,34
53,54,152,328,61
54,55,21,39,15
55,56,26,45,24
56,57,66,138,37
57,58,73,136,42
58,59,10,22,12
59,60,40,56,26
60,61,16,32,14
61,62,36,105,21
62,63,433,921,92
63,64,30,74,24
64,65,46,107,30
65,66,42,86,23
66,67,19,40,19
67,68,40,95,29
68,69,7,17,10
69,70,22,51,27
70,71,20,39,8
71,72,23,40,18
72,73,16,45,16
73,74,10,33,19
74,75,58,82,45
75,76,39,86,26
76,77,19,39,15
77,78,349,943,110
78,79,4,8,4
79,80,11,20,9
80,81,26,78,18
81,82,40,116,28
82,83,40,115,24
83,84,14,35,16
84,85,7,15,9
85,86,199,337,55
86,87,56,145,28
87,88,23,48,18
88,89,18,42,20
89,90,33,76,31
90,91,16,42,23
91,92,29,67,25
92,93,279,605,78
93,94,33,50,25
94,95,140,361,55
95,96,13,31,15
96,97,15,33,17
97,98,9,19,9
98,99,71,127,20
99,100,15,29,10
100,101,38,95,35
101,102,55,132,32
102,103,12,29,13
103,104,212,553,61
104,105,39,78,26
105,106,9,18,9
106,107,7,15,7
107,108,214,626,70
108,109,21,67,19
109,110,24,61,18
110,111,56,137,25
111,112,7,9,5
112,113,4,7,6
113,114,122,126,32
114,115,160,373,72
115,116,27,72,22
116,117,71,153,43
117,118,18,46,18
118,119,50,103,24
119,120,10,22,7
120,121,9,13,8
121,122,25,68,28
122,123,31,80,21
123,124,71,179,36
124,125,10,14,8
125,126,41,82,34
126,127,10,23,9
127,128,32,72,26
128,129,84,181,32
129,130,26,52,21
130,131,57,138,34
131,132,4,6,5
132,133,15,43,14
133,134,17,33,10
134,135,55,144,22
135,136,2,3,3
136,137,65,154,38
137,138,136,356,47
138,139,112,267,51
139,140,18,45,20
140,141,15,36,15
141,142,24,56,24
142,143,9,18,9
143,144,1,3,3
144,145,8,17,3
145,146,61,143,45
146,147,49,72,20
147,148,48,126,32
148,149,24,69,19
149,150,12,29,11
150,151,1,2,2
151,152,40,69,22
152,153,4,13,7
153,154,89,212,44
154,155,6,10,7
155,156,146,357,54
156,157,42,109,28
157,158,43,76,14
158,159,2,5,5
159,160,5,13,7
160,161,22,55,23
161,162,116,236,45
162,163,32,77,33
163,164,17,43,18
164,165,11,21,11
165,166,7,19,8
166,167,4,10,6
167,168,24,45,21
168,169,11,24,13
169,170,2,2,2
170,171,9,18,6
171,172,41,72,20
172,173,15,34,17
173,174,2,5,4
174,175,46,101,28
175,176,2,5,4
176,177,5,11,6
177,178,4,7,5
178,179,1,2,2
179,180,4,7,4
180,181,13,11,2
181,182,14,45,18
182,183,18,37,17
183,184,4,6,6
184,185,33,58,9
185,186,6,20,15
186,187,4,9,5
187,188,48,118,32
188,189,7,13,7
189,190,14,36,17
190,191,19,52,18
191,192,27,70,29
192,193,21,50,15
193,194,40,69,20
194,195,7,16,10
195,196,8,13,6
196,197,1,2,2
197,198,4,10,7
198,199,25,63,16
199,200,15,37,18
200,201,5,9,5
201,202,3,5,3
202,203,9,21,11
203,204,9,16,8
204,205,8,15,8
205,206,2,7,4
206,207,6,18,11
207,208,5,14,9
208,209,9,19,11
209,210,13,29,12
210,211,24,59,23
211,212,32,91,24
212,213,98,184,34
213,214,48,128,40
214,215,5,10,5
215,216,8,16,8
216,217,23,66,27
217,218,27,56,28
218,219,3,6,4
219,220,1,3,3
220,221,1,0,0
221,222,33,107,20
222,223,6,17,9
223,224,25,60,16
224,225,12,24,14
225,226,14,21,16
226,227,9,29,16
227,228,3,5,4
228,229,5,11,6
229,230,1,2,2
230,231,1,2,2
231,232,29,62,20
232,233,12,24,11
233,234,2,3,3
234,235,2,4,3
235,236,4,8,5
236,237,2,4,4
237,238,1,2,2
238,239,4,9,6
239,240,2,4,3
240,241,3,7,4
241,242,11,20,9
242,243,1,2,2
243,244,1,3,3
244,245,2,2,2
245,246,1,2,2
246,247,14,37,17
247,248,3,4,2
248,249,4,12,6
249,250,1,2,2
250,251,11,29,18
251,252,4,8,4
252,253,9,24,11
253,254,1,3,3
254,255,2,3,2
255,256,1,2,2
256,257,1,2,2
257,258,1,2,2
258,259,1,3,3
259,260,1,3,3
260,261,10,22,12
261,262,2,5,3
262,263,4,9,5
263,264,1,2,2
264,265,5,15,6
265,266,3,9,6
266,267,1,2,2
267,268,1,0,0
268,269,2,4,4
269,270,1,2,2
270,271,1,2,2
271,272,2,3,2
272,273,1,4,4
273,274,1,2,2
274,275,1,2,2
275,276,1,2,2
