,tag,ct,cotag,cotag_u
0,1,43,59,27
1,2,10,11,7
2,3,62,99,38
3,4,43,72,29
4,5,23,43,17
5,6,99,146,53
6,7,114,198,55
7,8,61,83,33
8,9,7,9,6
9,10,45,53,23
10,11,117,151,45
11,12,16,23,9
12,13,36,48,21
13,14,39,32,19
14,15,17,33,20
15,16,25,37,20
16,17,14,22,11
17,18,67,75,26
18,19,66,97,42
19,20,20,31,15
20,21,37,42,24
21,22,4,5,4
22,23,6,8,5
23,24,76,78,32
24,25,2,3,3
25,26,8,16,13
26,27,8,15,8
27,28,24,44,26
28,29,10,10,5
29,30,7,6,3
30,31,5,8,8
31,32,6,6,5
32,33,12,25,12
33,34,22,28,19
34,35,25,36,17
35,36,39,53,27
36,37,15,28,22
37,38,42,56,24
38,39,4,7,4
39,40,3,2,2
40,41,23,52,23
41,42,3,5,5
42,43,13,21,13
43,44,15,20,15
44,45,8,12,10
45,46,9,6,5
46,47,7,5,4
47,48,5,6,6
48,49,10,22,10
49,50,5,12,7
50,51,9,15,14
51,52,3,7,7
52,53,11,21,13
53,54,4,6,4
54,55,6,13,10
55,56,17,25,11
56,57,16,20,13
57,58,4,8,6
58,59,16,32,22
59,60,9,17,14
60,61,13,26,12
61,62,8,17,14
62,63,3,8,6
63,64,3,9,7
64,65,2,7,5
65,66,2,2,2
66,67,53,88,45
67,68,6,8,5
68,69,3,0,0
69,70,11,7,6
70,71,3,7,7
71,72,17,19,13
72,73,6,10,5
73,74,8,15,9
74,75,6,7,7
75,76,2,0,0
76,77,22,21,16
77,78,9,15,11
78,79,15,35,14
79,80,4,1,1
80,81,2,3,2
81,82,9,11,7
82,83,6,8,8
83,84,35,43,23
84,85,2,2,2
85,86,4,9,9
86,87,10,15,11
87,88,7,19,10
88,89,7,7,5
89,90,39,39,25
90,91,4,5,5
91,92,2,4,4
92,93,8,15,10
93,94,3,1,1
94,95,1,1,1
95,96,6,12,8
96,97,9,18,14
97,98,2,4,3
98,99,3,10,9
99,100,7,6,6
100,101,3,7,5
101,102,6,5,5
102,103,2,6,6
103,104,1,1,1
104,105,1,1,1
105,106,1,1,1
106,107,1,0,0
