,tag,ct,cotag,cotag_u
0,1,250,498,131
1,2,45,93,47
2,3,35,91,47
3,4,38,79,41
4,5,152,345,105
5,6,26,71,33
6,7,89,216,80
7,8,69,152,46
8,9,977,1934,233
9,10,190,361,96
10,11,289,699,134
11,12,46,95,42
12,13,118,243,81
13,14,46,111,43
14,15,4,10,7
15,16,2,8,5
16,17,226,549,122
17,18,114,272,74
18,19,41,88,41
19,20,18,32,21
20,21,168,427,111
21,22,113,245,55
22,23,13,37,18
23,24,44,92,40
24,25,31,71,32
25,26,131,304,67
26,27,199,467,96
27,28,346,819,156
28,29,15,36,27
29,30,253,546,124
30,31,33,77,47
31,32,16,35,19
32,33,285,657,158
33,34,72,150,56
34,35,16,40,19
35,36,37,87,47
36,37,8,21,16
37,38,589,1259,192
38,39,18,43,28
39,40,320,691,157
40,41,302,653,141
41,42,62,120,44
42,43,293,544,121
43,44,112,219,74
44,45,16,33,20
45,46,49,106,52
46,47,50,113,64
47,48,11,23,16
48,49,8,10,7
49,50,152,315,101
50,51,14,26,18
51,52,7,19,10
52,53,112,242,70
53,54,56,117,65
54,55,8,20,14
55,56,2,7,5
56,57,573,1111,169
57,58,35,85,30
58,59,7,18,10
59,60,5,11,8
60,61,18,52,32
61,62,30,62,35
62,63,217,545,124
63,64,85,170,54
64,65,26,63,44
65,66,14,30,19
66,67,4,6,6
67,68,69,142,53
68,69,66,135,58
69,70,80,169,64
70,71,47,106,45
71,72,53,112,58
72,73,12,26,19
73,74,13,25,21
74,75,52,125,58
75,76,7,19,15
76,77,27,50,32
77,78,75,164,82
78,79,65,179,72
79,80,30,65,31
80,81,12,29,19
81,82,35,81,42
82,83,69,126,40
83,84,25,60,34
84,85,32,80,46
85,86,8,13,12
86,87,6,15,9
87,88,215,460,71
88,89,8,21,15
89,90,42,81,42
90,91,268,510,120
91,92,20,57,28
92,93,17,40,28
93,94,108,177,70
94,95,99,171,60
95,96,89,210,64
96,97,15,28,19
97,98,17,31,22
98,99,23,58,27
99,100,27,66,29
100,101,3,9,7
101,102,15,13,11
102,103,8,20,14
103,104,132,262,72
104,105,38,84,47
105,106,43,83,43
106,107,9,20,13
107,108,34,72,28
108,109,27,55,36
109,110,19,43,28
110,111,11,24,16
111,112,5,12,8
112,113,8,23,11
113,114,48,118,55
114,115,364,875,166
115,116,8,19,13
116,117,30,59,34
117,118,6,11,10
118,119,119,255,77
119,120,32,64,31
120,121,7,16,8
121,122,44,79,47
122,123,13,37,23
123,124,22,46,27
124,125,19,41,16
125,126,28,45,29
126,127,9,21,13
127,128,33,67,31
128,129,5,16,11
129,130,24,54,31
130,131,36,81,38
131,132,12,28,20
132,133,34,77,47
133,134,48,117,57
134,135,11,25,18
135,136,34,68,41
136,137,48,108,34
137,138,58,105,51
138,139,127,251,65
139,140,19,36,25
140,141,16,31,22
141,142,18,35,19
142,143,3,3,3
143,144,15,35,25
