,tag,ct,cotag,cotag_u
0,1,47,83,36
1,2,125,247,66
2,3,392,729,138
3,4,146,330,83
4,5,4,6,6
5,6,32,57,32
6,7,45,101,44
7,8,34,58,30
8,9,6,10,5
9,10,208,413,110
10,11,105,211,79
11,12,26,66,21
12,13,3,5,4
13,14,7,13,9
14,15,10,16,8
15,16,25,38,24
16,17,12,25,11
17,18,10,20,11
18,19,22,31,16
19,20,16,20,12
20,21,8,17,12
21,22,25,54,31
22,23,14,24,16
23,24,15,39,29
24,25,200,431,116
25,26,27,55,18
26,27,81,150,71
27,28,28,56,31
28,29,3,2,2
29,30,103,169,69
30,31,16,28,16
31,32,18,24,18
32,33,4,6,6
33,34,9,17,12
34,35,29,64,29
35,36,15,42,26
36,37,119,289,75
37,38,18,38,24
38,39,69,109,46
39,40,33,74,32
40,41,10,21,19
41,42,15,37,22
42,43,12,26,17
43,44,5,14,10
44,45,16,29,19
45,46,13,17,14
46,47,3,5,5
47,48,134,267,72
48,49,4,9,7
49,50,8,22,15
50,51,9,16,7
51,52,5,9,7
52,53,51,141,46
53,54,24,56,29
54,55,12,33,19
55,56,25,56,29
56,57,3,6,4
57,58,6,10,10
58,59,20,38,24
59,60,11,19,16
60,61,3,6,6
61,62,13,32,24
62,63,5,11,9
63,64,146,351,81
64,65,98,214,59
65,66,33,65,30
66,67,24,60,26
67,68,12,28,18
68,69,4,8,7
69,70,5,12,11
70,71,12,29,19
71,72,30,55,33
72,73,17,33,22
73,74,40,101,53
74,75,2,2,2
75,76,5,14,11
76,77,11,23,17
77,78,2,7,7
78,79,28,58,37
79,80,2,2,2
80,81,14,37,20
81,82,5,9,9
82,83,32,67,42
83,84,20,38,21
84,85,56,103,50
85,86,22,42,26
86,87,4,9,6
87,88,11,16,7
88,89,6,14,10
89,90,19,44,23
90,91,18,31,22
91,92,4,9,9
92,93,20,36,22
93,94,21,55,33
94,95,11,21,11
95,96,38,98,32
96,97,4,6,6
97,98,19,42,16
98,99,22,58,30
99,100,8,16,11
100,101,9,15,13
101,102,9,9,9
102,103,26,53,18
103,104,26,46,20
104,105,22,49,26
105,106,26,51,30
106,107,12,32,19
107,108,7,17,16
108,109,4,6,6
109,110,27,85,35
110,111,6,6,4
111,112,9,17,13
112,113,3,6,6
113,114,85,169,57
114,115,8,14,11
115,116,3,7,7
116,117,9,11,9
117,118,14,16,10
118,119,10,26,20
119,120,13,28,16
120,121,8,16,13
121,122,9,15,10
122,123,15,31,16
123,124,32,60,30
124,125,22,35,20
125,126,18,45,26
126,127,3,7,7
127,128,5,8,7
128,129,16,32,14
129,130,4,9,7
130,131,8,19,17
131,132,8,18,8
132,133,18,40,21
133,134,7,15,10
134,135,4,7,5
135,136,79,164,53
136,137,11,30,15
137,138,9,13,8
138,139,61,127,48
139,140,2,3,3
140,141,35,71,33
141,142,5,8,8
142,143,19,44,21
143,144,71,166,45
144,145,30,85,41
145,146,13,33,22
146,147,14,33,20
147,148,4,8,8
148,149,8,15,10
149,150,3,2,2
150,151,3,7,5
151,152,7,16,11
152,153,84,176,64
153,154,4,0,0
154,155,94,216,74
155,156,6,18,11
156,157,3,5,4
157,158,9,22,12
158,159,16,36,15
159,160,53,114,37
160,161,2,3,3
161,162,3,5,4
162,163,11,29,19
163,164,3,3,3
164,165,7,15,13
165,166,4,13,13
166,167,21,32,18
167,168,10,25,19
168,169,4,6,6
169,170,10,23,12
170,171,97,229,66
171,172,21,56,31
172,173,5,13,9
173,174,40,111,36
174,175,12,32,16
175,176,3,6,6
176,177,7,17,10
177,178,10,27,20
178,179,3,4,4
179,180,2,7,7
180,181,20,58,25
181,182,5,15,12
182,183,18,34,21
183,184,5,12,10
184,185,2,2,2
185,186,28,62,41
186,187,3,4,4
187,188,5,14,9
188,189,3,1,1
189,190,11,24,15
190,191,6,8,7
191,192,5,11,5
192,193,14,38,17
193,194,3,5,5
194,195,1,1,1
195,196,10,23,14
196,197,11,21,15
197,198,3,9,9
198,199,16,39,20
199,200,12,32,22
200,201,9,23,14
201,202,2,3,3
202,203,3,3,3
203,204,11,25,14
204,205,3,5,4
205,206,2,4,4
206,207,3,5,4
207,208,2,5,4
208,209,3,8,8
209,210,5,11,8
210,211,2,3,2
211,212,5,7,5
212,213,2,4,4
213,214,3,9,8
214,215,10,17,13
215,216,1,2,2
216,217,2,4,4
217,218,1,2,2
218,219,1,2,2
219,220,1,2,2
220,221,2,6,5
221,222,1,3,3
222,223,1,0,0
223,224,1,1,1
224,225,2,3,3
225,226,2,3,2
226,227,1,3,3
227,228,2,3,3
228,229,1,2,2
229,230,1,1,1
230,231,1,0,0
