,tag,ct,cotag,cotag_u
0,1,8,8,8
1,2,1,1,1
2,3,21,34,25
3,4,20,31,21
4,5,10,19,12
5,6,7,6,5
6,7,5,7,7
7,8,3,3,3
8,9,3,1,1
9,10,9,18,12
10,11,20,27,16
11,12,6,5,3
12,13,2,4,4
13,14,2,1,1
14,15,1,1,1
15,16,2,3,3
16,17,11,18,13
17,18,13,20,15
18,19,2,2,2
19,20,12,17,12
20,21,5,7,6
21,22,1,2,2
22,23,6,8,6
23,24,33,56,26
24,25,12,27,20
25,26,3,8,5
26,27,18,30,20
27,28,2,2,1
28,29,11,17,16
29,30,12,24,20
30,31,2,5,4
31,32,7,12,8
32,33,7,17,14
33,34,4,2,2
34,35,4,7,5
35,36,7,8,7
36,37,2,3,3
37,38,2,2,2
38,39,7,5,4
39,40,4,3,3
40,41,3,3,3
41,42,6,10,8
42,43,2,0,0
43,44,2,2,2
44,45,2,2,2
45,46,1,0,0
46,47,3,2,2
47,48,3,5,4
48,49,13,21,12
49,50,2,4,3
50,51,2,2,2
51,52,3,4,3
52,53,3,4,3
53,54,2,3,3
54,55,9,20,11
55,56,2,0,0
56,57,2,2,1
57,58,3,4,3
58,59,5,7,4
59,60,4,7,6
60,61,4,7,5
61,62,2,2,2
62,63,2,1,1
63,64,8,20,14
64,65,6,13,6
65,66,2,3,3
66,67,1,1,1
67,68,1,2,2
68,69,1,3,3
69,70,2,5,5
70,71,2,4,4
71,72,1,0,0
72,73,1,3,3
73,74,1,2,2
74,75,5,11,5
75,76,1,1,1
76,77,1,1,1
77,78,1,3,3
78,79,2,7,5
79,80,1,2,2
80,81,1,2,2
81,82,1,1,1
82,83,2,4,4
83,84,2,5,5
84,85,1,1,1
85,86,2,6,6
86,87,1,1,1
87,88,2,5,4
88,89,1,4,4
89,90,1,4,4
90,91,1,2,2
91,92,1,2,2
92,93,1,1,1
