,tag,ct,cotag,cotag_u
0,1,83,112,42
1,2,25,38,18
2,3,11,16,8
3,4,71,77,24
4,5,3,2,2
5,6,32,41,27
6,7,5,12,11
7,8,28,25,14
8,9,52,79,45
9,10,6,13,9
10,11,12,15,10
11,12,3,2,1
12,13,25,40,23
13,14,11,9,4
14,15,7,9,9
15,16,10,10,7
16,17,11,14,8
17,18,32,49,28
18,19,88,128,53
19,20,51,73,38
20,21,7,16,11
21,22,30,47,28
22,23,2,2,2
23,24,25,32,19
24,25,24,40,17
25,26,38,57,25
26,27,65,86,37
27,28,13,18,10
28,29,29,34,16
29,30,21,22,13
30,31,3,3,3
31,32,97,122,35
32,33,6,5,5
33,34,1,1,1
34,35,28,18,11
35,36,9,10,7
36,37,2,4,4
37,38,3,4,4
38,39,18,28,13
39,40,15,19,16
40,41,8,9,8
41,42,1,2,2
42,43,10,5,3
43,44,36,51,25
44,45,6,8,7
45,46,3,4,2
46,47,11,10,8
47,48,5,4,4
48,49,4,4,3
49,50,27,21,11
50,51,23,41,14
51,52,6,9,9
52,53,6,4,4
53,54,37,50,22
54,55,5,7,3
55,56,17,29,19
56,57,70,100,48
57,58,8,16,14
58,59,15,16,10
59,60,10,15,8
60,61,13,29,10
61,62,10,15,11
62,63,17,24,11
63,64,6,5,5
64,65,12,15,13
65,66,30,31,19
66,67,18,23,15
67,68,9,15,9
68,69,3,4,2
69,70,21,20,14
70,71,11,12,3
71,72,4,5,5
72,73,6,8,6
73,74,7,14,9
74,75,3,6,4
75,76,5,8,6
76,77,23,25,18
77,78,3,1,1
78,79,13,19,11
79,80,4,6,4
80,81,6,12,7
81,82,4,4,3
82,83,6,9,8
83,84,1,1,1
84,85,5,9,6
85,86,23,41,24
86,87,8,14,9
87,88,2,3,2
88,89,2,3,3
89,90,1,1,1
90,91,4,6,5
91,92,1,4,4
92,93,11,11,9
93,94,16,17,10
94,95,7,8,7
95,96,2,3,3
96,97,6,2,2
97,98,5,7,6
98,99,6,10,9
99,100,6,4,3
100,101,2,2,2
101,102,2,3,3
102,103,3,3,3
103,104,5,3,2
104,105,2,3,2
105,106,9,19,10
106,107,13,19,11
107,108,9,15,12
108,109,13,12,11
109,110,2,4,4
110,111,19,30,17
111,112,3,5,4
112,113,1,2,2
113,114,1,2,2
114,115,11,19,12
115,116,2,4,4
116,117,4,7,7
117,118,3,2,2
118,119,1,2,2
119,120,6,5,5
120,121,1,1,1
121,122,2,2,2
122,123,2,2,2
123,124,4,6,6
124,125,9,14,12
125,126,2,4,3
126,127,3,4,4
127,128,9,16,13
128,129,2,4,3
129,130,3,3,3
130,131,1,1,1
131,132,6,7,6
132,133,6,8,5
133,134,2,3,2
134,135,3,6,5
135,136,4,4,4
136,137,7,7,5
137,138,1,0,0
138,139,2,2,2
139,140,2,2,1
140,141,3,4,2
141,142,4,5,5
142,143,4,11,5
143,144,2,5,5
144,145,15,15,11
145,146,4,5,4
146,147,2,1,1
147,148,1,1,1
148,149,3,4,4
149,150,1,2,2
150,151,1,1,1
151,152,1,1,1
152,153,1,2,2
153,154,1,1,1
