,tag,ct,cotag,cotag_u
0,1,154,244,73
1,2,57,78,33
2,3,9,23,17
3,4,6120,12452,444
4,5,487,1060,133
5,6,474,737,83
6,7,96,179,33
7,8,95,151,55
8,9,1260,2730,245
9,10,472,769,121
10,11,1734,3425,147
11,12,45,119,72
12,13,1224,2357,176
13,14,964,1945,137
14,15,743,1534,99
15,16,1055,2344,234
16,17,55,162,44
17,18,37,83,25
18,19,498,1103,84
19,20,227,478,61
20,21,29,93,40
21,22,879,1704,275
22,23,805,1177,115
23,24,222,348,31
24,25,308,477,103
25,26,274,524,91
26,27,578,1134,183
27,28,163,392,108
28,29,12,23,16
29,30,75,122,65
30,31,2964,5902,302
31,32,382,980,106
32,33,122,269,75
33,34,26,43,17
34,35,258,411,103
35,36,208,228,76
36,37,38,77,32
37,38,290,614,127
38,39,47,116,55
39,40,470,1088,163
40,41,92,218,80
41,42,54,123,24
42,43,25,49,17
43,44,291,598,45
44,45,46,96,37
45,46,840,1474,174
46,47,1041,2434,247
47,48,426,869,170
48,49,182,422,86
49,50,9,22,11
50,51,36,89,43
51,52,13,33,14
52,53,94,202,83
53,54,174,204,66
54,55,1246,2218,160
55,56,294,634,138
56,57,960,1909,93
57,58,905,1688,127
58,59,224,538,90
59,60,166,342,72
60,61,220,426,122
61,62,22,51,26
62,63,53,92,43
63,64,1359,2820,209
64,65,73,109,44
65,66,583,1090,183
66,67,759,1880,327
67,68,61,150,36
68,69,23,38,18
69,70,129,211,66
70,71,73,166,78
71,72,171,309,92
72,73,338,757,101
73,74,1307,3098,241
74,75,662,1629,155
75,76,427,850,126
76,77,909,1853,84
77,78,275,641,50
78,79,206,495,151
79,80,338,732,105
80,81,81,199,46
81,82,142,248,69
82,83,40,50,27
83,84,135,314,85
84,85,362,637,120
85,86,50,90,36
86,87,221,430,78
87,88,3,7,6
88,89,144,315,63
89,90,665,760,130
90,91,26,61,26
91,92,449,1059,179
92,93,128,283,28
93,94,101,233,77
94,95,162,281,82
95,96,78,130,44
96,97,48,103,24
97,98,211,521,125
98,99,152,261,63
99,100,107,236,64
100,101,111,177,69
101,102,33,80,51
102,103,397,985,152
103,104,224,575,79
104,105,45,103,35
105,106,210,410,102
106,107,36,63,21
107,108,158,293,89
108,109,1762,3958,239
109,110,288,618,122
110,111,125,263,92
111,112,10,28,10
112,113,237,611,90
113,114,38,64,26
114,115,239,471,147
115,116,22,53,30
116,117,33,88,45
117,118,145,338,78
118,119,834,2035,146
119,120,334,731,128
120,121,216,421,61
121,122,13,31,15
122,123,24,47,19
123,124,11,22,12
124,125,45,81,40
125,126,63,113,53
126,127,9,18,13
127,128,6,16,14
128,129,14,36,23
129,130,19,45,29
130,131,20,44,25
131,132,3,7,5
132,133,356,576,109
133,134,45,116,37
134,135,175,263,43
135,136,16,38,20
136,137,81,168,31
137,138,40,93,29
138,139,4,10,10
139,140,400,763,144
140,141,28,59,25
141,142,92,179,77
142,143,267,578,122
143,144,38,74,24
144,145,51,137,48
145,146,170,332,86
146,147,16,40,31
147,148,41,98,47
148,149,9,15,12
149,150,16,33,17
150,151,71,172,46
151,152,27,72,15
152,153,282,524,23
153,154,100,221,74
154,155,47,95,44
155,156,300,730,123
156,157,52,108,51
157,158,411,787,72
158,159,206,391,84
159,160,119,209,59
160,161,26,51,21
161,162,15,38,26
162,163,396,604,74
163,164,740,1708,119
164,165,2,3,2
165,166,39,77,40
166,167,110,257,82
167,168,28,68,27
168,169,94,220,56
169,170,19,49,21
170,171,25,46,23
171,172,92,217,39
172,173,56,128,58
173,174,40,108,49
174,175,55,110,39
175,176,20,57,28
176,177,366,907,70
177,178,88,158,71
178,179,52,118,30
179,180,5,9,5
180,181,31,63,27
181,182,13,26,17
182,183,296,733,106
183,184,8,18,11
184,185,29,57,38
185,186,16,25,17
186,187,7,12,10
187,188,26,63,35
188,189,52,100,28
189,190,84,209,67
190,191,48,108,36
191,192,11,27,18
192,193,263,568,103
193,194,25,39,15
194,195,54,121,56
195,196,6,8,3
196,197,132,299,60
197,198,21,52,15
198,199,23,44,32
199,200,4,6,6
200,201,84,158,18
201,202,146,332,96
202,203,234,566,124
203,204,54,134,58
204,205,79,216,66
205,206,98,205,25
206,207,68,145,19
207,208,15,29,18
208,209,53,85,30
209,210,188,323,99
210,211,146,360,90
211,212,136,307,59
212,213,5,9,9
213,214,134,297,91
214,215,24,39,11
215,216,160,355,60
216,217,4,10,5
217,218,40,72,45
218,219,35,79,26
219,220,64,158,55
220,221,152,274,90
221,222,79,155,75
222,223,4,10,9
223,224,58,120,60
224,225,20,46,30
225,226,279,619,76
226,227,20,58,35
227,228,331,828,81
228,229,22,48,37
229,230,195,410,69
230,231,45,98,49
231,232,59,73,14
232,233,15,31,18
233,234,17,43,23
234,235,60,87,33
235,236,59,104,42
236,237,14,31,18
237,238,62,152,47
238,239,13,33,24
239,240,31,74,39
240,241,155,430,75
241,242,44,92,17
242,243,65,129,38
243,244,7,14,12
244,245,27,50,23
245,246,70,166,30
246,247,13,22,10
247,248,40,100,31
248,249,118,244,44
249,250,19,39,23
250,251,4,12,3
251,252,59,137,41
252,253,48,84,50
253,254,51,118,26
254,255,13,33,21
255,256,61,86,25
256,257,105,231,56
257,258,17,32,22
258,259,74,193,60
259,260,23,51,29
260,261,126,306,91
261,262,30,70,11
262,263,218,544,101
263,264,130,283,57
264,265,9,18,12
265,266,17,33,24
266,267,16,30,14
267,268,31,71,13
268,269,48,106,38
269,270,6,17,11
270,271,41,90,21
271,272,62,131,49
272,273,51,103,39
273,274,12,31,19
274,275,56,119,49
275,276,27,59,39
