,tag,ct,cotag,cotag_u
0,1,35,80,46
1,2,19,32,18
2,3,4,8,4
3,4,3,4,4
4,5,23,45,28
5,6,16,31,26
6,7,15,28,19
7,8,72,131,68
8,9,7,17,13
9,10,3,5,3
10,11,4,3,2
11,12,58,95,44
12,13,7,13,7
13,14,1,3,3
14,15,5,9,8
15,16,29,50,27
16,17,80,124,64
17,18,2,2,1
18,19,5,3,3
19,20,14,34,26
20,21,2,5,5
21,22,21,35,22
22,23,5,15,11
23,24,1,3,3
24,25,6,11,11
25,26,3,7,7
26,27,16,25,16
27,28,51,66,41
28,29,4,10,10
29,30,3,6,6
30,31,2,5,4
31,32,3,4,4
32,33,3,7,7
33,34,6,6,6
34,35,6,16,12
35,36,3,6,5
36,37,2,5,4
37,38,12,16,9
38,39,1,3,3
39,40,9,12,11
40,41,9,11,9
41,42,2,4,4
42,43,8,18,16
43,44,11,15,11
44,45,33,55,31
45,46,7,17,16
46,47,9,25,17
47,48,5,3,1
48,49,8,9,7
49,50,12,19,14
50,51,16,22,18
51,52,1,3,3
52,53,20,34,26
53,54,6,9,8
54,55,1,3,3
55,56,7,8,8
56,57,3,8,6
57,58,1,3,3
58,59,1,0,0
59,60,8,16,13
60,61,2,4,4
61,62,3,8,6
62,63,1,0,0
63,64,2,0,0
64,65,3,5,5
65,66,4,11,9
66,67,57,114,61
67,68,4,14,11
68,69,3,3,3
69,70,2,2,2
70,71,4,4,4
71,72,10,19,15
72,73,10,20,6
73,74,5,13,10
74,75,4,8,8
75,76,37,64,39
76,77,2,5,4
77,78,4,6,6
78,79,2,6,6
79,80,1,2,2
80,81,2,2,2
81,82,14,16,12
82,83,4,6,5
83,84,7,11,9
84,85,8,17,12
85,86,5,9,8
86,87,7,13,10
87,88,1,3,3
88,89,1,3,3
89,90,1,1,1
90,91,1,1,1
91,92,2,2,2
92,93,3,3,3
93,94,1,3,3
94,95,4,6,6
95,96,43,77,49
96,97,7,14,12
97,98,11,18,14
98,99,1,2,2
99,100,1,2,2
100,101,7,11,10
101,102,2,7,6
102,103,1,4,4
103,104,1,4,4
104,105,3,5,5
105,106,1,2,2
106,107,1,2,2
107,108,2,1,1
108,109,1,2,2
109,110,3,4,4
110,111,1,3,3
111,112,2,3,3
112,113,6,7,5
113,114,2,2,1
114,115,5,7,7
115,116,5,4,4
116,117,4,0,0
117,118,3,5,5
118,119,5,6,6
119,120,1,3,3
120,121,3,3,3
121,122,4,3,3
122,123,2,1,1
123,124,1,2,2
124,125,1,2,2
125,126,3,5,4
126,127,1,2,2
127,128,1,2,2
128,129,8,13,11
129,130,1,1,1
130,131,2,1,1
131,132,3,4,4
132,133,1,2,2
133,134,8,10,8
134,135,7,12,10
135,136,4,5,5
136,137,5,5,5
137,138,3,7,7
138,139,2,4,4
139,140,6,6,5
140,141,2,1,1
141,142,1,1,1
142,143,2,4,4
143,144,2,4,3
144,145,9,18,11
145,146,1,3,3
146,147,1,2,2
147,148,6,9,8
148,149,2,5,4
149,150,1,2,2
150,151,10,21,17
151,152,1,2,2
152,153,2,3,3
153,154,1,4,4
154,155,1,4,4
155,156,3,1,1
156,157,9,16,14
157,158,6,12,7
158,159,1,1,1
159,160,1,3,3
160,161,2,4,4
161,162,2,3,2
162,163,1,1,1
163,164,2,2,2
164,165,1,0,0
165,166,2,4,4
166,167,3,4,4
167,168,1,1,1
168,169,3,8,7
169,170,1,2,2
170,171,1,1,1
171,172,2,1,1
172,173,1,1,1
173,174,1,1,1
174,175,1,3,3
175,176,2,3,3
176,177,1,1,1
177,178,2,5,5
178,179,1,2,2
179,180,1,1,1
180,181,1,1,1
181,182,1,4,4
182,183,2,1,1
183,184,6,11,7
184,185,2,1,1
185,186,4,5,4
186,187,1,1,1
187,188,2,4,4
188,189,1,0,0
189,190,1,2,2
190,191,4,5,4
191,192,1,1,1
192,193,2,6,6
193,194,4,4,4
194,195,1,2,2
195,196,3,5,5
196,197,1,2,2
197,198,1,2,2
198,199,1,2,2
199,200,1,2,2
200,201,2,1,1
201,202,1,1,1
202,203,1,1,1
203,204,2,3,3
