,tag,ct,cotag,cotag_u
0,1,1533,3436,301
1,2,7,15,11
2,3,92,181,62
3,4,32,69,22
4,5,502,1236,181
5,6,60,139,47
6,7,2428,5570,342
7,8,45,107,43
8,9,13,27,15
9,10,29,74,47
10,11,74,189,62
11,12,74,196,58
12,13,6,14,10
13,14,290,664,115
14,15,427,984,171
15,16,312,660,137
16,17,318,614,113
17,18,53,109,27
18,19,40,63,7
19,20,305,707,122
20,21,43,123,40
21,22,50,94,40
22,23,218,397,106
23,24,69,138,52
24,25,1206,2740,241
25,26,291,539,117
26,27,6,19,10
27,28,1254,3205,353
28,29,302,579,114
29,30,16,28,13
30,31,68,184,79
31,32,129,325,105
32,33,77,201,59
33,34,116,269,73
34,35,18,39,24
35,36,11,28,20
36,37,44,86,33
37,38,53,149,48
38,39,105,237,71
39,40,805,1893,184
40,41,153,367,116
41,42,53,141,65
42,43,57,154,46
43,44,69,163,56
44,45,44,117,42
45,46,45,92,30
46,47,3,6,6
47,48,141,319,93
48,49,18,50,21
49,50,63,143,69
50,51,37,102,47
51,52,14,34,25
52,53,17,40,14
53,54,211,571,146
54,55,236,549,117
55,56,89,204,79
56,57,15,23,15
57,58,563,1297,196
58,59,66,171,60
59,60,252,498,113
60,61,139,314,79
61,62,54,105,49
62,63,13,30,15
63,64,245,414,82
64,65,40,93,42
65,66,62,151,48
66,67,299,782,135
67,68,84,151,51
68,69,8,19,11
69,70,148,360,103
70,71,91,212,64
71,72,336,753,125
72,73,20,47,27
73,74,48,113,37
74,75,170,368,97
75,76,18,44,23
76,77,12,38,17
77,78,494,1195,178
78,79,101,178,60
79,80,112,280,87
80,81,81,207,67
81,82,37,94,27
82,83,369,998,155
83,84,93,241,72
84,85,31,75,33
85,86,7,10,9
86,87,38,97,40
87,88,6,12,8
88,89,19,38,15
89,90,23,54,23
90,91,4,7,7
91,92,181,383,76
92,93,26,70,25
93,94,95,171,55
94,95,25,67,37
95,96,29,57,30
96,97,8,25,17
97,98,36,92,44
98,99,4,12,7
99,100,22,33,21
100,101,9,23,11
101,102,145,270,81
102,103,87,148,64
103,104,18,50,21
104,105,55,132,44
105,106,28,87,34
106,107,81,180,68
107,108,80,182,64
108,109,252,613,148
109,110,150,389,82
110,111,11,37,13
111,112,11,24,18
112,113,5,12,8
113,114,56,141,51
114,115,30,80,47
115,116,19,52,19
116,117,162,437,120
117,118,65,177,68
118,119,49,82,28
119,120,35,98,31
120,121,83,192,81
121,122,46,100,50
122,123,11,31,14
123,124,24,65,26
124,125,22,53,18
125,126,11,35,16
126,127,30,82,34
127,128,39,95,33
128,129,18,48,22
129,130,80,193,60
130,131,174,341,105
131,132,2,7,6
132,133,30,81,22
133,134,220,498,83
134,135,9,25,10
135,136,45,99,34
136,137,27,56,24
137,138,70,185,51
138,139,11,28,17
139,140,36,93,43
140,141,2,4,4
141,142,12,30,16
142,143,73,197,51
143,144,17,47,24
144,145,5,11,8
145,146,28,58,31
146,147,18,48,25
147,148,49,145,59
148,149,17,46,19
149,150,41,81,28
150,151,28,65,29
151,152,12,37,24
152,153,29,86,29
153,154,14,40,22
154,155,35,81,32
155,156,63,157,46
156,157,51,136,37
157,158,12,30,18
158,159,17,34,22
159,160,48,121,47
160,161,31,92,39
161,162,185,474,104
162,163,28,58,27
163,164,110,244,55
164,165,31,68,27
165,166,20,52,27
166,167,60,172,60
167,168,20,63,29
168,169,53,125,41
169,170,29,60,27
170,171,22,52,28
171,172,141,377,78
172,173,68,125,56
173,174,40,92,38
174,175,9,26,19
175,176,5,12,10
176,177,38,87,38
177,178,31,78,26
178,179,30,80,45
179,180,7,21,12
180,181,40,102,48
181,182,40,116,35
182,183,6,12,11
183,184,65,180,56
184,185,40,109,31
185,186,44,128,37
186,187,6,16,10
187,188,8,18,11
188,189,6,18,16
189,190,57,153,41
190,191,4,15,8
191,192,11,40,17
192,193,171,415,101
193,194,59,142,43
194,195,16,42,19
195,196,9,21,9
196,197,17,45,17
197,198,16,40,11
198,199,33,73,30
199,200,18,45,25
200,201,6,14,8
201,202,83,212,54
202,203,11,28,14
203,204,78,185,55
204,205,5,12,8
205,206,15,23,13
206,207,3,5,3
207,208,21,41,13
208,209,38,84,50
209,210,15,48,29
210,211,27,72,42
211,212,48,101,37
212,213,20,42,25
213,214,28,66,27
214,215,19,46,30
215,216,49,142,37
216,217,3,4,4
217,218,35,81,34
218,219,39,103,38
219,220,332,812,150
220,221,34,67,26
221,222,21,43,22
222,223,10,29,17
223,224,44,113,40
224,225,47,130,44
225,226,59,125,30
226,227,160,388,98
227,228,29,73,34
228,229,4,9,5
229,230,6,15,9
230,231,26,68,18
231,232,20,47,27
232,233,2,4,3
233,234,5,0,0
234,235,15,36,13
235,236,32,78,30
236,237,35,97,28
237,238,20,43,21
238,239,11,32,22
239,240,49,115,37
240,241,10,27,16
241,242,13,36,23
242,243,12,35,22
243,244,24,59,28
244,245,38,104,52
245,246,2,6,4
246,247,9,11,6
247,248,3,5,3
248,249,23,44,23
249,250,32,89,43
250,251,14,27,19
251,252,5,13,9
252,253,8,21,14
253,254,2,5,4
254,255,36,76,28
255,256,13,33,17
256,257,3,6,4
257,258,53,125,38
258,259,36,90,31
259,260,8,18,13
260,261,8,25,11
261,262,10,20,17
262,263,47,104,49
263,264,14,38,22
264,265,34,88,27
265,266,30,58,31
266,267,8,20,8
267,268,3,7,4
268,269,82,210,51
269,270,10,26,15
270,271,95,257,58
271,272,4,12,12
272,273,12,25,16
273,274,75,178,44
274,275,72,209,84
275,276,6,16,14
276,277,2,6,4
277,278,5,16,12
278,279,34,85,38
279,280,50,134,38
280,281,27,69,46
281,282,28,69,30
282,283,10,22,10
283,284,38,106,38
284,285,17,52,34
285,286,42,103,44
286,287,18,49,20
287,288,4,12,8
288,289,20,38,19
289,290,4,7,6
290,291,27,54,16
291,292,18,55,34
292,293,6,14,6
293,294,26,46,17
294,295,52,115,26
295,296,9,23,13
296,297,15,26,12
297,298,5,16,10
298,299,19,41,21
299,300,37,96,34
300,301,8,25,14
301,302,11,25,13
302,303,22,56,21
303,304,6,11,8
304,305,17,41,16
305,306,7,13,8
306,307,11,16,10
307,308,25,56,22
308,309,10,24,18
309,310,8,11,8
310,311,29,53,29
311,312,11,28,21
312,313,21,45,20
313,314,68,172,54
314,315,8,14,11
315,316,8,20,11
316,317,3,12,9
317,318,19,28,7
318,319,6,15,12
319,320,30,72,39
320,321,30,73,25
321,322,14,29,14
322,323,8,20,9
323,324,26,66,35
324,325,9,19,14
325,326,5,15,12
326,327,11,25,18
327,328,4,10,9
328,329,10,34,16
329,330,58,147,54
330,331,62,165,51
331,332,12,30,20
332,333,11,25,18
333,334,14,38,25
334,335,13,32,24
335,336,45,104,49
336,337,32,89,41
337,338,4,11,8
338,339,4,11,10
339,340,27,51,25
340,341,7,21,14
341,342,11,19,6
342,343,46,127,46
343,344,9,28,16
344,345,33,64,22
345,346,37,116,41
346,347,5,10,8
347,348,8,18,11
348,349,8,13,4
349,350,10,26,23
350,351,9,14,10
351,352,18,41,13
352,353,37,88,35
353,354,23,56,31
354,355,16,33,18
355,356,58,118,29
356,357,9,21,13
357,358,17,42,20
358,359,5,11,8
359,360,13,28,15
360,361,2,5,5
361,362,9,17,15
362,363,2,5,4
363,364,16,37,17
364,365,13,34,21
365,366,49,111,54
366,367,5,12,9
367,368,6,12,9
368,369,25,62,33
369,370,9,27,20
370,371,6,18,16
371,372,8,17,8
372,373,10,28,20
373,374,6,11,9
374,375,16,45,22
375,376,5,9,6
376,377,19,33,25
377,378,4,7,5
378,379,16,51,22
379,380,12,29,25
380,381,2,5,4
381,382,10,21,13
382,383,3,6,6
383,384,16,54,19
384,385,19,52,22
385,386,14,40,18
386,387,3,9,8
387,388,16,45,19
388,389,11,29,11
389,390,20,53,27
390,391,5,11,9
391,392,6,14,13
392,393,8,23,12
393,394,2,6,5
394,395,36,73,50
395,396,103,249,90
396,397,10,26,16
397,398,3,3,1
398,399,12,25,17
399,400,16,43,28
400,401,6,14,9
401,402,9,23,10
402,403,8,16,9
403,404,6,12,6
404,405,78,166,50
405,406,18,45,20
406,407,8,15,10
407,408,6,14,12
408,409,2,5,4
409,410,18,49,30
410,411,4,6,6
411,412,3,8,8
412,413,3,8,7
413,414,16,39,19
414,415,8,15,12
415,416,14,36,9
416,417,7,25,17
417,418,3,4,4
418,419,8,16,10
419,420,3,10,6
420,421,5,12,9
421,422,19,50,29
422,423,10,30,16
423,424,2,6,6
424,425,3,6,5
425,426,11,24,16
426,427,6,19,12
427,428,3,6,5
428,429,11,22,10
429,430,3,6,6
430,431,17,38,20
431,432,22,56,21
432,433,2,6,4
433,434,11,21,16
434,435,1,3,3
435,436,4,10,10
436,437,27,71,33
437,438,2,1,1
438,439,3,7,6
439,440,5,13,11
440,441,4,10,9
441,442,5,13,11
442,443,3,10,6
443,444,3,7,5
444,445,6,12,8
445,446,10,18,16
446,447,14,28,13
447,448,23,63,28
448,449,5,9,7
449,450,4,5,3
450,451,3,7,5
451,452,4,6,5
452,453,50,80,61
453,454,4,12,9
454,455,5,15,12
455,456,12,24,10
456,457,10,38,20
457,458,3,8,7
458,459,2,3,3
459,460,2,5,5
460,461,3,7,5
461,462,2,8,4
462,463,5,13,8
463,464,3,12,8
464,465,6,19,16
465,466,3,9,9
466,467,3,3,3
467,468,3,7,7
468,469,3,7,6
469,470,6,10,10
470,471,5,10,10
471,472,2,4,4
472,473,4,6,5
473,474,4,13,11
474,475,3,7,3
475,476,2,5,5
476,477,2,5,4
477,478,1,3,3
478,479,1,4,4
479,480,1,4,4
480,481,4,15,9
481,482,2,3,3
482,483,1,2,2
483,484,1,1,1
484,485,1,1,1
485,486,3,5,5
486,487,1,2,2
487,488,1,2,2
