,tag,ct,cotag,cotag_u
0,1,15576,27881,654
1,2,1699,4444,280
2,3,452,1219,123
3,4,32,72,40
4,5,743,1698,240
5,6,4366,7893,452
6,7,232,433,61
7,8,297,654,152
8,9,142,360,115
9,10,305,613,149
10,11,8558,16387,613
11,12,2507,5456,362
12,13,1034,2326,296
13,14,2442,6411,463
14,15,1667,4053,317
15,16,545,1271,137
16,17,384,621,174
17,18,9668,21386,713
18,19,26,39,27
19,20,997,2275,255
20,21,249,684,110
21,22,12,23,14
22,23,86,195,63
23,24,49,112,51
24,25,487,1247,262
25,26,2088,5357,342
26,27,30,82,26
27,28,1238,2631,294
28,29,3479,7101,441
29,30,40,102,43
30,31,132,318,85
31,32,24,60,44
32,33,25,74,39
33,34,1662,2098,252
34,35,25,44,21
35,36,15,30,18
36,37,4,11,11
37,38,22121,45889,767
38,39,1228,3395,283
39,40,233,602,141
40,41,10,29,20
41,42,390,776,118
42,43,45,118,69
43,44,18,45,26
44,45,562,1570,186
45,46,29,77,32
46,47,504,874,110
47,48,5545,10004,545
48,49,47,109,43
49,50,176,409,123
50,51,78,166,84
51,52,190,400,75
52,53,12,23,14
53,54,775,1869,246
54,55,228,558,128
55,56,25,67,40
56,57,1269,3059,248
57,58,661,1668,211
58,59,264,535,111
59,60,299,712,126
60,61,570,919,192
61,62,67,184,75
62,63,317,805,163
63,64,394,955,152
64,65,50,118,43
65,66,288,759,163
66,67,260,578,126
67,68,187,487,134
68,69,304,763,204
69,70,346,925,144
70,71,162,438,102
71,72,151,359,104
72,73,209,557,130
73,74,51,134,64
74,75,137,347,83
75,76,583,971,222
76,77,128,318,115
77,78,478,1202,243
78,79,1163,2492,290
79,80,603,1301,218
80,81,41,101,53
81,82,292,659,141
82,83,616,1552,275
83,84,8,18,11
84,85,1151,2819,312
85,86,74,181,44
86,87,6,2,2
87,88,25,45,30
88,89,447,1163,178
89,90,371,1008,152
90,91,35,94,37
91,92,208,599,108
92,93,201,498,121
93,94,43,120,48
94,95,15,38,22
95,96,268,684,126
96,97,227,578,119
97,98,125,315,102
98,99,2140,5212,364
99,100,3,4,3
100,101,282,791,129
101,102,180,457,80
102,103,372,947,198
103,104,13,32,24
104,105,616,1534,265
105,106,74,158,66
106,107,287,620,92
107,108,153,378,70
108,109,24,50,22
109,110,55,129,26
110,111,231,608,132
111,112,205,496,142
112,113,368,717,165
113,114,437,938,154
114,115,11,26,22
115,116,1048,2481,256
116,117,3832,8847,517
117,118,101,265,79
118,119,359,697,144
119,120,795,1735,228
120,121,135,284,74
121,122,520,1469,229
122,123,243,464,115
123,124,124,322,92
124,125,42,112,51
125,126,126,331,126
126,127,32,73,41
127,128,160,343,86
128,129,86,137,74
129,130,212,540,157
130,131,14,36,20
131,132,9,30,19
132,133,171,293,113
133,134,4,8,5
134,135,191,491,150
135,136,10,24,17
136,137,202,569,118
137,138,504,1233,200
138,139,3505,7830,474
139,140,277,732,140
140,141,21,44,23
141,142,80,218,60
142,143,114,302,93
143,144,115,294,63
144,145,418,938,138
145,146,6,11,7
146,147,128,323,107
147,148,90,225,63
148,149,85,232,88
149,150,71,147,65
150,151,245,617,127
151,152,458,873,142
152,153,294,729,137
153,154,103,254,53
154,155,204,581,145
155,156,84,226,70
156,157,45,86,50
157,158,15,24,16
158,159,297,656,94
159,160,897,2252,244
160,161,136,354,80
161,162,204,466,47
162,163,21,52,31
163,164,5,13,5
164,165,94,235,74
165,166,39,103,47
166,167,130,320,119
167,168,36,88,34
168,169,65,183,57
169,170,157,414,85
170,171,77,207,63
171,172,453,1247,220
172,173,24,51,10
173,174,18,41,22
174,175,109,250,63
175,176,476,1286,177
176,177,46,108,45
177,178,44,120,53
178,179,58,150,61
179,180,36,112,48
180,181,176,330,94
181,182,137,334,83
182,183,191,380,98
183,184,64,156,66
184,185,76,185,60
185,186,40,103,39
186,187,828,1755,222
187,188,136,292,92
188,189,85,212,58
189,190,37,99,51
190,191,360,820,168
191,192,492,1284,216
192,193,69,157,58
193,194,69,180,70
194,195,33,84,48
195,196,240,533,114
196,197,85,206,68
197,198,69,167,59
198,199,173,426,123
199,200,470,1115,183
200,201,28,88,38
201,202,6,9,7
202,203,67,172,66
