,tag,ct,cotag,cotag_u
0,1,254,487,112
1,2,3,6,4
2,3,22,35,19
3,4,6,15,13
4,5,153,291,95
5,6,117,269,91
6,7,57,86,49
7,8,44,88,58
8,9,54,55,34
9,10,43,52,33
10,11,11,18,16
11,12,55,127,38
12,13,51,100,43
13,14,2,4,3
14,15,69,156,64
15,16,49,100,49
16,17,9,20,13
17,18,48,68,39
18,19,16,33,24
19,20,9,15,11
20,21,4,6,6
21,22,7,13,9
22,23,5,10,9
23,24,4,6,6
24,25,19,41,22
25,26,10,23,14
26,27,10,21,17
27,28,15,26,19
28,29,68,157,77
29,30,331,566,143
30,31,4,9,8
31,32,9,12,12
32,33,13,21,16
33,34,25,67,36
34,35,10,21,15
35,36,20,50,35
36,37,6,12,9
37,38,61,126,50
38,39,9,14,7
39,40,9,15,12
40,41,44,91,49
41,42,5,10,8
42,43,6,13,11
43,44,4,7,7
44,45,59,109,42
45,46,18,24,15
46,47,6,10,9
47,48,1,3,3
48,49,6,9,6
49,50,3,7,7
50,51,43,87,54
51,52,125,176,82
52,53,28,57,32
53,54,11,29,16
54,55,3,4,2
55,56,9,27,15
56,57,32,67,35
57,58,1,3,3
58,59,5,12,8
59,60,7,11,7
60,61,2,5,5
61,62,2,4,4
62,63,10,22,19
63,64,8,15,12
64,65,2,4,4
65,66,7,14,7
66,67,13,28,18
67,68,7,16,14
68,69,3,7,7
69,70,2,3,3
70,71,3,5,4
71,72,2,2,1
72,73,4,8,6
73,74,5,9,7
74,75,36,81,38
75,76,7,8,6
76,77,8,17,14
77,78,4,4,3
78,79,5,4,4
79,80,15,25,14
80,81,4,8,8
81,82,6,11,7
82,83,11,22,18
83,84,13,20,14
84,85,5,11,11
85,86,2,3,3
86,87,5,9,9
87,88,4,12,8
88,89,15,31,20
89,90,10,19,18
90,91,6,9,8
91,92,17,31,14
92,93,6,9,5
93,94,21,50,38
94,95,6,12,10
95,96,4,9,9
96,97,4,6,5
97,98,3,4,4
98,99,2,6,6
99,100,3,4,2
100,101,11,25,17
101,102,5,10,7
102,103,13,16,11
103,104,8,15,11
104,105,20,42,23
105,106,6,10,10
106,107,1,1,1
107,108,5,9,8
108,109,2,3,2
109,110,1,1,1
110,111,12,22,18
111,112,1,1,1
112,113,5,14,10
113,114,46,122,48
114,115,13,29,23
115,116,17,18,11
116,117,3,8,8
117,118,4,10,9
118,119,2,3,3
119,120,3,8,6
120,121,15,35,18
121,122,12,23,18
122,123,6,3,3
123,124,60,111,39
124,125,15,40,23
125,126,10,12,8
126,127,16,43,27
127,128,3,9,8
128,129,2,6,6
129,130,3,10,9
130,131,6,10,9
131,132,7,7,6
132,133,5,8,8
133,134,19,26,12
134,135,3,3,3
135,136,7,13,11
136,137,40,76,44
137,138,1,4,4
138,139,1,2,2
139,140,4,11,10
140,141,19,27,19
141,142,1,2,2
142,143,34,61,23
143,144,7,13,8
144,145,2,5,4
145,146,5,10,9
146,147,2,3,3
147,148,26,46,23
148,149,19,35,23
149,150,3,10,6
150,151,7,19,15
151,152,3,6,4
152,153,6,16,13
153,154,9,23,18
154,155,1,2,2
155,156,7,19,17
156,157,4,10,9
157,158,24,55,31
158,159,8,17,13
159,160,39,72,48
160,161,5,10,8
161,162,18,32,21
162,163,5,10,7
163,164,6,12,10
164,165,107,170,78
165,166,28,56,21
166,167,8,16,14
167,168,25,65,20
168,169,37,81,32
169,170,70,155,34
170,171,8,19,8
171,172,19,34,14
172,173,5,11,10
173,174,47,89,40
174,175,24,37,18
175,176,9,16,6
176,177,3,6,5
177,178,2,4,4
178,179,2,3,3
179,180,1,2,2
180,181,2,3,3
181,182,5,17,13
182,183,15,12,12
183,184,8,16,13
184,185,32,69,38
185,186,1,1,1
186,187,2,1,1
187,188,1,2,2
188,189,5,7,5
189,190,2,2,2
190,191,2,3,3
191,192,8,13,9
192,193,1,2,2
193,194,3,5,5
194,195,3,5,5
195,196,2,4,4
196,197,2,2,2
197,198,4,3,3
198,199,4,8,8
199,200,2,4,3
200,201,1,2,2
201,202,14,30,18
202,203,7,13,12
203,204,2,3,3
204,205,5,6,5
205,206,5,4,4
206,207,8,14,13
207,208,9,20,14
208,209,6,14,11
209,210,13,13,8
210,211,11,20,18
211,212,1,2,2
212,213,1,2,2
213,214,6,12,10
214,215,2,3,3
215,216,2,3,3
216,217,10,22,12
217,218,7,16,12
218,219,4,8,6
219,220,6,12,8
220,221,2,5,5
221,222,18,27,17
222,223,3,9,9
223,224,2,2,2
224,225,4,6,3
225,226,5,12,10
226,227,10,20,14
227,228,14,31,23
228,229,10,22,16
229,230,4,12,7
230,231,1,1,1
231,232,6,15,12
232,233,2,4,4
233,234,5,5,3
234,235,2,3,2
235,236,5,9,6
236,237,2,2,2
237,238,3,2,2
238,239,4,9,5
239,240,5,9,7
240,241,2,2,1
241,242,4,11,9
242,243,2,3,3
243,244,6,8,5
244,245,1,2,2
245,246,2,5,3
246,247,8,18,7
247,248,4,7,5
248,249,2,2,2
249,250,4,9,7
250,251,6,12,9
251,252,5,9,9
252,253,1,0,0
253,254,3,9,8
254,255,2,5,4
255,256,2,3,3
256,257,1,1,1
257,258,4,6,5
258,259,2,3,3
259,260,2,3,3
260,261,2,2,2
261,262,3,8,7
262,263,1,4,4
263,264,3,4,2
264,265,5,10,9
265,266,5,9,9
266,267,3,6,6
267,268,2,3,3
268,269,3,4,3
269,270,3,6,6
270,271,2,3,2
271,272,2,0,0
272,273,2,5,3
273,274,2,5,3
274,275,9,18,13
275,276,3,7,7
276,277,14,30,19
277,278,7,10,8
278,279,2,2,1
279,280,3,3,3
280,281,4,10,7
281,282,1,2,2
282,283,1,2,2
283,284,2,2,2
284,285,1,3,3
285,286,1,2,2
286,287,2,4,4
287,288,3,3,3
288,289,3,6,6
289,290,3,9,7
290,291,1,3,3
291,292,1,2,2
292,293,3,5,2
293,294,1,1,1
294,295,1,1,1
295,296,2,5,5
296,297,2,7,7
297,298,3,9,7
298,299,2,6,5
299,300,3,4,4
300,301,2,4,4
301,302,1,3,3
302,303,3,6,6
303,304,2,3,3
304,305,2,6,5
305,306,1,1,1
306,307,1,4,4
307,308,1,0,0
308,309,4,10,7
309,310,1,2,2
310,311,4,5,2
311,312,1,2,2
312,313,2,3,3
313,314,2,4,4
314,315,2,3,3
315,316,1,1,1
316,317,1,1,1
317,318,1,2,2
318,319,1,4,4
