,tag,ct,cotag,cotag_u
0,1,119,272,120
1,2,885,1868,289
2,3,171,344,128
3,4,133,295,110
4,5,1269,2686,287
5,6,1057,1936,270
6,7,977,1957,312
7,8,149,298,88
8,9,209,473,127
9,10,7416,10834,432
10,11,1134,2265,379
11,12,401,834,253
12,13,119,285,101
13,14,67,131,59
14,15,43,91,34
15,16,153,271,64
16,17,50,79,29
17,18,645,905,221
18,19,55,97,58
19,20,1024,1983,317
20,21,442,970,198
21,22,72,175,77
22,23,33,64,20
23,24,527,1021,200
24,25,232,486,119
25,26,475,829,186
26,27,512,1038,213
27,28,410,773,208
28,29,418,620,196
29,30,663,1342,198
30,31,144,302,70
31,32,3285,5254,321
32,33,189,447,170
33,34,540,721,117
34,35,45,79,30
35,36,123,195,67
36,37,36,79,53
37,38,577,1124,192
38,39,589,1217,193
39,40,1553,2871,170
40,41,13,23,19
41,42,25,54,34
42,43,132,260,101
43,44,524,946,191
44,45,196,415,125
45,46,14,18,17
46,47,35,58,33
47,48,565,809,135
48,49,161,352,106
49,50,155,241,96
50,51,94,227,79
51,52,163,253,95
52,53,334,720,112
53,54,46,90,57
54,55,17,17,14
55,56,322,616,120
56,57,981,1642,248
57,58,371,722,164
58,59,73,161,33
59,60,328,576,125
60,61,107,235,120
61,62,19,38,25
62,63,13,22,12
63,64,46,120,61
64,65,2,6,6
65,66,79,167,53
66,67,225,349,130
67,68,21,40,23
68,69,987,1964,287
69,70,89,182,48
70,71,113,240,73
71,72,272,400,121
72,73,597,955,186
73,74,165,333,86
74,75,50,115,55
75,76,245,496,121
76,77,3106,5676,283
77,78,263,527,159
78,79,627,1011,165
79,80,297,630,229
80,81,27,51,21
81,82,192,426,85
82,83,119,187,70
83,84,5,15,13
84,85,54,121,78
85,86,15,30,22
86,87,136,296,131
87,88,280,604,187
88,89,150,327,84
89,90,16,29,16
90,91,97,143,50
91,92,1083,2238,279
92,93,40,60,32
93,94,6,9,7
94,95,303,558,120
95,96,887,1273,229
96,97,85,165,81
97,98,14,28,20
98,99,248,493,139
99,100,367,753,174
100,101,429,708,169
101,102,48,100,51
102,103,915,1918,138
103,104,62,135,20
104,105,47,105,67
105,106,55,119,60
106,107,151,264,102
107,108,133,234,123
108,109,82,165,82
109,110,64,133,73
110,111,39,72,35
111,112,13,30,24
112,113,109,239,79
113,114,51,127,54
114,115,106,193,62
115,116,287,404,129
116,117,125,285,78
117,118,763,1447,198
118,119,73,157,70
119,120,6,9,3
120,121,22,41,17
121,122,424,743,77
122,123,126,275,83
123,124,45,91,32
124,125,113,235,85
125,126,143,222,68
126,127,1438,2276,227
127,128,19,52,29
128,129,590,1013,136
129,130,9,14,12
130,131,323,696,152
131,132,312,406,101
132,133,40,91,41
133,134,40,64,49
134,135,10,25,15
135,136,187,350,126
136,137,298,550,92
137,138,21,43,25
138,139,73,116,47
139,140,56,106,52
140,141,36,75,34
141,142,42,87,40
142,143,122,267,53
143,144,14,33,16
144,145,6,14,12
145,146,71,151,75
146,147,14,32,24
147,148,392,642,201
148,149,53,78,55
149,150,117,230,72
150,151,444,857,90
151,152,147,247,92
152,153,103,182,108
153,154,13,16,13
154,155,122,229,79
155,156,116,231,86
156,157,7,12,12
157,158,47,88,55
158,159,67,101,39
159,160,97,219,110
160,161,680,1264,180
161,162,253,503,88
162,163,148,258,103
163,164,107,264,87
164,165,90,176,49
165,166,96,176,101
166,167,9,19,17
167,168,21,43,22
168,169,199,391,83
169,170,51,75,38
170,171,127,243,79
171,172,233,444,129
172,173,466,1009,208
173,174,48,105,46
174,175,108,249,94
175,176,64,126,63
176,177,294,611,135
177,178,55,105,57
178,179,50,98,33
179,180,8,9,9
180,181,58,97,42
181,182,15,26,13
182,183,191,229,91
183,184,24,47,25
184,185,148,286,115
185,186,57,127,35
186,187,5,8,7
187,188,69,109,75
188,189,135,126,27
189,190,167,248,101
190,191,202,418,56
191,192,21,49,23
192,193,469,751,95
193,194,57,112,43
194,195,71,157,72
195,196,58,134,60
196,197,134,211,59
197,198,11,16,13
198,199,5,11,9
199,200,31,54,20
200,201,51,118,60
201,202,110,211,76
202,203,57,103,52
203,204,780,1403,207
204,205,101,197,50
205,206,353,625,165
206,207,58,110,41
207,208,25,33,28
208,209,47,64,35
209,210,108,176,43
210,211,72,133,90
211,212,13,17,6
212,213,124,228,109
213,214,11,21,16
214,215,7,9,7
215,216,50,112,37
216,217,41,68,32
217,218,184,395,157
218,219,21,46,26
219,220,241,501,110
220,221,28,76,35
221,222,112,269,94
222,223,48,88,57
223,224,33,60,40
224,225,126,246,84
225,226,32,51,35
226,227,167,366,155
227,228,7,16,12
228,229,38,78,40
229,230,150,301,82
230,231,103,217,65
231,232,36,67,41
232,233,73,93,32
233,234,55,99,56
234,235,15,31,17
235,236,346,551,103
236,237,32,66,38
237,238,46,91,38
238,239,66,132,65
239,240,301,402,97
240,241,26,48,24
241,242,105,170,45
242,243,13,14,10
243,244,105,228,98
244,245,14,18,11
245,246,86,165,87
246,247,495,851,87
247,248,596,1007,127
248,249,388,746,105
249,250,86,187,41
250,251,76,122,44
251,252,601,1099,127
252,253,13,27,14
253,254,89,146,31
254,255,146,241,72
255,256,190,256,62
256,257,21,29,17
257,258,63,126,25
258,259,129,244,92
259,260,53,106,61
260,261,19,40,28
261,262,39,96,20
262,263,115,281,94
263,264,326,578,121
264,265,80,185,87
265,266,38,84,51
266,267,27,64,47
267,268,96,147,47
268,269,26,52,27
269,270,7,13,12
270,271,191,308,63
271,272,409,815,166
272,273,181,316,94
273,274,23,31,19
274,275,216,421,115
275,276,29,50,23
276,277,232,408,109
277,278,79,144,63
278,279,133,283,108
279,280,66,134,77
280,281,470,1057,156
281,282,155,320,81
282,283,31,59,30
283,284,16,32,14
284,285,55,115,44
285,286,142,350,103
286,287,113,200,78
287,288,20,39,24
288,289,3,2,2
289,290,5,11,7
290,291,18,39,22
291,292,19,26,9
292,293,22,38,24
293,294,29,57,28
294,295,173,277,93
295,296,93,188,80
296,297,168,317,60
297,298,40,86,18
298,299,123,280,40
299,300,112,208,93
300,301,5,7,7
301,302,591,1095,109
302,303,129,310,127
303,304,49,112,31
304,305,26,28,20
305,306,49,53,25
306,307,29,47,21
307,308,184,402,94
308,309,720,1398,245
309,310,332,549,147
310,311,659,1237,140
311,312,36,82,54
312,313,219,400,125
313,314,27,57,25
314,315,163,290,88
315,316,63,127,55
316,317,62,124,74
317,318,14,39,23
318,319,60,141,92
319,320,87,108,35
320,321,61,54,22
321,322,8,13,6
322,323,53,54,30
323,324,31,53,27
324,325,11,9,9
325,326,61,124,30
326,327,87,149,86
327,328,6,17,9
328,329,54,108,44
329,330,34,68,31
330,331,6,13,12
331,332,317,676,210
332,333,177,354,154
333,334,122,286,130
334,335,31,80,56
335,336,81,147,52
336,337,21,50,21
337,338,3,10,8
338,339,19,32,27
339,340,58,78,38
340,341,83,186,75
341,342,251,345,75
342,343,93,135,53
343,344,8,12,8
344,345,33,54,27
345,346,235,461,131
346,347,36,71,38
347,348,11,15,11
348,349,16,13,9
349,350,132,262,64
350,351,106,205,86
351,352,113,218,77
352,353,15,28,22
353,354,9,15,12
354,355,16,27,24
355,356,183,337,86
356,357,82,194,108
357,358,2,5,5
358,359,71,148,66
359,360,4,6,2
360,361,15,23,8
361,362,8,20,13
362,363,25,45,31
363,364,645,1297,118
364,365,237,490,118
365,366,97,181,59
366,367,42,84,27
367,368,108,235,62
368,369,63,145,60
369,370,49,60,22
370,371,66,135,76
371,372,339,807,200
372,373,37,77,47
373,374,37,59,26
374,375,31,72,43
375,376,106,206,63
376,377,46,45,20
377,378,7,13,11
378,379,34,62,41
379,380,35,86,35
380,381,105,193,94
381,382,72,120,51
382,383,50,95,42
383,384,140,308,128
384,385,45,72,33
385,386,22,43,16
386,387,44,95,44
387,388,68,112,49
388,389,137,224,112
389,390,20,39,16
390,391,15,33,24
391,392,33,72,55
392,393,11,25,11
393,394,6,15,12
394,395,7,15,12
395,396,3,3,2
396,397,67,130,73
397,398,94,205,91
398,399,74,178,70
399,400,84,185,76
400,401,125,170,53
401,402,125,275,84
402,403,2,4,4
403,404,9,12,11
404,405,4,11,7
405,406,127,266,77
406,407,35,77,42
407,408,7,7,4
408,409,23,55,35
409,410,79,136,65
410,411,34,60,32
411,412,2,4,4
412,413,14,35,22
413,414,75,103,49
414,415,6,13,9
415,416,36,60,28
416,417,48,66,27
417,418,62,128,87
418,419,14,12,12
419,420,3,4,3
420,421,151,257,75
421,422,28,48,30
422,423,9,19,15
423,424,22,44,31
424,425,26,57,38
425,426,14,21,16
426,427,98,206,112
427,428,7,20,11
428,429,5,9,5
429,430,147,297,115
430,431,20,44,31
431,432,20,34,26
432,433,266,551,141
433,434,25,53,27
434,435,30,69,38
435,436,5,15,11
436,437,61,121,41
437,438,69,84,33
438,439,257,545,122
439,440,63,153,41
440,441,66,128,32
441,442,16,39,25
442,443,13,20,17
443,444,55,131,43
444,445,65,146,71
445,446,210,394,153
446,447,225,428,55
447,448,9,13,10
448,449,69,145,63
449,450,3,4,3
450,451,138,280,65
451,452,234,425,36
452,453,11,24,15
453,454,33,71,56
454,455,31,44,34
455,456,26,56,34
456,457,26,66,43
457,458,25,58,41
458,459,53,117,64
459,460,5,10,6
460,461,55,124,39
461,462,6,12,11
462,463,86,171,46
463,464,20,42,28
464,465,49,80,16
465,466,13,26,9
466,467,15,28,15
467,468,4,7,5
468,469,176,360,124
469,470,137,286,68
470,471,44,108,46
471,472,59,112,28
472,473,81,164,49
473,474,30,57,38
474,475,12,18,15
475,476,13,26,17
476,477,36,60,30
477,478,28,39,30
478,479,46,85,27
479,480,24,55,43
480,481,26,60,41
481,482,44,63,27
482,483,70,147,65
483,484,15,40,28
484,485,71,141,47
485,486,69,176,76
486,487,42,94,64
487,488,55,120,50
488,489,3,8,8
489,490,24,60,28
