,tag,ct,cotag,cotag_u
0,1,25654,38643,224
1,2,1783,2144,93
2,3,6369,8990,175
3,4,1722,1570,110
4,5,192,332,55
5,6,197,304,60
6,7,40,68,26
7,8,504,815,84
8,9,2283,3804,127
9,10,299,535,56
10,11,2754,4116,150
11,12,510,750,98
12,13,26,40,18
13,14,93,145,36
14,15,2185,3403,117
15,16,1139,1627,67
16,17,13,29,10
17,18,748,1208,85
18,19,727,903,76
19,20,1056,1479,101
20,21,3506,3612,119
21,22,14,24,13
22,23,16,21,14
23,24,12,19,13
24,25,13660,18444,178
25,26,472,828,77
26,27,2894,3698,132
27,28,6850,10767,165
28,29,843,1196,87
29,30,3281,5196,110
30,31,8314,12484,150
31,32,1199,1808,120
32,33,392,529,83
33,34,25,38,13
34,35,2188,3028,107
35,36,416,614,78
36,37,9524,13303,179
37,38,1042,1678,102
38,39,236,448,35
39,40,578,794,89
40,41,673,1200,83
41,42,331,386,70
42,43,184,261,40
43,44,761,1171,75
44,45,115,53,17
45,46,457,689,73
46,47,715,1025,84
47,48,6023,8401,134
48,49,2270,3319,129
49,50,161,253,49
50,51,19,32,16
51,52,2818,4116,132
52,53,94,125,33
53,54,659,974,84
54,55,77,97,39
55,56,38,52,20
56,57,114,178,40
57,58,237,364,41
58,59,157,230,43
59,60,315,486,56
60,61,10938,15255,195
61,62,61,104,29
62,63,3,8,7
63,64,31,47,18
64,65,137,238,52
65,66,215,364,59
66,67,97,147,36
67,68,1117,1717,109
68,69,2224,3685,109
69,70,2541,4087,123
70,71,231,319,37
71,72,1693,2283,116
72,73,210,351,35
73,74,100,173,48
74,75,83,129,47
75,76,102,174,39
76,77,1422,2253,104
77,78,44,31,15
78,79,1283,1906,89
79,80,396,639,72
80,81,113,172,41
81,82,70,138,30
82,83,747,1152,72
83,84,88,143,33
84,85,438,642,79
85,86,171,305,58
86,87,230,351,50
87,88,6,12,9
88,89,92,118,41
89,90,21,29,15
90,91,29,45,28
91,92,108,168,32
92,93,539,716,86
93,94,1925,2463,106
94,95,160,240,30
95,96,107,179,40
96,97,384,639,43
97,98,164,311,47
98,99,210,337,53
99,100,43,52,17
100,101,23,29,17
101,102,2266,4038,103
102,103,78,92,23
103,104,59,101,28
104,105,603,1029,83
105,106,83,156,26
106,107,419,751,65
107,108,64,83,24
108,109,11,24,13
109,110,317,546,52
110,111,622,878,70
111,112,98,145,24
112,113,67,130,31
113,114,19,32,16
114,115,66,95,33
115,116,291,561,66
116,117,128,219,35
117,118,129,190,43
118,119,333,553,67
119,120,149,271,45
120,121,47,58,33
121,122,59,100,25
122,123,108,185,42
123,124,134,231,30
124,125,118,149,38
125,126,23,42,15
126,127,228,299,50
127,128,137,232,34
128,129,65,92,19
129,130,90,135,33
130,131,64,67,26
131,132,272,435,54
132,133,30,37,14
133,134,90,105,33
134,135,8,10,5
135,136,81,143,31
136,137,82,99,27
137,138,104,172,40
138,139,200,313,57
139,140,209,264,49
140,141,4,6,3
141,142,264,503,60
142,143,116,245,37
143,144,21,28,11
144,145,123,188,29
145,146,37,69,29
146,147,13,24,12
147,148,17,27,13
148,149,18,29,11
149,150,22,35,16
150,151,304,488,47
151,152,64,76,22
152,153,65,79,21
153,154,79,83,27
154,155,43,76,24
155,156,95,176,40
156,157,7,11,9
157,158,6,11,8
158,159,97,141,38
159,160,25,26,11
160,161,19,30,11
161,162,21,25,11
162,163,113,123,35
163,164,12,22,8
164,165,28,47,27
165,166,107,161,44
166,167,17,19,9
167,168,25,35,12
168,169,70,114,38
169,170,15,23,11
170,171,47,92,24
171,172,4,4,4
172,173,20,23,13
173,174,9,15,5
174,175,48,91,31
175,176,7,10,4
176,177,47,68,35
177,178,40,56,15
178,179,55,109,31
179,180,3,0,0
180,181,18,36,18
181,182,45,79,21
182,183,22,43,14
183,184,83,92,33
184,185,43,62,31
185,186,39,61,23
186,187,32,55,23
187,188,7,11,7
188,189,78,110,33
189,190,283,392,42
190,191,10,14,8
191,192,12,13,11
192,193,53,104,22
193,194,11,20,12
194,195,8,15,7
195,196,17,28,7
196,197,12,16,10
197,198,6,11,9
198,199,32,77,16
199,200,18,20,11
200,201,21,21,13
201,202,17,29,13
202,203,18,31,12
203,204,31,49,18
204,205,17,26,13
205,206,34,55,11
206,207,8,11,7
207,208,21,38,18
208,209,32,66,31
209,210,32,51,16
210,211,9,21,9
211,212,9,12,7
212,213,18,24,9
213,214,13,29,11
214,215,7,10,7
215,216,72,80,29
216,217,5,10,6
217,218,7,8,4
218,219,23,42,13
219,220,21,37,12
220,221,19,30,10
221,222,135,259,41
222,223,9,21,11
223,224,14,34,17
224,225,14,23,11
225,226,210,407,43
226,227,76,140,29
227,228,67,128,34
228,229,62,114,27
229,230,25,15,7
230,231,43,73,23
231,232,47,79,16
232,233,52,73,23
233,234,3,5,5
234,235,2,3,2
