,tag,ct,cotag,cotag_u
0,1,317,580,113
1,2,5,9,5
2,3,7,13,6
3,4,68,169,49
4,5,47,110,32
5,6,75,169,50
6,7,297,543,91
7,8,101,194,58
8,9,28,60,34
9,10,3,8,5
10,11,8,21,10
11,12,3,9,8
12,13,103,214,64
13,14,26,55,26
14,15,37,80,31
15,16,52,109,45
16,17,17,39,27
17,18,120,218,71
18,19,4,9,8
19,20,50,83,32
20,21,77,163,45
21,22,21,49,35
22,23,7,12,10
23,24,24,66,26
24,25,5,10,5
25,26,6,11,5
26,27,18,26,15
27,28,8,15,9
28,29,7,12,10
29,30,5,12,10
30,31,5,17,15
31,32,22,39,19
32,33,4,10,10
33,34,5,9,9
34,35,7,13,11
35,36,19,38,21
36,37,7,18,9
37,38,52,101,47
38,39,6,14,10
39,40,46,89,39
40,41,8,19,15
41,42,5,18,16
42,43,8,20,12
43,44,4,16,13
44,45,6,18,12
45,46,33,68,31
46,47,3,7,7
47,48,21,42,20
48,49,10,24,17
49,50,5,14,11
50,51,46,109,35
51,52,18,32,18
52,53,9,13,5
53,54,1,3,3
54,55,37,83,38
55,56,4,5,5
56,57,2,5,5
57,58,9,15,12
58,59,6,10,9
59,60,11,30,23
60,61,13,37,22
61,62,4,11,8
62,63,6,16,12
63,64,6,18,12
64,65,60,118,45
65,66,11,22,12
66,67,8,14,12
67,68,7,9,8
68,69,1,1,1
69,70,7,21,17
70,71,2,3,2
71,72,2,3,2
72,73,3,8,7
73,74,9,8,7
74,75,5,10,10
75,76,30,59,23
76,77,3,2,1
77,78,5,16,10
78,79,4,9,9
79,80,13,29,22
80,81,79,131,45
81,82,8,18,12
82,83,1,2,2
83,84,5,6,5
84,85,3,3,2
85,86,4,9,7
86,87,20,34,18
87,88,2,3,2
88,89,5,15,8
89,90,20,44,23
90,91,9,19,13
91,92,23,40,23
92,93,5,4,4
93,94,7,18,14
94,95,18,40,25
95,96,3,9,9
96,97,5,3,3
97,98,9,14,6
98,99,1,1,1
99,100,9,18,11
100,101,2,3,3
101,102,9,19,14
102,103,11,24,18
103,104,6,14,7
104,105,11,20,12
105,106,3,3,3
106,107,4,7,4
107,108,4,7,4
108,109,3,7,7
109,110,4,13,11
110,111,6,20,14
111,112,5,13,10
112,113,1,1,1
113,114,1,1,1
114,115,1,4,4
115,116,10,29,10
116,117,19,30,22
117,118,3,8,6
118,119,3,4,3
119,120,10,18,12
120,121,3,7,7
121,122,7,13,9
122,123,3,6,6
123,124,9,7,5
124,125,16,32,18
125,126,1,3,3
126,127,2,5,5
127,128,1,2,2
128,129,2,2,2
129,130,3,7,6
130,131,1,1,1
131,132,1,2,2
132,133,1,1,1
133,134,40,78,27
134,135,4,7,6
135,136,2,2,2
136,137,12,26,13
137,138,2,3,2
138,139,7,15,12
139,140,5,11,7
140,141,1,2,2
141,142,4,9,6
142,143,9,12,8
143,144,28,41,20
144,145,7,16,13
145,146,1,1,1
146,147,3,9,7
147,148,4,5,3
148,149,7,9,6
149,150,3,5,4
150,151,5,13,11
151,152,14,26,13
152,153,19,44,17
153,154,1,2,2
154,155,5,9,6
155,156,3,9,8
156,157,24,52,29
157,158,5,9,6
158,159,4,12,9
159,160,6,18,9
160,161,3,6,4
161,162,4,11,7
162,163,9,21,13
163,164,4,10,7
164,165,1,3,3
165,166,5,11,8
166,167,4,9,7
167,168,8,12,6
168,169,5,12,7
169,170,1,4,4
170,171,2,3,3
171,172,1,2,2
172,173,3,4,4
173,174,2,6,6
174,175,1,1,1
175,176,1,3,3
176,177,1,3,3
177,178,1,3,3
