,tag,ct,cotag,cotag_u
0,1,5798,12959,939
1,2,625,1208,272
2,3,1955,4411,504
3,4,5,12,7
4,5,888,1433,316
5,6,513,1117,224
6,7,1596,4025,524
7,8,652,1600,290
8,9,116,279,122
9,10,611,1290,353
10,11,2,3,2
11,12,1657,4269,626
12,13,54,117,64
13,14,636,1334,313
14,15,521,1352,327
15,16,90,249,102
16,17,964,2520,376
17,18,1479,3673,442
18,19,181,443,122
19,20,36,67,45
20,21,15,36,27
21,22,1922,4234,632
22,23,505,1193,327
23,24,154,374,161
24,25,43,99,38
25,26,920,2381,420
26,27,124,324,58
27,28,165,389,168
28,29,1820,4143,576
29,30,614,1211,316
30,31,261,613,212
31,32,9,21,17
32,33,275,635,206
33,34,528,1242,265
34,35,408,913,232
35,36,333,688,254
36,37,4,11,10
37,38,2169,4871,546
38,39,5605,13996,1004
39,40,43,99,56
40,41,24,47,31
41,42,841,2029,545
42,43,182,401,129
43,44,411,1057,256
44,45,56,136,81
45,46,55,145,55
46,47,3307,6960,558
47,48,397,994,197
48,49,179,418,103
49,50,481,1017,258
50,51,114,271,118
51,52,53,124,84
52,53,156,349,143
53,54,19,54,35
54,55,7,13,10
55,56,70,165,92
56,57,625,1430,368
57,58,344,563,188
58,59,616,1536,337
59,60,9,23,18
60,61,1,4,4
61,62,325,709,201
62,63,22,51,46
63,64,2367,5242,609
64,65,162,352,188
65,66,426,973,247
66,67,848,2040,404
67,68,127,292,141
68,69,607,1451,340
69,70,302,731,272
70,71,16,30,22
71,72,177,375,183
72,73,406,1031,249
73,74,162,397,93
74,75,295,656,225
75,76,11,15,12
76,77,70,155,86
77,78,227,532,167
78,79,6,18,12
79,80,249,612,241
80,81,839,1376,332
81,82,211,437,171
82,83,11,25,19
83,84,7,15,10
84,85,34,88,63
85,86,274,727,296
86,87,81,198,122
87,88,3619,7571,743
88,89,1790,3566,524
89,90,1961,4336,595
90,91,72,173,98
91,92,177,404,129
92,93,187,456,165
93,94,31,62,43
94,95,4,11,10
95,96,48,127,73
96,97,483,1023,261
97,98,188,438,145
98,99,82,204,102
99,100,660,1592,413
100,101,178,445,122
101,102,2891,7029,691
102,103,32,72,51
103,104,14,47,27
104,105,210,480,179
105,106,940,2205,397
106,107,985,2174,386
107,108,64,138,89
108,109,220,470,135
109,110,3,8,7
110,111,11,18,13
111,112,259,626,186
112,113,100,232,118
113,114,538,1277,265
114,115,900,2253,493
115,116,30,49,42
116,117,3767,7343,638
117,118,2537,5750,592
118,119,2890,6503,705
119,120,187,404,172
120,121,35,67,25
121,122,180,436,117
122,123,1940,4123,574
123,124,43,111,66
124,125,4944,10666,848
125,126,3155,6527,709
126,127,1912,4133,484
127,128,503,1147,257
128,129,80,189,81
129,130,31,73,44
130,131,30,76,36
131,132,13,27,23
132,133,218,515,219
133,134,318,690,195
134,135,920,2002,332
135,136,411,902,157
136,137,287,645,222
137,138,194,482,145
138,139,19,42,35
139,140,71,139,91
140,141,485,1023,295
141,142,4252,9945,811
142,143,47,107,83
143,144,61,158,88
144,145,203,513,208
145,146,161,408,154
146,147,109,237,131
147,148,759,1650,266
148,149,25,50,39
149,150,378,1002,228
150,151,316,749,244
151,152,97,217,128
152,153,1314,3197,437
153,154,418,940,237
154,155,70,159,87
155,156,1823,4140,511
156,157,541,1404,212
157,158,253,562,197
158,159,5,6,6
159,160,176,390,151
160,161,884,2221,365
161,162,540,1385,394
162,163,355,797,237
163,164,99,245,98
164,165,69,202,94
165,166,256,649,229
166,167,146,346,197
167,168,75,173,67
168,169,869,2282,453
169,170,389,926,247
170,171,265,520,187
171,172,138,324,142
172,173,35,98,32
173,174,565,1194,349
174,175,86,182,112
175,176,273,575,187
176,177,61,127,64
177,178,3626,7813,691
178,179,334,700,205
179,180,148,401,170
180,181,109,266,112
181,182,9,25,21
182,183,72,114,81
183,184,878,1733,453
184,185,93,239,87
185,186,799,2000,360
186,187,1100,3073,362
187,188,439,1073,292
188,189,826,1703,428
189,190,90,208,74
190,191,69,151,56
191,192,1224,2132,279
192,193,344,707,158
193,194,355,783,215
194,195,693,1684,363
195,196,463,1027,272
196,197,45,113,67
197,198,6,12,8
198,199,28,56,39
199,200,19,42,33
200,201,120,317,81
201,202,19,39,23
202,203,712,1223,203
203,204,873,2135,428
204,205,535,1079,304
205,206,1030,1744,261
206,207,515,1114,277
207,208,771,1814,432
208,209,340,728,202
209,210,32,77,43
210,211,32,58,46
211,212,509,1221,309
212,213,186,374,170
213,214,1058,1872,373
214,215,1660,3309,455
215,216,8,20,19
216,217,168,451,189
217,218,3707,8592,835
218,219,3,6,4
219,220,738,1403,397
220,221,2480,4773,572
221,222,1623,3655,539
222,223,25,46,36
223,224,250,617,143
224,225,42,110,61
225,226,591,1215,412
226,227,48,97,62
227,228,50,118,71
228,229,94,176,101
229,230,47,83,49
230,231,327,662,222
231,232,164,364,202
232,233,263,635,259
233,234,61,117,69
234,235,6,15,12
235,236,9,26,17
236,237,114,260,109
237,238,24,47,26
238,239,22,43,26
239,240,256,623,186
240,241,720,1677,386
241,242,348,812,234
242,243,18,40,24
243,244,1630,3679,643
244,245,51,122,63
245,246,41,92,63
246,247,498,1155,261
247,248,282,630,214
248,249,225,471,198
249,250,512,1163,246
250,251,95,241,123
251,252,64,116,62
252,253,34,87,59
253,254,770,1564,339
254,255,130,280,179
255,256,1457,3648,517
256,257,214,475,194
257,258,250,629,188
258,259,71,158,57
259,260,64,138,62
260,261,71,176,100
261,262,36,78,55
262,263,1234,2768,475
263,264,372,817,206
264,265,19,47,26
265,266,79,187,82
266,267,22,59,23
267,268,235,618,189
268,269,382,770,221
269,270,227,445,141
270,271,3053,6547,624
271,272,67,147,102
272,273,1173,2464,345
273,274,144,301,122
274,275,110,240,78
275,276,251,563,181
276,277,532,1470,320
277,278,486,1106,318
278,279,1030,2508,523
279,280,1979,4615,593
280,281,60,135,70
281,282,474,1058,252
282,283,326,890,223
283,284,51,106,38
284,285,61,138,77
285,286,11,33,29
286,287,30,79,53
287,288,153,453,168
288,289,49,84,56
289,290,345,732,225
290,291,349,864,255
291,292,6,19,11
292,293,49,121,50
293,294,490,916,262
294,295,20,36,26
295,296,255,581,212
296,297,8,20,19
297,298,295,688,191
298,299,79,189,90
299,300,41,93,58
300,301,412,885,247
301,302,203,457,167
302,303,24,62,43
303,304,51,119,80
304,305,68,171,73
305,306,52,122,50
306,307,270,618,247
307,308,202,417,148
308,309,597,1378,331
309,310,346,901,196
310,311,20,52,32
311,312,46,119,74
312,313,20,52,28
313,314,133,320,154
314,315,4,6,4
315,316,121,335,134
316,317,602,1348,333
317,318,1045,2506,493
318,319,147,386,145
319,320,956,2171,402
320,321,25,53,34
321,322,186,406,156
322,323,299,571,195
323,324,1784,3388,497
324,325,37,67,30
325,326,1802,4307,545
326,327,172,427,144
327,328,448,1106,290
328,329,606,1161,214
329,330,141,345,157
330,331,315,736,258
331,332,210,536,161
332,333,303,571,197
333,334,204,539,236
334,335,248,663,270
335,336,25,59,43
336,337,103,246,125
337,338,87,178,101
338,339,20,23,20
339,340,40,94,55
340,341,245,507,134
341,342,60,138,70
342,343,1150,2536,361
343,344,125,300,176
344,345,8,20,11
345,346,135,370,121
346,347,34,64,35
347,348,128,234,103
348,349,111,293,93
349,350,22,47,35
350,351,508,1276,327
351,352,115,285,131
352,353,308,733,185
353,354,49,99,72
354,355,119,291,130
355,356,191,453,198
356,357,161,383,102
357,358,52,130,63
358,359,4,10,4
359,360,38,91,42
360,361,39,90,55
361,362,29,64,46
362,363,112,278,98
363,364,31,68,40
364,365,205,489,182
365,366,41,82,56
366,367,10,20,18
367,368,580,1216,283
368,369,655,1256,339
369,370,102,288,64
370,371,9,21,15
371,372,205,521,181
372,373,38,85,54
373,374,298,731,257
374,375,16,41,30
375,376,37,110,58
376,377,22,37,23
377,378,113,262,83
378,379,33,72,38
379,380,60,125,67
380,381,117,305,119
381,382,69,187,104
382,383,5,0,0
383,384,29,70,43
384,385,948,2005,410
385,386,246,515,148
386,387,252,550,188
387,388,102,228,126
388,389,89,195,92
389,390,47,104,52
390,391,147,291,126
391,392,350,773,235
392,393,13,30,23
393,394,31,81,46
394,395,68,144,43
395,396,422,891,281
396,397,10,29,17
397,398,60,153,89
398,399,261,608,190
399,400,108,231,68
400,401,4,6,5
401,402,56,131,53
402,403,104,225,70
403,404,48,118,59
404,405,24,55,33
405,406,86,210,52
406,407,37,106,54
407,408,6,12,10
408,409,52,100,68
409,410,45,64,28
410,411,30,64,22
411,412,282,657,255
412,413,12,20,15
413,414,571,1219,275
414,415,161,355,127
415,416,51,117,69
416,417,327,916,320
417,418,490,933,253
418,419,100,207,97
419,420,71,154,64
420,421,321,598,200
421,422,130,298,131
422,423,87,198,93
423,424,172,423,156
424,425,174,375,159
425,426,9,20,15
426,427,22,60,37
427,428,304,837,274
428,429,44,106,69
429,430,151,329,181
430,431,248,591,234
431,432,635,1590,256
432,433,175,439,188
433,434,217,478,156
434,435,119,276,111
435,436,163,387,160
436,437,8,14,13
437,438,13,30,25
438,439,97,134,31
439,440,531,1120,239
440,441,292,617,175
441,442,107,213,70
442,443,59,143,69
443,444,19,37,27
444,445,518,1212,219
445,446,95,203,132
446,447,390,925,279
447,448,2,7,6
448,449,910,2109,380
449,450,66,133,64
450,451,24,60,32
451,452,776,1746,349
452,453,16,35,21
453,454,244,600,175
454,455,93,190,112
455,456,15,29,22
456,457,45,94,44
457,458,39,96,50
458,459,119,263,99
459,460,233,462,184
460,461,1798,4269,520
461,462,554,1451,256
462,463,155,377,122
463,464,55,120,64
464,465,173,341,112
465,466,430,864,262
466,467,76,196,76
467,468,30,57,46
468,469,222,528,228
469,470,14,26,24
470,471,148,381,91
471,472,29,61,35
472,473,30,73,44
473,474,46,105,46
474,475,93,244,84
475,476,71,162,53
476,477,4,4,4
477,478,192,389,159
478,479,251,442,100
479,480,270,443,90
480,481,52,121,80
481,482,50,131,68
482,483,132,309,94
483,484,161,350,120
484,485,57,123,73
485,486,8,21,21
486,487,49,114,54
487,488,552,1267,344
488,489,41,81,44
489,490,161,316,127
490,491,6,13,11
491,492,360,829,217
492,493,300,700,198
493,494,30,87,35
494,495,138,301,128
495,496,37,88,63
496,497,118,237,83
497,498,266,638,174
498,499,177,386,150
499,500,26,50,31
500,501,135,313,115
501,502,35,75,43
502,503,1541,3340,322
503,504,205,443,189
504,505,205,371,122
505,506,249,601,186
506,507,102,273,86
507,508,4,6,5
508,509,3,5,4
509,510,77,201,118
510,511,12,32,22
511,512,133,306,155
512,513,112,257,150
513,514,30,59,57
514,515,20,41,32
515,516,333,807,258
516,517,1077,2464,377
517,518,22,52,35
518,519,12,30,20
519,520,51,105,64
520,521,18,44,30
