,tag,ct,cotag,cotag_u
0,1,498,801,214
1,2,338,446,122
2,3,91,163,73
3,4,25,34,30
4,5,54,103,51
5,6,164,247,105
6,7,130,165,88
7,8,2792,3287,355
8,9,36,58,24
9,10,75,106,48
10,11,7,11,11
11,12,6,14,8
12,13,350,436,148
13,14,21,37,24
14,15,319,496,172
15,16,17,24,20
16,17,195,295,97
17,18,38,70,27
18,19,213,292,95
19,20,12,20,20
20,21,35,54,34
21,22,22,26,20
22,23,13,24,17
23,24,45,62,37
24,25,251,289,104
25,26,75,152,42
26,27,30,43,27
27,28,179,257,112
28,29,25,32,24
29,30,26,38,22
30,31,31,49,36
31,32,9,15,12
32,33,67,102,60
33,34,60,90,58
34,35,269,434,142
35,36,72,108,63
36,37,44,73,44
37,38,449,569,202
38,39,87,130,66
39,40,61,79,51
40,41,101,178,58
41,42,24,46,35
42,43,94,146,57
43,44,425,792,140
44,45,38,83,17
45,46,172,250,117
46,47,346,474,132
47,48,7,13,8
48,49,34,45,30
49,50,12,16,12
50,51,40,57,40
51,52,5,1,1
52,53,51,76,39
53,54,71,78,40
54,55,15,22,15
55,56,74,153,67
56,57,70,106,58
57,58,5,8,8
58,59,19,29,23
59,60,59,79,47
60,61,224,339,106
61,62,272,433,166
62,63,38,64,35
63,64,7,8,7
64,65,15,19,18
65,66,118,103,49
66,67,101,144,53
67,68,14,30,10
68,69,10,15,11
69,70,289,307,120
70,71,8,14,10
71,72,324,388,123
72,73,13,13,11
73,74,239,409,165
74,75,79,143,73
75,76,167,268,96
76,77,28,49,42
77,78,559,951,107
78,79,23,33,20
79,80,26,31,19
80,81,18,28,16
81,82,91,140,65
82,83,143,212,68
83,84,401,298,103
84,85,67,79,38
85,86,97,175,83
86,87,51,91,51
87,88,158,265,80
88,89,206,349,178
89,90,17,25,18
90,91,13,25,16
91,92,134,145,70
92,93,62,110,51
93,94,15,18,15
94,95,72,127,64
95,96,118,151,56
96,97,31,60,32
97,98,75,96,55
98,99,149,246,84
99,100,200,328,113
100,101,57,105,48
101,102,68,118,51
102,103,183,243,91
103,104,18,23,16
104,105,87,132,70
105,106,5,5,5
106,107,14,14,12
107,108,34,56,31
108,109,36,57,36
109,110,763,1030,217
110,111,32,42,27
111,112,36,58,36
112,113,140,198,83
113,114,23,41,24
114,115,73,121,66
115,116,50,86,60
116,117,88,125,71
117,118,36,55,28
118,119,29,53,33
119,120,79,127,67
120,121,21,23,19
121,122,174,257,87
122,123,152,251,113
123,124,193,311,116
124,125,284,407,68
125,126,23,35,23
126,127,37,55,34
127,128,20,34,24
128,129,2,1,1
129,130,72,113,65
130,131,139,235,92
131,132,12,16,11
132,133,11,24,21
133,134,3,5,4
134,135,216,337,154
135,136,16,23,22
136,137,22,32,25
137,138,30,56,31
138,139,22,33,17
139,140,85,122,61
140,141,7,12,12
141,142,10,16,14
142,143,15,31,29
143,144,55,93,24
144,145,40,78,37
145,146,35,80,43
146,147,35,63,26
147,148,41,49,28
148,149,51,76,37
149,150,75,127,47
150,151,14,26,17
151,152,326,479,129
152,153,36,67,36
153,154,114,176,93
154,155,34,59,18
155,156,29,41,31
156,157,11,19,12
157,158,23,47,29
158,159,26,50,31
159,160,100,194,58
160,161,25,38,25
161,162,12,16,12
162,163,18,36,22
163,164,86,161,58
164,165,45,76,37
165,166,367,619,114
166,167,21,39,29
167,168,8,17,10
168,169,34,46,34
169,170,8,16,8
170,171,9,5,5
171,172,5,1,1
172,173,53,93,60
173,174,3,6,4
174,175,34,70,40
175,176,24,40,6
176,177,37,41,28
177,178,57,80,31
178,179,12,24,21
179,180,4,4,4
180,181,18,26,22
181,182,74,118,55
182,183,61,87,38
183,184,13,17,14
184,185,28,46,19
185,186,27,53,34
186,187,347,482,135
187,188,7,9,7
188,189,6,13,12
189,190,9,6,4
190,191,30,41,31
191,192,85,126,53
192,193,43,93,26
193,194,45,42,29
194,195,15,26,13
195,196,16,23,11
196,197,149,132,60
197,198,42,69,45
198,199,25,34,20
199,200,12,13,10
200,201,7,9,6
201,202,50,94,49
202,203,6,9,6
203,204,2,6,6
204,205,76,123,61
205,206,1,1,1
206,207,29,48,14
207,208,171,282,112
208,209,162,248,99
209,210,110,180,77
210,211,34,68,37
211,212,2,4,4
212,213,40,79,48
213,214,153,235,43
214,215,6,11,10
215,216,26,12,12
216,217,47,85,48
217,218,66,101,69
218,219,14,24,20
219,220,3,4,4
220,221,15,25,16
221,222,118,173,79
222,223,4,4,3
223,224,55,94,48
224,225,22,39,24
225,226,53,102,60
226,227,128,124,58
227,228,35,47,31
228,229,11,14,11
229,230,50,55,44
230,231,9,19,13
231,232,11,14,13
232,233,40,56,36
233,234,71,105,52
234,235,30,43,29
235,236,8,13,8
236,237,127,202,97
237,238,11,18,18
238,239,18,30,21
239,240,10,16,13
240,241,35,50,31
241,242,30,55,35
242,243,30,55,34
243,244,15,24,19
244,245,12,15,9
245,246,35,35,29
246,247,22,39,24
247,248,6,10,9
248,249,22,0,0
249,250,4,4,4
250,251,34,64,23
251,252,24,49,28
252,253,28,43,19
253,254,5,9,9
254,255,5,6,6
255,256,56,56,32
256,257,106,159,78
257,258,11,14,5
258,259,8,14,11
259,260,18,29,18
260,261,17,33,22
261,262,17,27,17
262,263,5,7,6
263,264,22,29,20
264,265,72,140,81
265,266,81,98,46
