,tag,ct,cotag,cotag_u
0,1,188,273,78
1,2,21,34,16
2,3,4,7,7
3,4,2,6,6
4,5,2,5,5
5,6,2,2,2
6,7,45,68,36
7,8,15,22,14
8,9,4,2,2
9,10,25,33,11
10,11,11,20,17
11,12,5,10,8
12,13,60,92,45
13,14,32,61,32
14,15,20,39,15
15,16,2,6,6
16,17,41,60,36
17,18,9,18,13
18,19,3,3,2
19,20,22,36,24
20,21,5,5,5
21,22,1,2,2
22,23,2,4,4
23,24,110,146,47
24,25,4,4,4
25,26,18,30,18
26,27,3,6,6
27,28,13,21,13
28,29,5,10,9
29,30,10,22,19
30,31,4,8,7
31,32,2,2,2
32,33,1,3,3
33,34,10,17,15
34,35,28,47,31
35,36,1,3,3
36,37,50,74,41
37,38,6,13,11
38,39,3,6,6
39,40,3,5,4
40,41,8,17,10
41,42,1,3,3
42,43,8,12,10
43,44,11,19,14
44,45,1,3,3
45,46,2,2,2
46,47,20,35,17
47,48,1,3,3
48,49,30,53,38
49,50,12,22,13
50,51,69,108,51
51,52,1,2,2
52,53,1,4,4
53,54,5,10,7
54,55,3,7,5
55,56,2,3,3
56,57,4,7,6
57,58,3,6,5
58,59,2,2,1
59,60,24,37,16
60,61,54,97,49
61,62,2,5,5
62,63,1,3,3
63,64,1,3,3
64,65,2,1,1
65,66,14,20,19
66,67,1,4,4
67,68,1,4,4
68,69,1,4,4
69,70,1,4,4
70,71,3,3,3
71,72,1,2,2
72,73,14,23,17
73,74,4,8,6
74,75,1,1,1
75,76,3,5,5
76,77,3,4,4
77,78,14,17,10
78,79,2,3,2
79,80,2,3,2
80,81,16,28,20
81,82,1,0,0
82,83,16,25,18
83,84,6,11,9
84,85,2,3,2
85,86,5,5,5
86,87,9,20,10
87,88,15,33,21
88,89,1,4,4
89,90,1,4,4
90,91,1,4,4
91,92,19,28,15
92,93,1,0,0
93,94,3,4,3
94,95,8,8,5
95,96,2,2,2
96,97,3,3,3
97,98,37,63,29
98,99,3,3,1
99,100,1,0,0
100,101,4,8,8
101,102,1,3,3
102,103,1,3,3
103,104,1,2,2
104,105,2,4,4
105,106,13,27,24
106,107,25,28,17
107,108,3,7,3
108,109,2,4,4
109,110,1,1,1
110,111,7,9,6
111,112,1,4,4
112,113,1,4,4
113,114,10,14,10
114,115,1,2,2
115,116,2,3,3
116,117,1,1,1
117,118,3,5,5
118,119,6,10,9
119,120,3,7,7
120,121,86,126,49
121,122,22,24,15
122,123,2,5,5
123,124,4,12,11
124,125,1,4,4
125,126,2,3,3
126,127,1,3,3
127,128,4,8,8
128,129,2,5,5
129,130,1,2,2
130,131,1,0,0
131,132,1,2,2
132,133,4,5,4
133,134,5,12,6
134,135,2,5,5
135,136,1,2,2
136,137,3,4,4
137,138,14,22,15
138,139,1,2,2
139,140,12,18,13
140,141,1,2,2
141,142,1,4,4
142,143,2,7,6
143,144,1,4,4
144,145,5,9,9
145,146,3,7,5
146,147,1,3,3
147,148,1,3,3
148,149,1,0,0
149,150,1,4,4
150,151,1,4,4
151,152,1,4,4
152,153,12,19,11
153,154,8,15,8
154,155,25,45,21
155,156,6,11,6
156,157,15,17,9
157,158,2,5,5
158,159,6,9,7
159,160,2,4,4
160,161,1,0,0
161,162,2,4,4
162,163,1,2,2
163,164,4,7,5
164,165,1,4,4
165,166,5,8,6
166,167,1,3,3
167,168,1,3,3
168,169,2,6,6
169,170,4,7,4
170,171,1,4,4
171,172,1,4,4
172,173,1,4,4
173,174,1,3,3
174,175,1,3,3
175,176,13,21,12
176,177,1,1,1
177,178,1,1,1
178,179,1,0,0
179,180,2,2,2
180,181,1,3,3
181,182,1,1,1
182,183,1,4,4
183,184,3,6,6
184,185,1,4,4
185,186,1,4,4
186,187,1,2,2
187,188,2,3,3
188,189,1,3,3
189,190,1,2,2
190,191,4,8,7
191,192,3,3,2
192,193,10,15,13
193,194,1,3,3
194,195,1,3,3
195,196,3,5,5
196,197,3,2,2
197,198,5,7,6
198,199,1,2,2
199,200,1,2,2
200,201,1,2,2
201,202,3,5,5
202,203,1,1,1
203,204,1,2,2
204,205,10,20,12
205,206,2,6,6
206,207,1,3,3
207,208,2,6,6
208,209,2,6,6
209,210,1,3,3
210,211,1,3,3
211,212,1,3,3
212,213,2,4,3
213,214,1,3,3
214,215,25,41,25
215,216,1,1,1
216,217,2,5,5
217,218,1,4,4
218,219,1,4,4
219,220,4,11,6
220,221,5,10,8
221,222,5,10,9
222,223,1,4,4
223,224,1,4,4
224,225,1,4,4
225,226,2,4,4
226,227,3,9,7
227,228,3,7,6
228,229,1,3,3
229,230,1,3,3
230,231,1,1,1
231,232,2,3,2
232,233,1,2,2
233,234,8,16,12
234,235,1,1,1
235,236,3,4,3
236,237,10,22,10
237,238,2,5,4
238,239,1,2,2
239,240,1,2,2
240,241,1,3,3
241,242,1,2,2
242,243,1,2,2
243,244,1,2,2
244,245,1,0,0
245,246,1,1,1
246,247,1,1,1
247,248,1,1,1
