,tag,ct,cotag,cotag_u
0,1,17,4,3
1,2,123,80,26
2,3,11,13,8
3,4,13,12,9
4,5,12,16,7
5,6,12,13,8
6,7,28,9,7
7,8,14,14,6
8,9,28,22,14
9,10,11,9,6
10,11,37,22,10
11,12,11,13,6
12,13,3,4,4
13,14,72,35,16
14,15,25,23,13
15,16,44,29,19
16,17,22,13,8
17,18,28,18,10
18,19,4,2,2
19,20,3,0,0
20,21,4,1,1
21,22,2,2,2
22,23,2,0,0
23,24,2,1,1
24,25,8,5,4
25,26,2,2,2
26,27,19,14,8
27,28,2,1,1
28,29,30,8,7
29,30,4,1,1
30,31,10,11,9
31,32,159,92,36
32,33,29,36,18
33,34,15,20,8
34,35,53,48,22
35,36,36,27,15
36,37,4,4,4
37,38,18,14,9
38,39,11,11,7
39,40,3,1,1
40,41,87,52,16
41,42,4,0,0
42,43,2,2,2
43,44,9,8,2
44,45,212,70,18
45,46,3,3,2
46,47,31,14,8
47,48,14,13,8
48,49,3,3,2
49,50,4,6,6
50,51,32,21,10
51,52,28,32,20
52,53,6,2,2
53,54,6,8,8
54,55,50,43,18
55,56,8,10,5
56,57,2,4,3
57,58,6,5,5
58,59,7,4,4
59,60,5,4,3
60,61,9,5,5
61,62,4,2,2
62,63,2,3,3
63,64,7,5,4
64,65,3,3,3
65,66,4,4,4
66,67,2,2,1
67,68,10,7,7
68,69,2,1,1
69,70,3,2,2
70,71,9,4,4
71,72,3,1,1
72,73,2,1,1
73,74,5,2,2
74,75,2,4,4
75,76,4,1,1
76,77,3,3,3
77,78,9,2,2
78,79,3,5,5
79,80,2,2,2
80,81,3,4,2
81,82,2,2,1
82,83,3,1,1
83,84,3,0,0
84,85,3,4,4
85,86,3,3,3
86,87,2,2,1
87,88,3,1,1
88,89,2,2,2
89,90,1,1,1
90,91,1,2,2
91,92,1,2,2
92,93,1,2,2
93,94,1,1,1
