,tag,ct,cotag,cotag_u
0,1,267,529,107
1,2,145,248,65
2,3,22,48,33
3,4,7,14,5
4,5,209,478,117
5,6,86,175,66
6,7,776,1507,163
7,8,43,138,57
8,9,30,55,28
9,10,242,515,115
10,11,24,59,37
11,12,129,314,89
12,13,16,23,14
13,14,763,1577,178
14,15,52,121,48
15,16,7,20,13
16,17,16,39,18
17,18,24,49,28
18,19,79,151,61
19,20,6,13,7
20,21,43,106,39
21,22,46,100,43
22,23,9,18,9
23,24,5,6,4
24,25,18,36,17
25,26,519,1198,145
26,27,12,27,18
27,28,404,1010,142
28,29,44,102,52
29,30,4,5,5
30,31,3,3,3
31,32,7,11,10
32,33,9,19,14
33,34,30,65,31
34,35,12,27,18
35,36,34,73,42
36,37,15,30,27
37,38,105,215,81
38,39,17,38,23
39,40,10,18,14
40,41,272,663,116
41,42,212,541,110
42,43,24,53,22
43,44,11,22,20
44,45,18,39,24
45,46,187,412,127
46,47,81,180,72
47,48,388,828,142
48,49,5,14,12
49,50,7,18,10
50,51,19,30,20
51,52,159,424,111
52,53,267,514,117
53,54,26,70,37
54,55,9,21,21
55,56,23,53,33
56,57,33,70,40
57,58,9,16,13
58,59,39,78,45
59,60,72,174,63
60,61,11,27,15
61,62,28,63,35
62,63,4,9,9
63,64,3,8,7
64,65,42,91,44
65,66,181,341,91
66,67,6,14,11
67,68,6,7,7
68,69,23,43,27
69,70,49,124,55
70,71,13,31,25
71,72,203,412,95
72,73,25,77,41
73,74,136,316,73
74,75,27,56,35
75,76,7,11,10
76,77,3,8,8
77,78,127,269,54
78,79,25,54,27
79,80,4,10,8
80,81,3,8,7
81,82,8,23,13
82,83,13,39,28
83,84,30,64,41
84,85,6,11,10
85,86,33,74,41
86,87,106,254,69
87,88,1,1,1
88,89,14,26,23
89,90,64,148,51
90,91,10,17,15
91,92,9,21,19
92,93,18,36,25
93,94,58,173,59
94,95,7,19,14
95,96,21,33,22
96,97,48,115,37
97,98,7,12,12
98,99,752,1712,168
99,100,21,47,29
100,101,62,164,64
101,102,90,220,41
102,103,12,29,17
103,104,6,8,7
104,105,11,25,16
105,106,8,22,14
106,107,4,7,6
107,108,9,16,14
108,109,11,15,12
109,110,19,45,24
110,111,12,18,15
111,112,26,63,41
112,113,15,23,17
113,114,33,63,38
114,115,22,48,29
115,116,44,103,46
116,117,9,13,10
117,118,38,97,49
118,119,24,60,25
119,120,8,18,15
120,121,38,85,35
121,122,103,260,86
122,123,1,1,1
123,124,3,5,4
124,125,17,41,17
125,126,5,14,12
126,127,29,67,31
127,128,131,296,89
128,129,3,5,5
129,130,9,22,13
130,131,2,4,3
131,132,41,107,55
132,133,8,17,13
133,134,13,37,19
134,135,20,51,30
135,136,7,17,13
136,137,19,52,38
137,138,45,95,39
138,139,12,25,19
139,140,54,132,59
140,141,36,70,37
141,142,1,3,3
142,143,86,172,67
143,144,31,81,44
144,145,5,12,12
145,146,5,6,6
146,147,21,61,16
147,148,18,55,19
148,149,2,7,5
149,150,9,16,14
150,151,60,130,52
151,152,17,40,26
152,153,23,52,34
153,154,10,23,17
154,155,48,126,44
155,156,47,105,47
156,157,11,26,19
157,158,29,48,30
158,159,6,10,5
159,160,18,46,26
160,161,17,34,21
161,162,11,21,15
162,163,11,35,27
163,164,8,26,21
164,165,20,50,35
165,166,37,64,37
166,167,47,105,43
167,168,72,189,76
168,169,2,3,3
169,170,9,17,14
170,171,8,18,14
171,172,1,0,0
172,173,5,15,10
173,174,15,37,25
174,175,8,17,13
175,176,2,4,4
176,177,1,2,2
177,178,51,125,32
178,179,2,3,2
179,180,12,27,17
180,181,22,48,27
181,182,10,18,16
182,183,12,31,15
183,184,19,43,32
184,185,19,51,29
185,186,4,13,11
186,187,79,177,34
187,188,216,496,93
188,189,49,138,65
189,190,6,11,10
190,191,9,17,16
191,192,3,8,8
192,193,16,41,15
193,194,70,165,40
194,195,14,32,22
195,196,5,10,7
196,197,35,71,26
197,198,10,24,18
198,199,9,21,19
199,200,3,9,9
200,201,18,33,16
201,202,48,101,41
202,203,8,20,16
203,204,8,21,15
204,205,18,47,24
205,206,4,8,7
206,207,18,57,30
207,208,4,11,7
208,209,4,11,9
209,210,12,24,21
210,211,8,15,9
211,212,110,269,55
212,213,6,14,12
213,214,6,16,13
214,215,2,6,5
215,216,2,6,6
216,217,26,55,37
217,218,25,54,17
218,219,4,6,5
219,220,4,13,10
220,221,1,3,3
221,222,3,5,5
222,223,8,13,12
223,224,1,2,2
224,225,4,9,9
225,226,16,34,18
226,227,37,100,36
227,228,7,19,14
228,229,6,22,18
229,230,5,10,8
230,231,12,27,14
231,232,8,19,11
232,233,15,36,22
233,234,16,50,22
234,235,3,5,3
235,236,18,43,20
236,237,3,6,6
237,238,4,8,8
238,239,6,10,8
239,240,155,306,63
240,241,2,5,5
241,242,2,4,2
242,243,6,11,10
243,244,2,6,6
244,245,4,9,8
245,246,11,32,17
246,247,4,9,8
247,248,20,50,23
248,249,67,147,65
249,250,9,13,12
250,251,1,1,1
251,252,5,9,7
252,253,2,4,4
