,tag,ct,cotag,cotag_u
0,1,198,439,82
1,2,311,620,116
2,3,685,1374,220
3,4,31,61,41
4,5,75,162,82
5,6,835,1545,216
6,7,70,124,53
7,8,429,879,188
8,9,688,1404,187
9,10,503,1064,155
10,11,78,226,79
11,12,113,254,78
12,13,20,40,21
13,14,74,155,66
14,15,46,99,43
15,16,21,37,24
16,17,24,57,36
17,18,15,37,32
18,19,40,77,35
19,20,219,454,94
20,21,22,53,25
21,22,9,26,12
22,23,13,36,27
23,24,14,35,30
24,25,64,135,63
25,26,6,13,11
26,27,361,770,169
27,28,213,483,117
28,29,848,1770,234
29,30,22,46,30
30,31,190,378,97
31,32,61,128,56
32,33,45,95,40
33,34,388,852,188
34,35,52,93,51
35,36,104,244,89
36,37,440,1063,187
37,38,515,1131,174
38,39,6,15,10
39,40,89,128,59
40,41,28,64,32
41,42,316,663,162
42,43,80,171,68
43,44,31,69,42
44,45,207,473,127
45,46,60,113,23
46,47,74,151,49
47,48,137,232,94
48,49,94,234,74
49,50,100,203,60
50,51,54,120,54
51,52,16,40,28
52,53,178,352,104
53,54,29,51,26
54,55,8,14,13
55,56,10,14,11
56,57,48,104,61
57,58,58,111,58
58,59,111,222,82
59,60,6,9,8
60,61,65,160,63
61,62,56,141,45
62,63,30,67,21
63,64,152,284,81
64,65,36,87,54
65,66,179,409,124
66,67,50,118,42
67,68,14,28,18
68,69,91,181,83
69,70,15,39,20
70,71,33,80,45
71,72,37,93,41
72,73,15,33,21
73,74,14,33,27
74,75,18,29,19
75,76,19,46,30
76,77,203,433,94
77,78,26,48,21
78,79,26,57,36
79,80,117,295,89
80,81,168,415,129
81,82,11,25,17
82,83,21,39,20
83,84,53,132,61
84,85,27,66,28
85,86,28,64,31
86,87,7,15,6
87,88,59,125,57
88,89,5,9,8
89,90,473,1115,201
90,91,17,37,27
91,92,3,5,5
92,93,32,74,34
93,94,12,36,21
94,95,59,121,62
95,96,11,27,9
96,97,61,127,61
97,98,92,201,71
98,99,21,50,33
99,100,11,26,19
100,101,13,24,17
101,102,239,502,141
102,103,147,370,87
103,104,154,343,116
104,105,151,216,83
105,106,74,133,75
106,107,17,38,20
107,108,6,13,12
108,109,21,46,39
109,110,5,6,5
110,111,371,938,177
111,112,113,227,82
112,113,35,94,44
113,114,145,288,101
114,115,6,8,6
115,116,21,46,28
116,117,27,67,37
117,118,20,54,26
118,119,29,68,37
119,120,7,18,13
120,121,61,133,71
121,122,37,68,32
122,123,192,351,102
123,124,43,89,42
124,125,27,55,33
125,126,19,35,28
126,127,10,19,13
127,128,64,98,55
128,129,26,63,41
129,130,9,22,20
130,131,15,28,25
131,132,77,185,76
132,133,12,20,16
133,134,23,31,17
134,135,10,18,17
135,136,72,164,63
136,137,39,65,39
137,138,3,7,7
138,139,86,198,72
139,140,14,29,22
140,141,103,170,69
141,142,2,2,2
142,143,7,16,10
143,144,16,35,28
144,145,22,44,30
145,146,18,44,33
146,147,63,142,58
147,148,35,60,25
148,149,23,45,36
149,150,5,9,7
150,151,104,211,63
151,152,18,48,26
152,153,46,109,46
153,154,186,401,138
154,155,10,26,15
155,156,11,17,15
156,157,4,4,4
157,158,157,351,110
158,159,3,4,4
159,160,42,78,38
160,161,3,3,3
161,162,2,1,1
162,163,7,9,7
163,164,140,318,108
164,165,14,40,24
165,166,29,69,24
166,167,36,89,51
167,168,3,6,5
168,169,28,53,33
169,170,70,168,63
170,171,12,28,21
171,172,7,21,18
172,173,14,27,16
173,174,8,12,10
174,175,87,213,72
175,176,62,122,45
176,177,200,458,127
177,178,31,75,42
178,179,78,173,61
179,180,31,55,25
180,181,19,22,21
181,182,21,37,19
182,183,7,17,15
183,184,52,112,67
184,185,27,65,37
185,186,29,77,52
186,187,16,27,22
187,188,9,13,10
188,189,12,27,20
189,190,9,22,17
190,191,20,44,26
191,192,49,119,39
192,193,12,21,10
193,194,26,35,29
194,195,19,35,21
195,196,6,15,13
196,197,30,49,27
197,198,17,34,21
198,199,63,169,60
199,200,10,27,13
200,201,12,21,17
201,202,10,25,18
202,203,9,20,18
203,204,7,14,11
204,205,33,66,38
205,206,73,153,72
206,207,21,36,25
207,208,4,6,5
208,209,7,17,12
209,210,39,98,44
210,211,11,25,16
211,212,16,31,19
212,213,5,12,10
213,214,17,28,24
214,215,3,11,11
215,216,61,129,53
216,217,15,32,15
217,218,7,18,15
218,219,11,27,18
219,220,22,50,34
220,221,33,91,43
221,222,9,17,14
222,223,7,12,9
223,224,11,19,16
224,225,16,30,19
225,226,7,16,12
226,227,78,190,84
227,228,1,1,1
228,229,3,7,5
229,230,9,13,13
230,231,2,2,2
231,232,6,13,10
232,233,6,15,12
233,234,107,243,78
234,235,15,38,23
235,236,10,25,18
236,237,27,53,27
237,238,30,60,42
238,239,11,25,20
239,240,37,71,32
240,241,3,2,2
241,242,29,58,35
242,243,13,27,20
243,244,8,22,13
244,245,5,13,8
245,246,13,31,18
246,247,7,12,10
247,248,15,31,25
248,249,71,159,40
249,250,30,56,34
250,251,30,72,55
251,252,37,80,44
252,253,8,23,14
253,254,17,35,31
254,255,4,11,11
255,256,1,1,1
256,257,29,71,36
257,258,11,17,15
258,259,23,56,35
259,260,9,15,12
260,261,21,38,26
261,262,43,105,44
262,263,25,54,36
263,264,42,66,29
264,265,4,8,6
265,266,7,13,10
266,267,26,74,48
267,268,55,136,46
268,269,4,5,4
269,270,18,30,21
270,271,13,32,18
271,272,75,176,61
272,273,29,61,44
273,274,23,56,41
274,275,4,5,5
275,276,1,0,0
276,277,11,19,15
277,278,33,88,36
278,279,44,92,39
279,280,16,34,26
280,281,3,3,2
281,282,9,23,21
282,283,6,11,11
283,284,9,16,11
284,285,10,17,15
285,286,5,15,12
286,287,156,397,114
287,288,20,41,30
288,289,15,30,21
289,290,6,21,13
290,291,72,147,54
291,292,8,21,17
292,293,14,28,18
293,294,19,41,28
294,295,14,39,29
295,296,21,54,25
296,297,18,31,25
297,298,4,9,9
298,299,27,68,30
299,300,16,33,19
300,301,61,169,70
301,302,21,43,30
302,303,16,43,29
303,304,9,22,14
304,305,17,44,26
305,306,2,3,2
306,307,15,32,22
307,308,26,56,34
308,309,3,8,7
309,310,3,4,2
310,311,8,14,9
311,312,7,8,7
312,313,17,46,31
313,314,3,9,8
314,315,7,16,15
315,316,2,5,4
316,317,3,4,4
317,318,9,23,19
318,319,19,41,29
319,320,10,25,21
320,321,19,50,30
321,322,2,3,3
322,323,12,38,34
323,324,14,33,26
324,325,13,24,18
325,326,4,13,7
326,327,5,17,9
327,328,8,9,8
328,329,2,2,2
329,330,17,32,22
330,331,5,12,10
331,332,4,15,13
332,333,8,19,19
333,334,17,38,32
334,335,6,17,12
335,336,1,4,4
336,337,1,4,4
337,338,4,7,6
338,339,6,13,11
339,340,21,46,23
340,341,4,10,9
341,342,13,33,24
342,343,14,40,26
343,344,3,6,4
344,345,16,40,19
345,346,4,6,5
346,347,7,21,16
347,348,7,13,12
348,349,12,31,21
349,350,14,36,21
350,351,9,22,17
351,352,10,27,17
352,353,4,11,10
353,354,12,24,15
354,355,14,40,29
355,356,16,32,25
356,357,6,14,9
357,358,14,33,26
358,359,5,14,10
359,360,6,10,9
360,361,13,44,34
361,362,9,23,20
362,363,3,5,5
363,364,10,16,15
364,365,7,13,10
365,366,5,12,11
366,367,17,47,18
367,368,2,5,4
368,369,10,34,26
369,370,7,19,14
370,371,3,10,7
371,372,6,18,14
372,373,3,7,7
373,374,2,5,5
374,375,11,15,15
375,376,4,6,6
376,377,8,12,11
377,378,15,26,15
378,379,4,8,7
379,380,5,10,8
380,381,5,6,5
381,382,2,4,4
382,383,7,11,11
383,384,4,10,10
384,385,15,32,24
385,386,5,10,8
386,387,3,5,5
387,388,6,8,5
