,tag,ct,cotag,cotag_u
0,1,262,407,78
1,2,5,10,10
2,3,43,73,32
3,4,109,187,54
4,5,21,42,26
5,6,101,175,47
6,7,32,47,23
7,8,41,74,38
8,9,17,21,15
9,10,39,64,34
10,11,79,137,47
11,12,139,250,54
12,13,15,28,17
13,14,66,124,39
14,15,44,81,32
15,16,4,7,5
16,17,53,98,32
17,18,6,10,9
18,19,8,17,12
19,20,9,22,8
20,21,92,138,44
21,22,7,15,12
22,23,9,19,13
23,24,28,65,27
24,25,7,14,9
25,26,3,7,7
26,27,56,108,43
27,28,18,36,14
28,29,123,188,41
29,30,9,20,9
30,31,9,15,14
31,32,3,6,4
32,33,15,33,24
33,34,240,351,70
34,35,9,20,14
35,36,23,38,18
36,37,8,14,11
37,38,14,26,15
38,39,55,83,33
39,40,29,43,27
40,41,16,40,28
41,42,38,70,28
42,43,126,241,52
43,44,49,95,42
44,45,12,17,14
45,46,16,31,22
46,47,6,8,8
47,48,19,24,14
48,49,62,106,48
49,50,19,36,22
50,51,36,57,36
51,52,43,71,34
52,53,70,124,44
53,54,43,57,28
54,55,7,13,11
55,56,17,27,15
56,57,4,3,3
57,58,22,41,23
58,59,28,42,27
59,60,19,31,14
60,61,9,20,13
61,62,3,4,3
62,63,2,1,1
63,64,18,33,19
64,65,76,133,46
65,66,5,5,5
66,67,14,18,13
67,68,35,58,30
68,69,29,34,23
69,70,1,3,3
70,71,3,3,3
71,72,24,43,29
72,73,7,10,9
73,74,3,6,6
74,75,16,18,13
75,76,34,65,19
76,77,18,28,18
77,78,63,105,39
78,79,8,16,12
79,80,8,14,14
80,81,1,1,1
81,82,4,7,6
82,83,2,3,3
83,84,62,118,45
84,85,11,0,0
85,86,83,183,49
86,87,13,19,12
87,88,8,14,13
88,89,62,117,54
89,90,4,5,5
90,91,10,21,15
91,92,5,4,2
92,93,7,10,8
93,94,1,0,0
94,95,4,5,5
95,96,30,49,24
96,97,11,18,12
97,98,11,20,11
98,99,2,5,5
99,100,5,9,8
100,101,4,6,6
101,102,2,5,5
102,103,5,10,6
103,104,2,4,4
104,105,9,13,10
105,106,4,4,4
106,107,8,11,10
107,108,10,13,12
108,109,2,6,6
109,110,3,7,6
110,111,8,11,11
111,112,2,1,1
112,113,5,8,8
113,114,3,7,5
114,115,2,0,0
115,116,1,3,3
116,117,2,2,2
117,118,1,1,1
