,tag,ct,cotag,cotag_u
0,1,514,910,154
1,2,149,343,98
2,3,19,36,21
3,4,1440,2508,161
4,5,209,369,58
5,6,42,108,24
6,7,22,46,21
7,8,477,754,113
8,9,74,164,54
9,10,31,66,35
10,11,133,258,48
11,12,125,240,65
12,13,121,213,49
13,14,61,157,33
14,15,11,30,13
15,16,940,1255,151
16,17,1026,1508,164
17,18,286,460,88
18,19,454,774,112
19,20,124,235,68
20,21,72,125,32
21,22,27,63,20
22,23,53,81,36
23,24,43,80,30
24,25,8,14,9
25,26,781,1338,140
26,27,530,1141,136
27,28,26,47,12
28,29,147,268,77
29,30,86,189,62
30,31,5,9,9
31,32,52,97,42
32,33,48,65,32
33,34,287,555,102
34,35,77,137,40
35,36,132,256,84
36,37,185,377,104
37,38,45,80,25
38,39,22,41,22
39,40,68,141,51
40,41,476,861,107
41,42,58,136,60
42,43,25,68,39
43,44,807,1188,140
44,45,140,261,78
45,46,6,13,8
46,47,318,456,107
47,48,59,96,39
48,49,61,111,37
49,50,20,40,25
50,51,70,178,45
51,52,103,163,30
52,53,123,206,63
53,54,56,114,33
54,55,197,333,65
55,56,144,293,66
56,57,9,15,6
57,58,234,475,94
58,59,115,202,62
59,60,66,164,60
60,61,16,26,18
61,62,148,267,66
62,63,28,71,36
63,64,125,168,52
64,65,52,77,29
65,66,7,13,7
66,67,13,25,14
67,68,8,17,14
68,69,62,145,55
69,70,132,262,73
70,71,81,116,39
71,72,34,68,22
72,73,18,37,24
73,74,62,127,49
74,75,11,19,16
75,76,92,250,60
76,77,262,530,110
77,78,50,63,40
78,79,12,28,18
79,80,21,37,17
80,81,80,187,52
81,82,54,109,42
82,83,20,40,22
83,84,11,22,11
84,85,57,101,37
85,86,244,417,63
86,87,144,293,52
87,88,52,141,58
88,89,5,10,9
89,90,32,54,29
90,91,117,239,73
91,92,6,16,8
92,93,58,111,31
93,94,36,64,19
94,95,36,63,31
95,96,6,8,7
96,97,12,18,12
97,98,27,62,23
98,99,45,104,45
99,100,23,56,36
100,101,27,37,24
101,102,17,40,21
102,103,48,112,45
103,104,28,60,27
104,105,3,6,6
105,106,7,11,9
106,107,13,23,12
107,108,31,67,28
