,tag,ct,cotag,cotag_u
0,1,920,2044,321
1,2,556,1060,173
2,3,343,802,182
3,4,3014,6679,450
4,5,5647,12337,598
5,6,164,352,100
6,7,130,337,113
7,8,1582,4000,408
8,9,237,538,152
9,10,17,40,32
10,11,14,24,21
11,12,22,45,36
12,13,126,222,83
13,14,2684,6935,468
14,15,256,611,175
15,16,114,264,106
16,17,3105,6856,467
17,18,82,167,58
18,19,2047,4564,429
19,20,214,536,166
20,21,3487,7546,562
21,22,908,2282,357
22,23,948,2439,357
23,24,159,200,117
24,25,110,249,112
25,26,43,91,57
26,27,9520,16797,698
27,28,131,294,117
28,29,21,51,29
29,30,53,124,40
30,31,41,106,53
31,32,912,2373,304
32,33,518,1082,202
33,34,32,51,30
34,35,344,791,204
35,36,31,59,30
36,37,11,30,16
37,38,316,637,171
38,39,7,19,13
39,40,107,265,110
40,41,1256,3172,327
41,42,147,351,109
42,43,38,94,54
43,44,24,55,32
44,45,58,105,64
45,46,24,28,22
46,47,55,138,64
47,48,116,313,75
48,49,179,432,113
49,50,121,297,102
50,51,181,378,127
51,52,11,19,12
52,53,288,666,197
53,54,138,263,127
54,55,10,11,7
55,56,14,28,20
56,57,294,678,177
57,58,20,44,32
58,59,219,483,150
59,60,3702,8459,480
60,61,23,53,32
61,62,12,21,15
62,63,209,408,127
63,64,82,194,76
64,65,46,121,74
65,66,65,181,57
66,67,106,277,111
67,68,26,56,37
68,69,15,24,20
69,70,1342,2461,385
70,71,11,16,6
71,72,457,1041,172
72,73,21,45,36
73,74,51,105,70
74,75,44,111,46
75,76,623,1252,187
76,77,143,322,123
77,78,1755,3931,325
78,79,38,111,54
79,80,215,476,152
80,81,54,131,64
81,82,102,161,69
82,83,1113,2297,328
83,84,638,1307,201
84,85,40,94,45
85,86,6,11,9
86,87,381,1001,197
87,88,279,623,134
88,89,1954,4338,339
89,90,737,1761,216
90,91,669,1688,253
91,92,55,94,65
92,93,17,47,30
93,94,68,83,31
94,95,970,2251,284
95,96,19,51,28
96,97,252,383,104
97,98,56,85,47
98,99,16,36,24
99,100,6,17,13
100,101,215,453,129
101,102,241,636,148
102,103,12,26,18
103,104,60,128,56
104,105,152,358,108
105,106,6,17,13
106,107,26,62,33
107,108,12,31,18
108,109,539,1275,225
109,110,15,37,21
110,111,75,133,67
111,112,27,54,43
112,113,1096,2555,322
113,114,13,31,20
114,115,506,1077,275
115,116,73,124,71
116,117,137,301,89
117,118,299,749,193
118,119,80,172,50
119,120,470,1139,211
120,121,1161,2619,317
121,122,6,7,6
122,123,26,76,33
123,124,198,463,133
124,125,31,81,37
125,126,247,661,204
126,127,169,293,130
127,128,28,68,36
128,129,89,157,60
129,130,7,21,10
130,131,108,167,72
131,132,9,19,15
132,133,77,172,90
133,134,134,181,74
134,135,6,14,10
135,136,67,139,56
136,137,94,223,74
137,138,27,44,23
138,139,7,11,8
139,140,181,488,121
140,141,1454,3791,327
141,142,789,1979,208
142,143,56,164,43
143,144,77,69,29
144,145,1454,3336,327
145,146,65,99,60
146,147,2,4,4
147,148,152,289,108
148,149,268,685,140
149,150,358,824,149
150,151,17,31,20
151,152,107,303,100
152,153,35,102,40
153,154,281,554,135
154,155,349,891,232
155,156,167,375,119
156,157,112,262,46
157,158,24,55,20
158,159,4,6,5
159,160,42,109,50
160,161,13,34,22
161,162,80,120,71
162,163,88,238,74
163,164,27,55,28
164,165,19,34,25
165,166,506,1301,211
166,167,530,1394,226
167,168,138,382,136
168,169,17,41,26
169,170,18,45,32
170,171,371,801,164
171,172,79,162,51
172,173,26,44,33
173,174,404,839,229
174,175,5,9,6
175,176,19,38,27
176,177,152,386,139
177,178,30,58,37
178,179,45,106,51
179,180,349,838,192
180,181,196,436,148
181,182,90,224,106
182,183,11,20,16
183,184,530,1374,146
184,185,16,24,22
185,186,73,182,66
186,187,7,16,13
187,188,8,23,14
188,189,231,517,125
189,190,55,143,74
190,191,16,35,22
191,192,16,33,24
192,193,26,72,28
193,194,114,254,103
194,195,25,44,29
195,196,27,53,23
196,197,50,111,55
197,198,35,68,35
198,199,9,15,14
199,200,103,216,56
200,201,16,34,23
201,202,33,67,30
202,203,595,1531,296
203,204,136,310,117
204,205,36,100,43
205,206,368,797,128
206,207,64,160,52
207,208,15,47,26
208,209,11,19,16
209,210,223,471,137
210,211,195,464,132
211,212,294,706,139
212,213,46,86,56
213,214,8,16,14
214,215,178,454,98
215,216,3,4,4
216,217,24,75,42
217,218,728,1535,193
218,219,10,25,20
219,220,35,90,41
220,221,5,6,5
221,222,153,323,119
222,223,31,70,38
223,224,31,60,47
224,225,55,147,56
225,226,8,15,10
226,227,79,155,74
227,228,12,33,20
228,229,158,345,107
229,230,17,26,20
230,231,17,40,22
231,232,54,141,59
232,233,147,239,54
233,234,22,43,12
234,235,327,832,195
235,236,302,818,146
236,237,12,26,18
237,238,124,312,88
238,239,425,1013,202
239,240,24,50,24
240,241,73,194,81
241,242,12,11,6
242,243,5,6,2
243,244,881,2215,273
244,245,4,4,4
245,246,18,45,27
246,247,6,20,15
247,248,2,1,1
248,249,328,715,128
249,250,30,55,32
250,251,36,86,48
251,252,7,14,13
252,253,46,129,49
253,254,8,9,7
254,255,11,12,9
255,256,2,3,3
256,257,20,37,24
257,258,3,5,5
258,259,12,25,22
259,260,15,37,24
260,261,27,57,31
261,262,68,175,65
262,263,166,393,113
263,264,62,162,79
264,265,82,242,93
265,266,47,68,17
266,267,6,10,7
267,268,54,126,59
268,269,70,155,64
269,270,63,144,70
270,271,117,264,91
271,272,116,321,122
272,273,272,691,170
273,274,303,744,116
274,275,140,360,128
275,276,67,141,63
276,277,56,123,63
277,278,116,281,97
278,279,16,45,21
279,280,26,69,46
280,281,21,44,30
281,282,270,582,144
282,283,8,20,15
283,284,52,127,39
284,285,92,250,96
285,286,341,871,174
286,287,13,21,19
287,288,149,202,94
288,289,187,349,128
289,290,16,20,13
290,291,11,16,12
291,292,3,4,2
292,293,559,1242,256
293,294,345,909,175
294,295,73,190,80
295,296,169,387,96
296,297,31,76,47
297,298,18,36,15
298,299,551,1344,204
299,300,88,227,88
300,301,85,179,75
301,302,34,68,36
302,303,127,332,113
303,304,41,109,59
304,305,25,72,45
305,306,30,53,31
306,307,68,158,67
307,308,136,372,120
308,309,3,11,11
309,310,62,158,72
310,311,10,18,14
