,tag,ct,cotag,cotag_u
0,1,665,1374,161
1,2,112,275,104
2,3,303,503,122
3,4,981,1863,205
4,5,301,667,126
5,6,14,18,17
6,7,574,1358,210
7,8,122,258,98
8,9,47,101,47
9,10,350,747,176
10,11,281,644,175
11,12,70,190,72
12,13,436,845,123
13,14,301,604,123
14,15,208,423,141
15,16,157,300,52
16,17,209,464,128
17,18,29,63,38
18,19,23,57,39
19,20,761,1832,212
20,21,103,158,65
21,22,380,798,162
22,23,29,68,40
23,24,293,515,103
24,25,40,85,39
25,26,141,320,87
26,27,125,241,67
27,28,5,16,11
28,29,13,26,15
29,30,33,54,36
30,31,61,95,55
31,32,19,34,23
32,33,339,705,149
33,34,305,751,157
34,35,194,426,125
35,36,9,19,12
36,37,28,58,29
37,38,41,53,19
38,39,318,716,152
39,40,495,1151,158
40,41,10,20,14
41,42,72,173,86
42,43,362,887,160
43,44,83,174,65
44,45,255,553,153
45,46,215,474,149
46,47,157,322,113
47,48,7,11,9
48,49,86,194,97
49,50,28,50,34
50,51,2,5,5
51,52,189,418,111
52,53,41,103,43
53,54,77,180,82
54,55,184,394,106
55,56,102,221,70
56,57,53,150,84
57,58,41,123,65
58,59,148,331,103
59,60,91,172,50
60,61,3,7,5
61,62,20,40,20
62,63,81,118,52
63,64,23,31,11
64,65,260,335,119
65,66,32,44,17
66,67,36,67,40
67,68,132,198,87
68,69,6,9,7
69,70,198,476,153
70,71,14,36,21
71,72,16,30,18
72,73,15,33,17
73,74,36,92,58
74,75,30,61,42
75,76,33,61,28
76,77,24,68,41
77,78,16,25,18
78,79,37,68,38
79,80,53,76,27
80,81,11,25,15
81,82,1932,2611,253
82,83,14,20,11
83,84,6,13,9
84,85,65,157,77
85,86,26,47,23
86,87,4,9,8
87,88,61,86,48
88,89,152,370,124
89,90,19,33,25
90,91,25,54,39
91,92,11,19,12
92,93,93,242,87
93,94,361,856,168
94,95,2,5,5
95,96,76,146,45
96,97,7,14,6
97,98,3,8,6
98,99,33,75,36
99,100,103,178,77
100,101,16,39,15
101,102,58,130,47
102,103,350,822,166
103,104,10,24,19
104,105,310,627,169
105,106,33,71,37
106,107,31,68,34
107,108,152,265,57
108,109,441,844,145
109,110,52,130,56
110,111,50,116,70
111,112,27,64,35
112,113,41,74,59
113,114,13,22,14
114,115,14,26,21
115,116,10,25,19
116,117,13,19,13
117,118,131,244,80
118,119,66,148,54
119,120,161,338,127
120,121,71,175,45
121,122,14,22,20
122,123,58,97,52
123,124,52,108,38
124,125,64,194,87
125,126,9,21,14
126,127,30,75,37
127,128,8,23,17
128,129,26,45,20
129,130,10,13,8
130,131,17,34,26
131,132,10,27,16
132,133,14,27,18
133,134,28,59,46
134,135,53,100,38
135,136,18,39,18
136,137,14,23,12
137,138,494,1198,189
138,139,21,44,27
139,140,26,59,31
140,141,4,10,9
141,142,300,649,142
142,143,5,10,7
143,144,11,24,17
144,145,13,30,19
145,146,8,20,12
146,147,82,148,64
147,148,107,226,71
148,149,157,332,114
149,150,8,20,10
150,151,90,207,88
151,152,8,15,12
152,153,139,302,67
153,154,15,38,24
154,155,10,17,11
155,156,7,16,10
156,157,34,53,34
157,158,11,23,17
158,159,5,13,13
159,160,9,18,15
160,161,40,89,47
161,162,24,51,23
162,163,26,77,27
163,164,29,60,33
164,165,38,93,54
165,166,36,55,21
166,167,58,117,47
167,168,141,236,73
168,169,86,190,43
169,170,51,138,50
170,171,33,67,42
171,172,30,53,37
172,173,11,24,23
173,174,32,76,38
174,175,91,174,70
175,176,42,88,35
176,177,10,23,14
177,178,36,54,33
178,179,11,28,17
179,180,22,42,26
180,181,24,46,28
181,182,7,20,10
182,183,10,22,17
183,184,8,8,7
184,185,6,12,9
185,186,114,246,104
186,187,8,17,12
187,188,19,35,30
188,189,11,35,23
189,190,42,90,34
190,191,269,522,122
191,192,16,29,19
192,193,35,69,28
193,194,15,21,10
194,195,26,55,25
195,196,47,77,43
196,197,11,27,25
197,198,12,34,18
198,199,73,134,51
199,200,30,62,45
200,201,126,263,87
201,202,24,64,37
202,203,2,4,4
203,204,13,20,13
204,205,12,25,15
205,206,233,488,79
206,207,32,78,36
207,208,156,334,121
208,209,28,71,22
209,210,4,4,4
210,211,198,339,69
211,212,7,15,10
212,213,20,37,28
213,214,27,39,18
214,215,19,44,25
215,216,9,18,16
216,217,4,1,1
217,218,10,25,13
218,219,3,8,8
219,220,5,9,8
220,221,19,37,16
221,222,3,3,3
222,223,74,127,46
223,224,38,97,44
224,225,23,36,31
225,226,52,106,67
226,227,27,48,17
227,228,19,37,17
228,229,4,9,5
229,230,31,52,30
230,231,9,21,11
231,232,17,34,25
232,233,91,192,56
233,234,4,6,4
234,235,22,44,32
235,236,3,11,10
236,237,19,41,16
237,238,31,62,49
238,239,18,36,24
239,240,25,27,17
240,241,21,40,27
241,242,5,14,12
242,243,8,21,15
243,244,8,14,10
244,245,11,28,26
245,246,26,42,21
246,247,55,108,69
247,248,15,35,28
248,249,7,16,13
249,250,21,24,19
250,251,13,19,13
251,252,5,14,10
252,253,58,58,17
253,254,84,208,61
254,255,7,16,9
255,256,35,76,43
256,257,34,67,36
257,258,26,61,43
258,259,4,9,5
259,260,60,121,49
260,261,18,54,26
261,262,34,85,48
262,263,36,92,34
263,264,9,21,21
264,265,2,3,3
265,266,35,78,52
266,267,13,31,18
267,268,7,12,8
268,269,14,28,11
269,270,29,73,48
270,271,15,41,33
271,272,21,39,20
272,273,12,21,16
273,274,13,27,21
274,275,6,15,10
275,276,11,13,11
276,277,25,46,20
277,278,20,41,28
278,279,25,58,45
279,280,20,40,15
280,281,51,77,40
281,282,5,7,6
282,283,22,56,31
283,284,4,7,6
284,285,55,136,55
285,286,4,8,5
286,287,14,35,22
287,288,6,9,8
288,289,3,6,6
289,290,19,45,15
290,291,10,24,15
291,292,12,16,15
292,293,13,28,23
293,294,40,100,52
294,295,70,152,60
295,296,12,30,14
296,297,7,19,12
297,298,3,5,4
298,299,14,26,22
299,300,15,20,15
300,301,5,9,6
301,302,28,57,34
302,303,3,6,4
303,304,14,40,25
304,305,9,21,13
305,306,10,21,16
306,307,9,18,7
307,308,5,9,7
308,309,12,20,19
309,310,6,10,6
310,311,37,83,24
311,312,15,38,33
312,313,10,19,15
313,314,3,3,3
314,315,87,119,51
315,316,14,38,29
316,317,15,24,15
317,318,18,44,25
318,319,5,7,7
319,320,22,29,25
320,321,14,24,10
321,322,2,1,1
322,323,5,11,10
323,324,67,125,44
324,325,5,12,9
325,326,2,3,3
326,327,13,22,8
327,328,19,46,35
328,329,16,32,19
329,330,11,17,14
330,331,10,13,9
331,332,15,33,23
332,333,15,30,18
333,334,7,16,14
334,335,63,93,30
335,336,21,36,23
336,337,165,409,130
337,338,7,16,12
338,339,11,19,14
339,340,3,5,4
340,341,6,16,10
341,342,9,19,9
342,343,1,2,2
343,344,37,85,44
344,345,33,71,33
345,346,20,48,20
346,347,3,5,5
347,348,24,45,30
348,349,81,177,65
349,350,8,22,10
350,351,6,14,13
351,352,8,19,15
352,353,6,13,10
353,354,3,4,4
354,355,17,32,27
355,356,22,61,20
356,357,14,34,27
357,358,5,3,3
358,359,28,46,30
359,360,37,83,38
360,361,8,15,13
361,362,4,11,8
362,363,54,136,56
363,364,4,7,6
364,365,5,13,11
365,366,18,43,33
366,367,5,8,5
367,368,10,25,22
368,369,6,13,11
369,370,6,12,8
370,371,7,13,11
371,372,5,11,8
372,373,3,7,7
373,374,4,10,10
374,375,22,40,29
375,376,7,23,15
376,377,13,27,15
377,378,3,6,6
378,379,8,13,9
379,380,13,25,22
380,381,4,8,7
381,382,4,8,7
382,383,9,22,19
383,384,4,7,5
