,tag,ct,cotag,cotag_u
0,1,111,193,69
1,2,66,98,42
2,3,18,34,21
3,4,499,617,112
4,5,106,145,53
5,6,8,13,7
6,7,95,112,32
7,8,237,429,89
8,9,196,246,84
9,10,130,135,45
10,11,7,10,9
11,12,1327,1682,147
12,13,48,79,33
13,14,53,82,37
14,15,68,106,43
15,16,396,440,85
16,17,17,27,20
17,18,51,97,43
18,19,33,55,23
19,20,185,343,66
20,21,156,281,82
21,22,25,39,23
22,23,884,1250,105
23,24,169,229,85
24,25,96,137,64
25,26,92,158,54
26,27,52,93,45
27,28,19,31,22
28,29,144,257,92
29,30,11,27,9
30,31,1093,1653,137
31,32,59,82,41
32,33,19,25,17
33,34,19,29,24
34,35,72,126,53
35,36,78,119,64
36,37,14,23,17
37,38,671,956,97
38,39,71,121,61
39,40,21,43,33
40,41,28,37,25
41,42,150,222,55
42,43,204,309,82
43,44,131,201,59
44,45,33,52,33
45,46,350,492,85
46,47,33,60,30
47,48,73,69,37
48,49,75,91,40
49,50,36,50,20
50,51,242,198,75
51,52,8,21,16
52,53,90,107,23
53,54,226,350,104
54,55,85,108,42
55,56,48,82,39
56,57,30,54,25
57,58,59,96,45
58,59,93,125,45
59,60,64,108,35
60,61,22,43,20
61,62,445,661,106
62,63,14,28,18
63,64,27,47,22
64,65,180,237,71
65,66,357,510,86
66,67,505,622,87
67,68,287,391,72
68,69,24,29,16
69,70,18,23,13
70,71,66,117,37
71,72,28,39,25
72,73,78,97,49
73,74,41,58,36
74,75,16,27,21
75,76,75,100,58
76,77,2,4,3
77,78,25,41,35
78,79,67,112,41
79,80,28,52,29
80,81,35,59,31
81,82,9,13,10
82,83,36,66,30
83,84,283,471,92
84,85,925,1376,127
85,86,165,218,60
86,87,246,317,65
87,88,5,4,4
88,89,140,160,62
89,90,557,887,116
90,91,90,140,51
91,92,7,9,9
92,93,124,232,79
93,94,11,11,7
94,95,146,180,51
95,96,425,552,80
96,97,173,249,63
97,98,38,65,36
98,99,3,6,6
99,100,10,15,7
100,101,915,1249,124
101,102,11,23,14
102,103,35,57,28
103,104,66,98,38
104,105,350,585,89
105,106,98,164,70
106,107,11,20,15
107,108,34,51,29
108,109,7,7,7
109,110,34,55,25
110,111,8,18,10
111,112,7,13,11
112,113,10,19,8
113,114,25,48,26
114,115,91,138,51
115,116,126,194,52
116,117,94,151,43
117,118,102,155,50
118,119,18,37,21
119,120,22,33,17
120,121,21,36,22
121,122,11,11,3
122,123,90,149,54
123,124,134,208,60
124,125,52,78,45
125,126,43,90,47
126,127,4,5,4
127,128,15,22,16
128,129,6,7,3
129,130,7,11,11
130,131,90,140,35
131,132,33,55,27
132,133,405,469,97
133,134,8,17,14
134,135,35,69,38
135,136,158,230,39
136,137,56,93,35
137,138,21,37,19
138,139,944,1378,123
139,140,36,49,21
140,141,5,9,5
141,142,33,56,26
142,143,15,29,15
143,144,14,22,10
144,145,155,196,67
145,146,42,62,34
146,147,27,49,31
147,148,12,20,14
148,149,5,9,9
149,150,16,27,14
150,151,28,40,20
151,152,36,72,35
152,153,9,15,11
153,154,5,5,5
154,155,24,40,26
155,156,29,49,20
156,157,10,16,11
157,158,82,127,47
158,159,9,14,13
159,160,22,36,14
160,161,20,30,17
161,162,2,4,3
162,163,20,26,16
163,164,5,11,8
164,165,84,109,37
165,166,7,4,4
166,167,14,21,11
167,168,31,39,22
168,169,26,40,19
169,170,3,5,4
170,171,3,4,3
171,172,27,35,21
172,173,43,72,38
173,174,28,52,25
174,175,13,20,13
175,176,15,17,7
176,177,27,27,20
177,178,36,56,30
178,179,11,14,10
179,180,3,7,5
180,181,18,36,25
181,182,7,14,10
182,183,30,57,38
183,184,3,6,5
184,185,11,20,9
185,186,31,54,30
186,187,22,35,22
187,188,2,5,4
188,189,117,211,44
189,190,7,11,8
190,191,5,8,6
191,192,4,6,6
192,193,33,49,25
193,194,13,19,15
194,195,27,43,30
195,196,55,98,15
196,197,8,11,9
197,198,14,27,14
198,199,117,214,47
199,200,6,9,6
200,201,5,7,4
201,202,12,14,9
202,203,18,21,13
203,204,6,9,8
204,205,14,22,13
205,206,11,18,12
206,207,1,3,3
207,208,5,7,7
208,209,6,12,10
209,210,7,9,8
210,211,3,6,6
211,212,6,9,5
212,213,46,77,38
213,214,11,20,16
214,215,5,11,8
215,216,21,31,19
216,217,17,32,13
217,218,5,9,7
218,219,21,41,23
219,220,6,10,9
220,221,5,11,9
221,222,2,7,5
222,223,18,31,24
223,224,3,3,3
224,225,4,7,6
225,226,4,7,7
226,227,5,11,10
227,228,3,5,4
228,229,2,3,3
229,230,3,5,4
230,231,6,17,16
231,232,2,6,6
232,233,15,25,23
233,234,12,24,18
234,235,3,5,4
235,236,3,5,5
236,237,3,4,4
237,238,2,6,6
238,239,2,5,5
239,240,1,1,1
240,241,1,1,1
241,242,1,2,2
242,243,1,2,2
243,244,1,2,2
244,245,2,1,1
245,246,1,3,3
246,247,1,2,2
247,248,2,3,3
248,249,2,4,4
249,250,1,2,2
250,251,1,2,2
251,252,1,2,2
252,253,1,2,2
253,254,1,0,0
254,255,1,1,1
255,256,2,6,6
256,257,1,1,1
257,258,1,2,2
