,tag,ct,cotag,cotag_u
0,1,2371,5258,413
1,2,362,1001,216
2,3,127,292,119
3,4,1021,2726,395
4,5,47,122,54
5,6,3,2,2
6,7,161,468,193
7,8,686,1523,316
8,9,291,689,177
9,10,9,20,16
10,11,17255,47119,1389
11,12,657,1662,346
12,13,272,694,197
13,14,60,153,69
14,15,31,90,40
15,16,5015,11444,895
16,17,1440,3156,586
17,18,124,323,115
18,19,149,369,127
19,20,237,583,188
20,21,584,1517,502
21,22,508,1270,395
22,23,16,36,32
23,24,27,64,36
24,25,656,1578,372
25,26,2280,5440,542
26,27,271,732,179
27,28,2281,5173,615
28,29,122,329,112
29,30,98,277,101
30,31,3686,9842,886
31,32,84,221,103
32,33,67,154,64
33,34,1018,2956,482
34,35,743,1372,323
35,36,82,224,80
36,37,1199,2673,447
37,38,203,493,168
38,39,6668,17199,1079
39,40,162,442,141
40,41,2497,5986,554
41,42,46,126,32
42,43,342,939,269
43,44,6,18,18
44,45,11,30,23
45,46,11,25,24
46,47,17,37,33
47,48,447,1117,320
48,49,56,133,70
49,50,159,417,190
50,51,4,9,8
51,52,41,114,79
52,53,1228,3174,414
53,54,177,438,114
54,55,48,145,64
55,56,17,42,23
56,57,21,62,16
57,58,120,278,97
58,59,6325,13567,880
59,60,2496,7071,647
60,61,674,1849,335
61,62,137,319,111
62,63,209,499,219
63,64,175,427,157
64,65,779,1905,331
65,66,455,1172,313
66,67,971,1997,433
67,68,935,2280,385
68,69,23,75,51
69,70,231,647,160
70,71,80,221,75
71,72,3570,8922,676
72,73,5900,16085,944
73,74,476,1022,246
74,75,11,28,24
75,76,1205,3275,343
76,77,7691,17554,828
77,78,871,2225,339
78,79,163,416,127
79,80,4491,12801,886
80,81,392,952,191
81,82,305,889,256
82,83,254,488,245
83,84,845,2294,373
84,85,135,373,120
85,86,1114,2910,397
86,87,683,1482,289
87,88,1582,3955,474
88,89,46,112,66
89,90,204,497,170
90,91,9,21,14
91,92,137,342,126
92,93,123,306,118
93,94,8,26,20
94,95,999,2817,453
95,96,884,2395,328
96,97,146,374,153
97,98,77,214,111
98,99,836,1965,418
99,100,1357,3180,386
100,101,208,557,124
101,102,148,335,100
102,103,129,331,133
103,104,16,39,20
104,105,1631,3616,465
105,106,1268,3717,482
106,107,468,1125,223
107,108,376,1003,235
108,109,93,245,108
109,110,65,188,70
110,111,867,2215,342
111,112,153,398,123
112,113,6,15,12
113,114,56,146,76
114,115,281,772,202
115,116,21998,45070,1557
116,117,3323,6424,498
117,118,257,679,154
118,119,150,344,155
119,120,3579,9330,737
120,121,13,33,21
121,122,274,672,195
122,123,26,55,41
123,124,259,573,148
124,125,534,1486,304
125,126,220,584,184
126,127,1204,3602,459
127,128,81,179,115
128,129,447,1240,246
129,130,335,843,225
130,131,82,220,99
131,132,8,16,14
132,133,949,2416,311
133,134,172,447,82
134,135,55,128,85
135,136,753,2039,353
136,137,211,544,168
137,138,128,327,125
138,139,561,1538,283
139,140,7,20,15
140,141,3,10,8
141,142,45,86,43
142,143,62,158,74
143,144,55,163,68
144,145,41,116,48
145,146,1250,3558,504
146,147,258,665,150
147,148,70,174,66
148,149,270,725,253
149,150,238,654,230
150,151,63,163,98
151,152,984,2647,421
152,153,238,634,240
153,154,8,22,19
154,155,479,1370,311
155,156,161,471,169
156,157,97,259,119
157,158,111,314,124
158,159,228,624,191
159,160,11,23,15
160,161,36,83,46
161,162,18,50,29
162,163,1716,4794,425
163,164,395,997,229
164,165,86,206,102
165,166,541,1509,358
166,167,50,97,60
167,168,1313,3537,539
168,169,591,1504,205
169,170,31,73,40
170,171,1136,3096,405
171,172,478,1253,328
172,173,236,581,178
173,174,95,260,123
174,175,6,20,16
175,176,23,45,30
176,177,12,23,14
177,178,324,847,172
178,179,706,1739,329
179,180,339,886,254
180,181,163,427,125
181,182,149,326,154
182,183,75,119,80
183,184,49,69,41
184,185,12,32,28
185,186,3,3,3
186,187,1131,3297,437
187,188,314,977,227
188,189,225,661,164
189,190,7,18,14
190,191,455,1232,268
191,192,206,606,112
192,193,69,188,85
193,194,18,48,38
