,tag,ct,cotag,cotag_u
0,1,6334,10781,409
1,2,678,1487,177
2,3,618,1693,198
3,4,430,1090,155
4,5,265,679,119
5,6,1336,2850,279
6,7,283,554,110
7,8,200,400,132
8,9,247,545,156
9,10,217,456,152
10,11,31,56,25
11,12,11,25,15
12,13,5,12,10
13,14,296,689,131
14,15,341,746,144
15,16,114,266,67
16,17,847,1690,216
17,18,30,55,17
18,19,1282,2605,281
19,20,175,381,90
20,21,70,151,59
21,22,15,39,16
22,23,65,151,61
23,24,81,191,67
24,25,234,492,129
25,26,8,20,18
26,27,887,1820,239
27,28,64,157,77
28,29,132,230,81
29,30,27,73,34
30,31,114,281,86
31,32,67,133,43
32,33,129,330,73
33,34,41,110,48
34,35,529,1026,185
35,36,104,164,42
36,37,57,120,61
37,38,39,96,52
38,39,497,933,222
39,40,294,800,98
40,41,136,355,79
41,42,162,481,76
42,43,38,76,38
43,44,425,860,165
44,45,6316,10707,398
45,46,1201,2804,275
46,47,1318,2815,281
47,48,104,278,56
48,49,152,395,90
49,50,187,313,125
50,51,124,278,102
51,52,176,271,77
52,53,99,203,99
53,54,236,497,119
54,55,65,151,66
55,56,30,79,44
56,57,163,399,73
57,58,11,28,17
58,59,77,160,63
59,60,569,1300,233
60,61,10,26,19
61,62,128,341,97
62,63,7,15,10
63,64,238,529,104
64,65,132,339,87
65,66,29,83,38
66,67,999,1582,208
67,68,1088,1629,222
68,69,25,47,30
69,70,246,560,170
70,71,45,107,47
71,72,392,822,138
72,73,74,168,66
73,74,21,45,29
74,75,12,25,18
75,76,201,415,95
76,77,53,130,52
77,78,27,57,27
78,79,20,44,21
79,80,289,642,131
80,81,44,106,46
81,82,247,480,110
82,83,124,287,84
83,84,181,418,98
84,85,51,120,41
85,86,650,1465,195
86,87,163,430,114
87,88,13,29,21
88,89,52,109,34
89,90,85,231,83
90,91,34,88,34
91,92,20,48,25
92,93,235,373,85
93,94,180,405,84
94,95,86,147,30
95,96,46,75,14
96,97,364,811,147
97,98,10,18,9
98,99,56,122,59
99,100,446,965,178
100,101,109,298,73
101,102,59,120,76
102,103,18,37,13
103,104,89,147,46
104,105,136,291,67
105,106,676,573,80
106,107,47,107,64
107,108,15,30,21
108,109,48,98,54
109,110,1990,3366,300
110,111,165,343,89
