,tag,ct,cotag,cotag_u
0,1,82,165,72
1,2,55,106,65
2,3,106,234,91
3,4,92,149,54
4,5,7,14,10
5,6,2,4,3
6,7,6,13,10
7,8,174,400,90
8,9,145,330,82
9,10,32,54,29
10,11,15,34,22
11,12,109,209,87
12,13,64,123,58
13,14,72,134,39
14,15,7,17,9
15,16,120,241,65
16,17,32,74,24
17,18,39,77,28
18,19,462,837,122
19,20,149,323,65
20,21,58,107,35
21,22,84,205,73
22,23,69,163,62
23,24,59,127,61
24,25,18,38,16
25,26,74,68,44
26,27,45,74,31
27,28,8,13,11
28,29,23,45,25
29,30,62,117,57
30,31,13,23,11
31,32,11,33,22
32,33,7,19,11
33,34,16,31,18
34,35,65,131,44
35,36,29,54,30
36,37,32,66,31
37,38,27,54,33
38,39,50,101,49
39,40,45,78,35
40,41,6,15,6
41,42,21,39,27
42,43,68,101,51
43,44,1,2,2
44,45,9,25,17
45,46,3,8,6
46,47,55,87,51
47,48,32,41,28
48,49,6,14,6
49,50,43,97,33
50,51,34,43,32
51,52,1,1,1
52,53,13,22,14
53,54,11,18,12
54,55,38,74,41
55,56,14,30,15
56,57,36,54,32
57,58,12,21,15
58,59,6,12,4
59,60,40,81,30
60,61,30,60,32
61,62,71,160,46
62,63,3,5,3
63,64,7,20,9
64,65,7,16,15
65,66,16,34,25
66,67,5,11,7
67,68,2,4,4
68,69,50,83,35
69,70,152,252,83
70,71,30,58,36
71,72,4,4,3
72,73,27,60,21
73,74,8,17,9
74,75,5,8,6
75,76,8,16,11
76,77,7,10,6
77,78,13,27,18
78,79,52,121,49
79,80,12,28,15
80,81,2,3,2
81,82,22,32,20
82,83,4,3,3
83,84,11,21,14
84,85,13,15,11
85,86,47,83,42
86,87,3,7,5
87,88,3,6,4
88,89,65,132,51
89,90,31,56,30
90,91,63,99,41
91,92,95,177,76
92,93,12,17,14
93,94,28,40,26
94,95,32,72,24
95,96,7,8,6
96,97,32,53,30
97,98,16,34,19
98,99,27,49,28
99,100,8,21,18
100,101,4,9,6
101,102,55,100,44
102,103,7,13,10
103,104,1,2,2
104,105,16,44,25
105,106,10,12,11
106,107,1,0,0
107,108,2,5,4
108,109,3,4,4
109,110,11,21,16
110,111,3,5,5
111,112,8,11,9
112,113,32,56,33
113,114,48,83,49
114,115,13,36,21
115,116,5,12,7
116,117,3,8,7
117,118,1,3,3
118,119,16,31,22
119,120,4,9,8
120,121,7,10,8
121,122,13,18,13
122,123,2,3,3
123,124,6,11,8
124,125,2,5,5
125,126,3,8,7
126,127,1,3,3
127,128,3,7,6
128,129,14,29,18
129,130,4,10,6
130,131,3,10,10
131,132,25,39,24
132,133,5,12,7
133,134,38,85,45
134,135,3,9,8
135,136,21,50,38
136,137,45,87,46
137,138,2,4,4
138,139,9,22,13
139,140,15,26,14
140,141,9,17,14
141,142,5,14,6
142,143,29,58,37
143,144,9,20,13
144,145,30,52,33
145,146,7,10,8
146,147,11,25,15
147,148,9,28,14
148,149,4,11,11
149,150,4,6,4
150,151,22,33,19
151,152,6,1,1
152,153,5,8,7
153,154,3,1,1
154,155,7,17,15
155,156,2,6,6
156,157,10,20,11
157,158,11,19,14
158,159,16,36,24
159,160,7,15,7
160,161,2,5,4
161,162,9,15,12
162,163,16,32,18
163,164,8,14,12
164,165,2,4,4
165,166,3,6,6
166,167,14,32,22
167,168,7,17,13
168,169,8,24,11
169,170,20,36,11
170,171,7,18,13
171,172,29,61,27
172,173,26,41,28
173,174,35,96,45
174,175,4,9,9
175,176,4,11,5
176,177,35,67,40
177,178,16,29,18
178,179,11,11,10
179,180,2,4,3
180,181,8,12,7
181,182,4,8,5
182,183,7,13,11
183,184,13,17,12
184,185,15,36,21
185,186,2,4,3
186,187,11,20,17
187,188,26,44,31
188,189,2,5,4
189,190,8,16,10
190,191,8,14,12
191,192,4,11,9
192,193,4,8,7
193,194,7,17,13
194,195,7,18,7
195,196,2,0,0
196,197,14,22,15
197,198,9,16,10
198,199,4,7,6
199,200,8,14,11
200,201,6,13,8
201,202,4,9,8
202,203,4,8,5
203,204,5,11,10
204,205,3,9,8
205,206,3,6,5
206,207,3,7,7
207,208,3,7,7
208,209,13,30,16
209,210,2,5,4
210,211,1,4,4
211,212,3,8,4
212,213,5,9,7
213,214,39,53,21
214,215,2,5,5
215,216,1,2,2
216,217,8,21,13
217,218,3,8,5
218,219,1,1,1
219,220,5,8,4
220,221,4,6,5
221,222,2,2,2
222,223,1,2,2
223,224,3,4,3
224,225,2,3,3
225,226,4,4,3
226,227,5,12,8
227,228,4,10,6
228,229,2,4,4
229,230,3,5,4
230,231,4,8,7
231,232,12,22,19
232,233,1,3,3
233,234,3,8,7
234,235,2,3,3
235,236,1,2,2
236,237,2,5,5
237,238,4,6,5
238,239,1,1,1
239,240,4,8,7
240,241,1,0,0
241,242,4,5,5
242,243,2,3,3
243,244,10,23,14
244,245,3,2,2
245,246,2,5,5
246,247,2,7,7
247,248,2,3,3
248,249,2,3,3
249,250,2,6,4
250,251,1,1,1
251,252,4,4,2
252,253,2,1,1
253,254,2,3,2
254,255,3,10,7
255,256,6,15,9
256,257,2,3,2
257,258,2,3,3
258,259,1,4,4
259,260,2,5,5
260,261,1,1,1
261,262,1,1,1
262,263,1,2,2
263,264,1,2,2
264,265,3,2,2
265,266,6,8,7
266,267,2,3,2
267,268,1,3,3
268,269,1,3,3
269,270,1,3,3
270,271,1,3,3
271,272,1,2,2
272,273,1,4,4
273,274,1,2,2
274,275,1,1,1
275,276,1,2,2
276,277,1,3,3
277,278,1,3,3
278,279,1,3,3
