,tag,ct,cotag,cotag_u
0,1,9,13,7
1,2,30,56,26
2,3,66,89,40
3,4,170,294,99
4,5,10,15,10
5,6,46,77,36
6,7,67,60,23
7,8,148,276,60
8,9,46,39,20
9,10,96,161,42
10,11,36,57,24
11,12,16,27,14
12,13,96,119,41
13,14,72,127,47
14,15,7,13,12
15,16,9,15,9
16,17,4,5,4
17,18,4,6,3
18,19,70,100,36
19,20,19,26,17
20,21,4,6,3
21,22,60,133,45
22,23,19,27,17
23,24,34,61,30
24,25,9,4,4
25,26,301,370,80
26,27,32,43,14
27,28,108,207,63
28,29,57,95,37
29,30,36,41,16
30,31,72,106,44
31,32,185,325,53
32,33,24,46,27
33,34,5,9,7
34,35,98,178,47
35,36,18,29,12
36,37,3,5,4
37,38,13,25,17
38,39,57,90,38
39,40,10,10,6
40,41,5,7,6
41,42,18,42,19
42,43,8,20,14
43,44,8,17,11
44,45,9,15,14
45,46,21,22,15
46,47,2,1,1
47,48,8,9,6
48,49,4,5,5
49,50,1,1,1
50,51,19,41,27
51,52,4,7,6
52,53,106,214,74
53,54,26,45,21
54,55,1,2,2
55,56,16,30,14
56,57,95,180,47
57,58,83,130,29
58,59,102,197,65
59,60,217,331,54
60,61,78,124,37
61,62,8,13,10
62,63,7,11,8
63,64,29,43,25
64,65,13,16,9
65,66,10,17,9
66,67,95,162,38
67,68,9,9,8
68,69,1,0,0
69,70,5,11,8
70,71,10,11,6
71,72,8,13,8
72,73,8,6,5
73,74,11,19,13
74,75,135,230,47
75,76,11,22,13
76,77,39,80,29
77,78,29,61,22
78,79,2,3,3
79,80,6,17,11
80,81,10,12,7
81,82,14,24,19
82,83,12,29,20
83,84,20,52,30
84,85,28,61,33
85,86,13,22,18
86,87,3,6,5
87,88,7,10,5
88,89,27,40,20
89,90,11,21,9
90,91,44,88,43
91,92,13,22,13
92,93,45,61,31
93,94,86,189,73
94,95,26,63,21
95,96,9,20,17
96,97,18,35,25
97,98,8,20,17
98,99,26,43,35
99,100,1,0,0
100,101,4,5,5
101,102,1,1,1
102,103,14,12,11
103,104,10,12,8
104,105,1,0,0
105,106,14,22,10
106,107,24,32,24
107,108,24,32,27
108,109,12,19,13
109,110,4,4,4
110,111,3,1,1
111,112,14,17,14
112,113,16,33,20
113,114,38,68,27
114,115,10,17,14
115,116,11,18,11
116,117,6,13,11
117,118,1,3,3
118,119,20,34,13
119,120,12,18,10
120,121,15,22,13
121,122,2,3,3
122,123,3,8,8
123,124,22,39,13
124,125,10,22,12
125,126,7,11,8
126,127,14,18,13
127,128,13,19,13
128,129,27,41,17
129,130,11,19,10
130,131,8,16,8
131,132,6,6,2
132,133,38,81,46
133,134,53,113,52
134,135,29,43,23
135,136,52,101,40
136,137,4,8,7
137,138,15,31,9
138,139,60,89,39
139,140,4,8,6
140,141,12,28,20
141,142,3,4,4
142,143,8,11,9
143,144,8,15,11
144,145,3,3,3
145,146,12,19,10
146,147,8,10,7
147,148,24,35,19
148,149,5,5,4
149,150,2,0,0
150,151,9,16,12
151,152,4,5,5
152,153,1,1,1
153,154,21,35,23
154,155,36,38,20
155,156,12,27,17
156,157,8,15,8
157,158,4,8,6
158,159,3,5,5
159,160,4,5,2
160,161,1,0,0
161,162,12,16,7
162,163,13,21,12
163,164,5,8,7
164,165,3,5,5
165,166,7,16,12
166,167,3,4,4
167,168,4,6,5
168,169,1,2,2
169,170,11,22,13
170,171,4,3,3
171,172,4,4,4
172,173,12,25,21
173,174,3,2,2
174,175,21,18,12
175,176,4,6,4
176,177,11,24,14
177,178,3,3,2
178,179,3,6,6
179,180,1,3,3
180,181,8,13,11
181,182,4,7,6
182,183,4,10,10
183,184,22,48,19
184,185,7,10,9
185,186,1,0,0
186,187,5,7,7
187,188,5,5,4
188,189,7,9,8
189,190,2,5,5
190,191,5,9,7
191,192,1,1,1
192,193,3,4,4
193,194,1,2,2
194,195,8,18,13
195,196,3,6,6
196,197,1,2,2
197,198,2,7,5
198,199,7,7,6
199,200,1,1,1
200,201,1,3,3
201,202,6,3,1
202,203,3,3,1
203,204,1,1,1
204,205,5,4,4
205,206,2,4,4
206,207,8,14,11
207,208,6,8,6
208,209,1,2,2
209,210,2,5,4
210,211,1,2,2
211,212,3,6,6
212,213,1,4,4
213,214,1,2,2
214,215,1,4,4
215,216,1,3,3
216,217,1,3,3
217,218,1,3,3
