,tag,ct,cotag,cotag_u
0,1,138,224,112
1,2,445,844,244
2,3,11,26,22
3,4,37,77,55
4,5,44,99,79
5,6,78,178,96
6,7,19,45,32
7,8,15,35,25
8,9,18,54,49
9,10,85,194,87
10,11,24,63,45
11,12,17,40,33
12,13,12,31,21
13,14,18,35,29
14,15,111,214,93
15,16,26,68,31
16,17,17,39,33
17,18,9,25,21
18,19,10,18,15
19,20,20,27,23
20,21,117,288,167
21,22,25,49,35
22,23,3,6,5
23,24,39,96,47
24,25,192,396,182
25,26,10,29,25
26,27,21,52,22
27,28,13,31,14
28,29,113,224,141
29,30,93,224,144
30,31,5,11,11
31,32,5,12,12
32,33,79,131,56
33,34,44,99,52
34,35,1,2,2
35,36,1,2,2
36,37,16,31,20
37,38,15,37,28
38,39,94,246,124
39,40,73,181,118
40,41,65,141,75
41,42,14,36,24
42,43,47,106,52
43,44,40,111,80
44,45,261,545,261
45,46,24,46,35
46,47,69,98,48
47,48,15,37,34
48,49,29,71,57
49,50,6,11,11
50,51,23,55,39
51,52,32,70,58
52,53,43,104,65
53,54,16,50,38
54,55,6,19,19
55,56,53,131,78
56,57,5,13,11
57,58,26,53,37
58,59,39,75,52
59,60,29,72,48
60,61,41,124,102
61,62,170,315,156
62,63,8,13,11
63,64,9,21,15
64,65,16,32,24
65,66,243,471,164
66,67,20,61,29
67,68,86,184,107
68,69,28,57,38
69,70,5,14,11
70,71,32,104,70
71,72,41,91,57
72,73,19,60,49
73,74,9,23,18
74,75,14,14,13
75,76,16,38,32
76,77,54,114,71
77,78,28,61,43
78,79,31,85,65
79,80,14,33,21
80,81,77,200,115
81,82,4,13,12
82,83,3,7,5
83,84,17,38,32
84,85,17,56,49
85,86,9,32,25
86,87,3,9,7
87,88,2,8,8
88,89,53,105,58
89,90,50,134,71
90,91,4,9,6
91,92,35,73,49
92,93,16,41,34
93,94,23,62,50
94,95,3,10,8
95,96,22,47,34
96,97,28,54,27
97,98,66,128,89
98,99,12,30,21
99,100,10,28,22
100,101,25,63,47
101,102,10,17,11
102,103,51,162,130
103,104,33,105,80
104,105,18,53,33
105,106,112,243,145
106,107,10,21,17
107,108,5,8,7
108,109,4,13,5
109,110,10,23,19
110,111,27,72,50
111,112,57,112,63
112,113,6,13,9
113,114,98,218,124
114,115,7,13,10
115,116,74,110,76
116,117,7,16,16
117,118,7,17,11
118,119,15,41,40
119,120,2,7,7
120,121,24,52,41
121,122,5,16,13
122,123,62,125,48
123,124,46,111,60
124,125,8,16,15
125,126,27,65,54
126,127,9,27,19
127,128,11,33,24
128,129,20,54,41
129,130,66,131,83
130,131,18,59,50
131,132,9,26,25
132,133,8,19,12
133,134,2,8,8
134,135,14,35,30
135,136,22,61,58
136,137,18,38,32
137,138,22,61,51
138,139,59,144,90
139,140,11,21,16
140,141,3,8,8
141,142,2,5,4
142,143,41,82,45
143,144,16,41,29
144,145,8,22,19
145,146,3,7,5
146,147,4,7,6
147,148,49,138,89
148,149,38,105,66
149,150,16,31,15
150,151,75,153,115
151,152,58,127,78
152,153,11,35,27
153,154,9,17,17
154,155,3,7,7
155,156,16,35,29
156,157,29,65,41
157,158,8,19,19
158,159,13,24,21
159,160,4,7,7
160,161,21,59,38
161,162,7,22,16
162,163,11,34,25
163,164,60,119,83
164,165,30,73,59
165,166,9,19,17
166,167,32,64,42
167,168,77,166,107
168,169,14,22,22
169,170,31,83,68
170,171,10,35,25
171,172,7,11,10
172,173,49,118,72
173,174,6,14,13
174,175,6,13,12
175,176,12,28,21
176,177,5,17,16
177,178,4,11,11
178,179,2,7,7
179,180,16,43,26
180,181,19,41,26
181,182,59,129,72
182,183,4,8,7
183,184,2,6,6
184,185,9,29,20
185,186,11,30,26
186,187,19,42,35
187,188,8,26,19
188,189,10,34,31
189,190,3,11,11
190,191,16,41,30
191,192,8,22,20
192,193,35,120,99
193,194,3,8,8
194,195,6,18,15
195,196,81,164,104
196,197,14,28,28
197,198,4,8,8
198,199,14,28,25
199,200,34,65,34
200,201,24,39,24
201,202,6,12,11
202,203,5,12,8
203,204,23,72,69
204,205,14,31,26
205,206,16,21,14
206,207,38,85,64
207,208,10,18,13
208,209,57,149,77
209,210,20,43,23
210,211,100,244,115
211,212,7,17,16
212,213,27,82,55
213,214,12,30,21
214,215,3,6,6
215,216,7,17,12
216,217,20,60,41
217,218,20,52,39
218,219,6,17,12
219,220,15,30,25
220,221,8,24,20
221,222,2,6,5
222,223,13,39,35
223,224,4,12,12
224,225,1,3,3
225,226,18,43,27
226,227,4,10,8
227,228,3,11,11
228,229,5,8,7
229,230,7,20,19
230,231,5,5,5
231,232,35,88,49
232,233,10,27,21
233,234,5,10,9
234,235,2,7,6
235,236,3,9,8
236,237,4,10,8
237,238,11,18,6
238,239,17,47,34
239,240,11,30,22
240,241,38,99,73
241,242,31,70,58
242,243,102,200,120
243,244,25,53,37
244,245,18,34,24
245,246,2,5,4
246,247,23,41,28
247,248,10,19,14
248,249,53,150,87
249,250,7,15,15
250,251,1,2,2
251,252,35,76,37
252,253,44,96,50
253,254,6,22,21
254,255,7,27,15
255,256,26,47,29
256,257,2,4,4
257,258,12,31,21
258,259,17,36,34
259,260,5,17,16
260,261,5,16,16
261,262,12,21,19
262,263,60,148,115
263,264,31,71,50
264,265,8,19,18
265,266,5,13,12
266,267,5,16,15
267,268,5,16,12
268,269,8,20,18
269,270,6,21,19
270,271,8,24,22
271,272,2,7,7
272,273,2,8,7
273,274,33,64,28
274,275,7,19,12
275,276,12,33,23
276,277,3,8,7
277,278,2,8,7
278,279,2,8,7
279,280,4,9,9
280,281,4,13,8
281,282,2,4,4
282,283,11,27,19
283,284,11,34,29
284,285,3,10,9
285,286,14,27,19
286,287,14,39,29
287,288,10,26,23
288,289,56,98,80
289,290,77,150,83
290,291,32,81,58
291,292,13,34,25
292,293,14,37,24
293,294,11,27,19
294,295,2,4,4
295,296,12,30,28
296,297,13,31,25
297,298,37,93,52
298,299,23,58,43
299,300,11,30,25
300,301,4,14,12
301,302,5,14,10
302,303,14,51,27
303,304,8,25,15
304,305,8,30,22
305,306,3,8,8
306,307,12,32,32
307,308,12,26,19
308,309,4,14,13
309,310,7,27,27
310,311,29,91,53
311,312,12,27,25
312,313,15,37,29
313,314,10,29,21
314,315,10,33,32
315,316,2,8,6
316,317,2,2,2
317,318,3,8,7
318,319,11,33,28
319,320,6,21,19
320,321,9,19,16
321,322,14,30,23
322,323,55,196,147
323,324,25,67,55
324,325,3,12,12
325,326,2,6,6
326,327,4,7,7
327,328,32,115,74
328,329,22,78,41
329,330,21,70,48
330,331,4,14,12
331,332,20,41,29
332,333,11,29,22
333,334,2,6,6
334,335,21,62,37
335,336,5,18,15
336,337,3,11,10
337,338,3,11,11
338,339,3,9,9
339,340,5,7,7
340,341,31,70,36
341,342,4,13,8
342,343,17,49,29
343,344,5,17,11
344,345,35,97,44
345,346,8,20,17
346,347,15,29,21
347,348,14,48,23
348,349,6,20,16
349,350,6,22,14
350,351,8,25,18
351,352,21,48,31
352,353,2,5,4
353,354,8,18,13
354,355,16,49,27
355,356,5,15,14
356,357,6,21,11
357,358,37,102,69
358,359,12,37,36
359,360,2,7,6
360,361,2,7,6
361,362,9,17,14
362,363,9,19,18
363,364,8,22,21
364,365,4,10,9
365,366,5,14,13
366,367,7,17,15
367,368,2,7,5
368,369,10,25,21
369,370,13,31,21
370,371,5,15,11
371,372,3,8,7
372,373,2,5,4
373,374,25,71,54
374,375,20,56,44
375,376,8,18,16
376,377,25,62,40
377,378,23,57,51
378,379,8,21,14
379,380,14,25,19
380,381,7,13,12
381,382,31,75,45
382,383,52,128,53
383,384,9,31,21
384,385,3,9,9
385,386,9,28,25
386,387,5,14,13
387,388,132,318,154
388,389,7,27,18
389,390,5,14,13
390,391,2,7,5
391,392,3,11,9
392,393,6,18,16
393,394,6,15,15
394,395,2,8,8
395,396,2,7,7
396,397,9,23,22
397,398,10,24,20
398,399,7,23,15
399,400,5,19,15
400,401,2,8,7
401,402,29,65,60
402,403,14,27,22
403,404,17,34,32
404,405,30,77,38
405,406,14,46,41
406,407,11,25,22
407,408,2,8,7
408,409,2,4,4
409,410,5,13,8
410,411,8,22,21
411,412,13,44,35
412,413,11,31,31
413,414,9,34,28
414,415,2,8,7
415,416,2,8,7
416,417,9,27,21
417,418,2,6,6
418,419,10,35,29
419,420,5,14,13
420,421,5,14,12
421,422,25,72,52
422,423,25,58,30
423,424,3,8,5
424,425,19,49,32
425,426,32,104,72
426,427,11,20,19
427,428,2,4,4
428,429,19,49,23
429,430,7,21,20
430,431,59,133,76
431,432,16,37,25
432,433,4,8,6
433,434,7,23,20
434,435,9,24,23
435,436,15,41,27
436,437,10,26,19
437,438,3,9,7
438,439,2,2,1
439,440,8,16,15
440,441,2,8,7
441,442,2,7,6
442,443,3,11,9
443,444,7,23,20
444,445,13,40,36
445,446,4,14,14
446,447,4,12,12
447,448,3,9,7
448,449,13,40,32
449,450,7,20,20
450,451,6,22,19
451,452,3,10,8
452,453,27,51,45
453,454,4,16,14
454,455,27,76,62
455,456,9,25,24
456,457,3,10,7
457,458,2,7,6
458,459,6,12,7
459,460,11,32,21
460,461,5,19,16
