,tag,ct,cotag,cotag_u
0,1,55,144,61
1,2,94,213,72
2,3,284,615,142
3,4,121,340,121
4,5,5,11,7
5,6,18,40,28
6,7,383,1013,213
7,8,7,15,10
8,9,19,47,25
9,10,350,729,155
10,11,103,241,94
11,12,990,2607,345
12,13,156,394,107
13,14,146,343,94
14,15,24,54,38
15,16,112,247,82
16,17,6,12,10
17,18,216,505,136
18,19,73,154,58
19,20,556,1436,206
20,21,9,25,19
21,22,112,261,95
22,23,81,224,91
23,24,29,72,33
24,25,46,103,39
25,26,1203,3484,321
26,27,541,1362,179
27,28,257,673,130
28,29,785,2258,248
29,30,51,152,52
30,31,817,2145,261
31,32,97,234,91
32,33,49,105,58
33,34,2,8,8
34,35,65,140,55
35,36,348,1054,165
36,37,69,208,74
37,38,749,1823,223
38,39,783,2034,241
39,40,45,133,58
40,41,198,437,129
41,42,33,83,40
42,43,24,70,31
43,44,316,717,150
44,45,31,91,43
45,46,186,524,130
46,47,278,661,144
47,48,80,202,47
48,49,16,45,24
49,50,385,848,191
50,51,66,158,78
51,52,10,22,15
52,53,260,713,138
53,54,125,384,109
54,55,234,501,127
55,56,54,149,61
56,57,570,1587,265
57,58,9,20,14
58,59,20,39,20
59,60,135,319,100
60,61,12,28,16
61,62,3,9,6
62,63,27,72,37
63,64,45,122,38
64,65,30,75,34
65,66,71,189,74
66,67,30,78,40
67,68,17,47,27
68,69,22,60,41
69,70,40,109,52
70,71,124,316,119
71,72,25,61,47
72,73,110,247,84
73,74,6,9,7
74,75,11,27,20
75,76,93,288,66
76,77,17,44,11
77,78,156,410,111
78,79,160,407,97
79,80,12,28,15
80,81,24,69,40
81,82,45,101,50
82,83,58,163,53
83,84,41,87,40
84,85,73,193,66
85,86,18,44,30
86,87,59,172,43
87,88,26,68,30
88,89,214,567,135
89,90,61,204,65
90,91,15,35,25
91,92,97,341,73
92,93,3,7,7
93,94,109,254,71
94,95,45,141,59
95,96,7,26,14
96,97,23,66,24
97,98,22,48,23
98,99,7,11,10
99,100,130,300,103
100,101,93,254,63
101,102,240,753,133
102,103,50,144,43
103,104,17,32,19
104,105,127,222,96
105,106,6,14,10
106,107,27,78,31
107,108,6,8,8
108,109,26,50,29
109,110,20,58,23
110,111,16,30,17
111,112,12,11,8
112,113,21,42,27
113,114,148,308,90
114,115,21,46,21
115,116,84,272,75
116,117,17,42,33
117,118,198,456,159
118,119,16,43,25
119,120,27,49,28
120,121,18,34,21
121,122,19,26,15
122,123,29,82,30
123,124,163,363,90
124,125,33,94,47
125,126,12,30,23
126,127,25,43,25
127,128,23,48,26
128,129,90,215,107
129,130,4,7,6
130,131,145,278,88
131,132,139,317,109
132,133,35,97,36
133,134,229,459,142
134,135,62,101,47
135,136,14,34,17
136,137,10,24,19
137,138,52,144,69
138,139,6,18,7
139,140,15,49,23
140,141,68,184,69
141,142,20,58,33
142,143,20,64,22
143,144,20,50,31
144,145,28,72,26
145,146,53,122,55
146,147,40,116,48
147,148,25,56,27
148,149,22,62,33
149,150,10,23,21
150,151,37,102,52
151,152,8,31,17
152,153,74,190,77
153,154,16,32,27
154,155,9,18,11
155,156,13,39,35
156,157,11,30,15
157,158,90,239,80
158,159,83,219,78
159,160,13,31,21
160,161,38,97,28
161,162,31,101,46
162,163,197,656,118
163,164,10,35,10
164,165,13,49,13
165,166,9,16,13
166,167,29,83,21
167,168,144,426,95
168,169,121,350,89
169,170,174,490,124
170,171,25,75,40
171,172,12,23,17
172,173,60,183,37
173,174,20,57,20
174,175,4,12,11
175,176,3,4,4
176,177,4,3,1
177,178,61,192,59
178,179,24,85,37
179,180,24,71,31
180,181,108,292,124
181,182,18,40,32
182,183,24,58,30
183,184,34,76,34
184,185,11,18,16
185,186,68,189,59
186,187,20,49,24
187,188,40,99,49
