,tag,ct,cotag,cotag_u
0,1,640,952,99
1,2,180,269,68
2,3,62,103,33
3,4,53,82,29
4,5,4,11,10
5,6,9,13,8
6,7,187,315,57
7,8,64,142,39
8,9,41,89,33
9,10,48,86,21
10,11,42,57,25
11,12,2,3,3
12,13,7,12,7
13,14,8,13,8
14,15,312,493,83
15,16,56,104,38
16,17,22,34,18
17,18,33,58,22
18,19,110,180,64
19,20,52,79,36
20,21,13,22,12
21,22,138,240,61
22,23,5,10,8
23,24,11,22,16
24,25,27,51,29
25,26,79,139,46
26,27,50,97,23
27,28,11,19,16
28,29,3,5,5
29,30,6,15,10
30,31,20,34,15
31,32,104,133,44
32,33,12,23,12
33,34,9,14,9
34,35,3,2,2
35,36,161,284,63
36,37,23,39,16
37,38,14,27,12
38,39,9,9,7
39,40,19,31,15
40,41,84,135,30
41,42,65,106,31
42,43,35,47,15
43,44,44,75,22
44,45,47,66,33
45,46,3,5,4
46,47,53,104,34
47,48,17,18,13
48,49,6,12,7
49,50,30,51,16
50,51,27,48,23
51,52,14,21,11
52,53,12,18,10
53,54,7,11,9
54,55,4,9,7
55,56,25,45,26
56,57,6,10,10
57,58,9,11,9
58,59,101,167,44
59,60,3,2,2
60,61,22,44,15
61,62,3,3,2
62,63,21,28,18
63,64,2,2,1
64,65,10,13,12
65,66,4,10,9
66,67,6,17,12
67,68,3,9,6
68,69,3,5,3
69,70,13,19,11
70,71,10,19,14
71,72,2,5,4
72,73,37,77,32
73,74,24,24,19
74,75,6,16,13
75,76,3,4,4
76,77,19,26,13
77,78,2,3,2
78,79,13,27,17
79,80,26,43,19
80,81,17,28,14
81,82,13,17,10
82,83,5,9,6
83,84,29,63,19
84,85,11,17,7
85,86,5,7,4
86,87,12,18,10
87,88,4,7,4
88,89,4,8,8
89,90,27,40,20
90,91,12,19,12
91,92,8,15,13
92,93,54,105,39
93,94,13,17,14
94,95,8,22,15
95,96,6,8,5
96,97,44,78,23
97,98,19,34,18
98,99,4,10,9
99,100,16,27,16
100,101,4,5,4
101,102,6,7,7
102,103,3,3,3
103,104,3,6,5
104,105,23,30,14
105,106,17,33,17
106,107,51,93,30
107,108,16,31,20
108,109,19,31,24
109,110,3,6,4
110,111,8,12,10
111,112,22,44,16
112,113,24,47,17
113,114,47,89,28
114,115,17,35,21
115,116,8,11,8
116,117,11,25,12
117,118,11,18,13
118,119,5,10,9
119,120,21,37,23
120,121,6,9,8
121,122,13,22,17
122,123,5,13,11
123,124,7,14,9
124,125,10,19,9
125,126,12,24,15
126,127,2,1,1
127,128,15,19,12
128,129,2,4,4
129,130,4,4,3
130,131,2,0,0
131,132,2,5,5
132,133,2,2,2
133,134,6,12,9
134,135,2,6,5
135,136,7,12,10
136,137,5,6,4
137,138,2,4,3
138,139,2,1,1
139,140,3,4,2
140,141,3,4,4
141,142,2,2,1
142,143,3,7,6
143,144,2,4,3
144,145,4,3,2
145,146,3,5,3
146,147,1,1,1
147,148,1,1,1
148,149,1,0,0
149,150,1,2,2
150,151,1,2,2
