,tag,ct,cotag,cotag_u
0,1,226,509,123
1,2,97,250,74
2,3,61,162,64
3,4,277,657,128
4,5,80,177,80
5,6,4,10,6
6,7,41,110,52
7,8,2,5,5
8,9,11,24,21
9,10,49,100,40
10,11,28,53,30
11,12,2,6,4
12,13,81,202,80
13,14,59,135,51
14,15,9,16,12
15,16,2,7,6
16,17,2,3,3
17,18,2,2,2
18,19,52,132,59
19,20,27,56,30
20,21,5,11,10
21,22,444,1013,164
22,23,239,601,124
23,24,20,61,41
24,25,2,6,6
25,26,76,159,69
26,27,395,861,141
27,28,11,16,14
28,29,5,11,9
29,30,12,32,22
30,31,3,4,4
31,32,26,70,43
32,33,125,255,88
33,34,45,128,61
34,35,86,186,70
35,36,26,66,37
36,37,25,55,34
37,38,100,245,75
38,39,7,21,12
39,40,364,868,147
40,41,32,71,34
41,42,2,4,4
42,43,4,10,9
43,44,17,34,20
44,45,20,57,29
45,46,21,47,28
46,47,13,38,32
47,48,18,51,36
48,49,5,12,10
49,50,196,451,116
50,51,27,63,32
51,52,120,287,86
52,53,3,6,6
53,54,52,123,50
54,55,317,606,125
55,56,7,14,12
56,57,38,97,52
57,58,17,44,27
58,59,4,13,12
59,60,8,26,22
60,61,17,46,36
61,62,100,267,77
62,63,27,58,39
63,64,3,7,5
64,65,2,4,4
65,66,3,8,7
66,67,3,8,8
67,68,4,9,8
68,69,38,95,48
69,70,12,31,22
70,71,31,77,40
71,72,84,175,63
72,73,89,215,72
73,74,24,51,28
74,75,3,2,2
75,76,3,9,9
76,77,33,75,37
77,78,17,43,23
78,79,151,351,100
79,80,16,29,23
80,81,5,17,15
81,82,20,47,29
82,83,12,23,17
83,84,19,47,29
84,85,16,41,21
85,86,48,122,52
86,87,6,12,10
87,88,16,36,15
88,89,28,66,35
89,90,6,18,13
90,91,38,91,41
91,92,8,17,14
92,93,7,16,13
93,94,12,35,26
94,95,3,10,5
95,96,5,10,9
96,97,21,49,22
97,98,25,64,31
98,99,53,126,59
99,100,5,12,10
100,101,5,10,9
101,102,5,12,10
102,103,4,14,13
103,104,8,16,13
104,105,26,62,38
105,106,2,4,4
106,107,24,43,25
107,108,28,55,34
108,109,22,51,33
109,110,18,38,26
110,111,5,12,9
111,112,34,99,59
112,113,9,22,15
113,114,2,3,3
114,115,2,6,5
115,116,191,469,109
116,117,27,46,28
117,118,4,9,7
118,119,43,98,50
119,120,8,23,16
120,121,56,92,44
121,122,18,41,29
122,123,24,58,31
123,124,4,10,7
124,125,3,9,7
125,126,6,18,14
126,127,20,52,29
127,128,11,24,19
128,129,2,6,6
129,130,8,19,16
130,131,3,6,6
131,132,3,3,3
132,133,10,19,17
133,134,1,4,4
134,135,2,4,3
135,136,3,9,9
136,137,11,24,18
137,138,3,5,5
138,139,4,12,10
139,140,3,7,7
140,141,14,25,14
141,142,3,7,7
142,143,18,47,27
143,144,19,43,28
144,145,41,93,37
145,146,2,4,4
146,147,44,90,38
147,148,23,64,37
148,149,2,4,4
149,150,3,8,7
150,151,1,3,3
151,152,5,11,10
152,153,5,9,8
153,154,6,12,11
154,155,5,13,13
155,156,10,33,22
156,157,14,36,22
157,158,3,8,7
158,159,14,26,21
159,160,8,14,12
160,161,8,21,15
161,162,16,30,19
162,163,18,43,28
163,164,9,24,17
164,165,11,27,21
165,166,2,3,3
166,167,12,36,24
167,168,4,12,10
168,169,9,22,19
169,170,32,70,36
170,171,1,4,4
171,172,21,60,28
172,173,15,35,25
173,174,3,6,5
174,175,1,4,4
175,176,4,6,6
176,177,1,2,2
177,178,13,36,22
178,179,5,16,14
179,180,6,18,15
180,181,36,101,40
181,182,15,27,20
182,183,8,20,18
183,184,3,9,9
184,185,14,28,22
185,186,11,27,21
186,187,5,14,11
187,188,1,1,1
188,189,10,28,21
189,190,1,3,3
190,191,10,25,15
191,192,5,9,8
192,193,7,16,13
193,194,4,8,7
194,195,6,17,14
195,196,3,5,5
196,197,3,9,7
197,198,7,18,13
198,199,6,16,12
199,200,7,17,14
200,201,4,14,11
201,202,3,9,9
202,203,7,14,11
203,204,4,10,10
204,205,2,8,8
205,206,3,7,7
206,207,3,7,7
207,208,5,13,11
208,209,2,4,3
209,210,16,29,19
210,211,7,15,13
211,212,4,8,7
212,213,14,30,20
213,214,8,18,15
214,215,2,4,4
215,216,5,11,10
216,217,6,15,13
217,218,4,6,5
218,219,4,9,9
219,220,4,5,3
220,221,3,9,8
221,222,7,17,14
222,223,3,7,7
223,224,3,7,7
224,225,4,10,7
225,226,8,16,11
226,227,9,28,15
227,228,4,8,7
228,229,6,12,12
229,230,4,13,11
230,231,2,4,4
231,232,6,15,11
232,233,3,3,3
233,234,37,81,36
234,235,74,190,64
235,236,2,6,6
236,237,3,8,6
237,238,7,7,6
238,239,4,8,7
239,240,2,4,4
240,241,1,2,2
241,242,1,1,1
242,243,2,6,6
243,244,2,4,4
244,245,2,6,5
245,246,7,11,11
246,247,8,16,14
247,248,1,4,4
248,249,2,4,4
249,250,1,4,4
250,251,1,1,1
251,252,1,4,4
252,253,1,2,2
253,254,2,2,2
254,255,1,1,1
255,256,1,4,4
256,257,4,8,7
257,258,1,1,1
258,259,1,1,1
259,260,4,6,5
260,261,4,13,7
261,262,1,1,1
262,263,1,1,1
263,264,1,3,3
264,265,1,3,3
265,266,1,0,0
266,267,2,6,5
267,268,1,2,2
268,269,1,2,2
269,270,2,3,3
270,271,1,0,0
271,272,1,2,2
272,273,1,2,2
273,274,1,3,3
274,275,3,6,4
275,276,1,3,3
276,277,1,3,3
277,278,1,4,4
278,279,1,1,1
