,tag,ct,cotag,cotag_u
0,1,16,35,21
1,2,6,12,11
2,3,59,116,58
3,4,1,0,0
4,5,149,271,85
5,6,31,73,41
6,7,27,50,22
7,8,86,149,63
8,9,79,157,58
9,10,1,0,0
10,11,75,151,58
11,12,5,14,8
12,13,1,3,3
13,14,17,32,23
14,15,3,7,7
15,16,15,23,19
16,17,28,62,29
17,18,7,17,13
18,19,46,68,24
19,20,57,128,48
20,21,6,9,6
21,22,14,7,6
22,23,9,15,13
23,24,2,4,3
24,25,10,20,10
25,26,125,211,66
26,27,41,83,35
27,28,17,40,27
28,29,9,20,14
29,30,4,9,7
30,31,8,11,8
31,32,8,21,14
32,33,7,14,14
33,34,3,8,8
34,35,1,3,3
35,36,1,3,3
36,37,7,14,9
37,38,16,26,17
38,39,50,104,45
39,40,3,7,6
40,41,4,7,7
41,42,40,88,42
42,43,8,25,14
43,44,15,30,23
44,45,5,7,7
45,46,30,70,30
46,47,10,13,10
47,48,7,8,5
48,49,1,1,1
49,50,5,9,8
50,51,79,107,31
51,52,66,92,23
52,53,6,15,9
53,54,2,5,4
54,55,13,22,18
55,56,5,7,5
56,57,1,1,1
57,58,57,108,63
58,59,7,14,10
59,60,1,2,2
60,61,9,19,12
61,62,2,3,3
62,63,4,6,3
63,64,1,2,2
64,65,5,9,5
65,66,5,6,5
66,67,1,2,2
67,68,1,2,2
68,69,15,23,15
69,70,17,36,22
70,71,8,16,10
71,72,5,9,7
72,73,3,7,6
73,74,3,5,5
74,75,2,6,6
75,76,16,25,16
76,77,3,5,4
77,78,2,3,2
78,79,1,1,1
79,80,1,1,1
80,81,3,9,8
81,82,3,4,3
82,83,3,4,3
83,84,1,2,2
84,85,2,3,2
85,86,2,3,3
86,87,23,49,30
87,88,21,47,31
88,89,2,2,1
89,90,2,3,2
90,91,12,25,19
91,92,3,6,6
92,93,5,5,5
93,94,34,60,20
94,95,5,10,9
95,96,8,17,14
96,97,1,2,2
97,98,3,2,2
98,99,1,2,2
99,100,4,10,8
100,101,12,28,18
101,102,1,2,2
102,103,3,3,3
103,104,3,5,4
104,105,3,5,4
105,106,7,15,13
106,107,5,14,10
107,108,22,49,28
108,109,20,38,21
109,110,1,2,2
110,111,22,37,16
111,112,2,3,3
112,113,6,10,8
113,114,1,2,2
114,115,1,2,2
115,116,2,4,3
116,117,5,8,7
117,118,1,1,1
118,119,7,17,11
119,120,2,5,4
120,121,2,5,4
121,122,1,2,2
122,123,1,2,2
123,124,1,2,2
124,125,1,4,4
125,126,3,4,3
126,127,12,23,14
127,128,1,3,3
128,129,7,12,9
129,130,3,8,7
130,131,7,9,7
131,132,3,7,5
132,133,4,9,9
133,134,2,3,3
134,135,1,2,2
135,136,1,1,1
136,137,4,5,3
137,138,2,3,3
138,139,1,3,3
139,140,5,13,9
140,141,3,5,3
141,142,4,9,5
142,143,1,2,2
143,144,5,6,4
144,145,2,5,4
145,146,4,7,6
146,147,2,3,2
147,148,2,4,4
148,149,3,5,5
149,150,2,8,7
150,151,6,9,7
151,152,3,6,5
152,153,6,8,7
153,154,6,6,4
154,155,7,11,10
155,156,2,3,3
156,157,6,15,12
157,158,8,9,7
158,159,2,5,5
159,160,6,11,8
160,161,53,89,35
161,162,3,2,2
162,163,1,1,1
163,164,3,3,3
164,165,17,31,22
165,166,35,61,25
166,167,1,1,1
167,168,27,44,16
168,169,15,26,13
169,170,13,26,17
170,171,2,5,5
171,172,5,5,4
172,173,4,8,8
173,174,12,20,14
174,175,8,19,15
175,176,5,11,8
176,177,15,32,21
177,178,6,14,11
178,179,1,2,2
179,180,39,87,43
180,181,21,27,9
181,182,2,4,4
182,183,1,2,2
183,184,2,3,3
184,185,5,11,7
185,186,8,8,8
186,187,6,10,4
187,188,2,3,3
188,189,2,2,2
189,190,1,1,1
190,191,2,6,3
191,192,1,1,1
192,193,2,3,2
193,194,4,8,6
194,195,7,10,4
195,196,3,5,5
196,197,6,11,9
197,198,19,22,15
198,199,4,3,3
199,200,2,6,4
200,201,3,4,4
201,202,3,5,3
202,203,4,9,5
203,204,2,4,3
204,205,1,0,0
205,206,1,2,2
206,207,3,4,4
207,208,1,1,1
208,209,1,1,1
209,210,1,4,4
210,211,1,4,4
211,212,1,1,1
212,213,5,5,4
213,214,2,3,3
214,215,1,2,2
215,216,1,2,2
216,217,1,2,2
217,218,1,1,1
218,219,1,1,1
219,220,1,2,2
220,221,1,0,0
221,222,1,3,3
222,223,1,2,2
223,224,1,2,2
224,225,1,2,2
225,226,1,1,1
226,227,1,0,0
227,228,1,2,2
228,229,1,2,2
229,230,1,2,2
230,231,2,2,2
231,232,1,0,0
