,tag,ct,cotag,cotag_u
0,1,168,237,77
1,2,24,44,21
2,3,95,156,51
3,4,16,20,16
4,5,49,81,26
5,6,78,153,49
6,7,13,19,12
7,8,10,8,6
8,9,2,4,4
9,10,7,15,13
10,11,2,6,4
11,12,4,12,8
12,13,29,57,27
13,14,31,49,28
14,15,7,12,10
15,16,24,27,16
16,17,3,3,3
17,18,2,2,2
18,19,21,49,22
19,20,148,278,67
20,21,25,56,16
21,22,28,48,21
22,23,5,15,6
23,24,5,15,6
24,25,5,10,8
25,26,6,10,8
26,27,2,7,6
27,28,2,2,2
28,29,13,19,16
29,30,8,16,11
30,31,9,18,12
31,32,28,48,28
32,33,3,5,5
33,34,14,26,19
34,35,6,9,9
35,36,11,16,12
36,37,3,4,3
37,38,17,32,12
38,39,2,2,2
39,40,3,5,3
40,41,83,146,38
41,42,47,96,27
42,43,2,2,2
43,44,5,6,5
44,45,7,13,9
45,46,6,10,9
46,47,3,5,4
47,48,4,10,8
48,49,6,12,7
49,50,23,45,20
50,51,28,53,20
51,52,13,26,13
52,53,7,10,9
53,54,2,4,4
54,55,23,51,18
55,56,9,25,14
56,57,3,8,6
57,58,2,4,4
58,59,5,5,5
59,60,4,8,5
60,61,4,8,5
61,62,9,13,8
62,63,4,10,8
63,64,14,20,14
64,65,3,4,2
65,66,6,9,8
66,67,11,19,14
67,68,2,4,2
68,69,28,63,26
69,70,4,7,6
70,71,48,79,30
71,72,8,12,7
72,73,4,4,3
73,74,7,7,6
74,75,2,3,3
75,76,16,30,22
76,77,4,1,1
77,78,4,6,6
78,79,11,21,8
79,80,3,0,0
80,81,3,5,2
81,82,2,4,2
82,83,1,2,2
83,84,9,11,8
84,85,2,2,2
85,86,2,3,2
86,87,18,27,15
87,88,5,9,6
88,89,2,5,4
89,90,2,2,2
90,91,7,9,7
91,92,14,31,16
92,93,2,3,2
93,94,7,14,10
94,95,4,10,7
95,96,10,22,13
96,97,2,2,2
97,98,4,8,7
98,99,27,44,24
99,100,2,1,1
100,101,7,13,10
101,102,85,123,45
102,103,4,7,4
103,104,8,12,8
104,105,5,7,7
105,106,3,8,4
106,107,2,2,1
107,108,3,4,2
108,109,7,10,6
109,110,8,18,9
110,111,4,10,6
111,112,2,2,1
112,113,8,14,11
113,114,7,8,6
114,115,2,2,2
115,116,13,20,7
116,117,2,2,2
117,118,7,12,7
118,119,4,7,6
119,120,5,9,5
120,121,3,3,3
121,122,7,6,6
122,123,3,6,4
123,124,2,2,2
124,125,5,7,4
125,126,2,2,1
126,127,2,2,2
127,128,1,2,2
128,129,1,2,2
129,130,1,2,2
130,131,1,3,3
131,132,1,3,3
132,133,3,4,3
133,134,1,1,1
134,135,1,3,3
135,136,1,2,2
136,137,1,2,2
137,138,3,7,5
138,139,1,2,2
139,140,1,2,2
140,141,2,5,4
141,142,1,2,2
142,143,1,4,4
143,144,1,4,4
144,145,1,4,4
145,146,1,4,4
